,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-14-1825-01A,0.0,0.0,0.012,0.001,0.001,0.0,0.0,0.041,0.005,0.027,0.101,0.001,0.002,0.002,0.0,0.807,0.807,GBM,0.9402,0.88,,0.95,0.9293,
TCGA-32-2632-01A,0.001,0.0,0.027,0.001,0.022,0.0,0.0,0.063,0.052,0.037,0.2,0.002,0.0,0.003,0.0,0.591,0.591,GBM,0.7208,0.5,,0.85,0.637,
TCGA-14-1823-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.008,0.003,0.127,0.227,0.0,0.0,0.0,0.0,0.633,0.633,GBM,0.7168,0.64,,0.95,0.7697,
TCGA-12-3650-01A,0.0,0.0,0.009,0.001,0.006,0.0,0.0,0.043,0.0,0.025,0.128,0.001,0.0,0.002,0.0,0.784,0.784,GBM,0.8979,0.88,,0.85,0.8719,
TCGA-06-0238-01A,0.0,0.0,0.008,0.001,0.009,0.001,0.0,0.025,0.01,0.021,0.211,0.004,0.003,0.002,0.0,0.703,0.703,GBM,0.7992,0.78,,1.0,0.8806,
TCGA-06-0184-01A,0.0,0.0,0.006,0.0,0.003,0.0,0.0,0.041,0.007,0.044,0.274,0.0,0.0,0.003,0.0,0.62,0.62,GBM,0.6865,,,0.95,0.7439,
TCGA-76-4925-01A,0.0,0.0,0.001,0.0,0.003,0.0,0.0,0.021,0.0,0.024,0.072,0.0,0.0,0.003,0.0,0.875,0.875,GBM,0.9449,0.94,0.9783,0.8,0.985,
TCGA-12-0616-01A,0.0,0.0,0.009,0.005,0.004,0.0,0.005,0.025,0.007,0.028,0.111,0.0,0.0,0.001,0.0,0.804,0.804,GBM,0.8645,0.88,,1.0,0.8265,
TCGA-26-5132-01A,0.0,0.0,0.005,0.001,0.01,0.0,0.0,0.041,0.005,0.061,0.12,0.001,0.0,0.001,0.0,0.754,0.754,GBM,0.863,0.89,0.8893,0.8,0.9374,
TCGA-02-0055-01A,0.0,0.0,0.02,0.001,0.006,0.0,0.0,0.018,0.403,0.018,0.212,0.001,0.0,0.009,0.001,0.31,0.31,GBM,0.5571,0.53,,0.95,0.6655,
