,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-NJ-A4YI-01A,0.0,0.0,0.006,0.001,0.0,0.0,0.656,0.037,0.046,0.091,0.004,0.155,0.003,0.0,0.001,0.0,LUAD,0.7288,,0.7532,0.65,0.6935,
TCGA-L4-A4E6-01A,0.009,0.001,0.011,0.001,0.007,0.0,0.238,0.025,0.131,0.062,0.021,0.48,0.006,0.007,0.001,0.0,LUAD,0.4704,,0.5463,0.75,0.5016,
TCGA-55-8302-01A,0.008,0.003,0.013,0.01,0.007,0.0,0.763,0.008,0.019,0.047,0.01,0.108,0.003,0.0,0.0,0.0,LUAD,0.8,,0.6341,0.8,0.6573,
TCGA-05-4405-01A,0.024,0.002,0.007,0.002,0.01,0.001,0.499,0.025,0.074,0.199,0.018,0.132,0.004,0.001,0.002,0.0,LUAD,0.6544,0.38,0.6664,0.675,0.592,
TCGA-78-7147-01A,0.01,0.0,0.01,0.007,0.021,0.0,0.785,0.027,0.013,0.055,0.01,0.058,0.002,0.0,0.0,0.0,LUAD,0.8715,0.62,0.7427,0.75,0.7508,
TCGA-MP-A4TD-01A,0.044,0.017,0.016,0.001,0.01,0.001,0.526,0.023,0.046,0.204,0.047,0.054,0.004,0.001,0.005,0.0,LUAD,0.6772,,0.6205,0.9,0.5888,
TCGA-55-6971-01A,0.066,0.023,0.031,0.037,0.011,0.0,0.427,0.017,0.083,0.097,0.016,0.17,0.006,0.001,0.003,0.011,LUAD,0.5294,0.23,0.5359,0.7,0.381,
TCGA-50-6591-01A,0.0,0.003,0.005,0.0,0.0,0.0,0.824,0.004,0.025,0.137,0.0,0.002,0.0,0.0,0.0,0.0,LUAD,0.9634,0.9,0.8251,0.85,0.895,
TCGA-95-7944-01A,0.0,0.0,0.01,0.075,0.0,0.0,0.651,0.001,0.019,0.119,0.004,0.119,0.001,0.0,0.0,0.0,LUAD,0.6386,0.41,0.502,0.61,0.5358,
TCGA-NJ-A4YF-01A,0.02,0.0,0.006,0.006,0.001,0.0,0.874,0.0,0.007,0.02,0.029,0.035,0.001,0.0,0.0,0.0,LUAD,0.895,,0.6866,0.8,0.7913,
