,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-14-1829-01A,0.001,0.0,0.0,0.0,0.0,0.0,0.743,0.0,0.042,0.009,0.014,0.186,0.001,0.001,0.002,0.0,GBM,0.7293,0.71,,0.875,0.7913,
TCGA-06-5416-01A,0.0,0.0,0.0,0.009,0.0,0.0,0.914,0.008,0.031,0.006,0.014,0.015,0.0,0.0,0.0,0.0,GBM,0.9684,0.79,0.6028,0.85,0.8405,
TCGA-06-5408-01A,0.0,0.0,0.001,0.001,0.0,0.0,0.798,0.0,0.057,0.029,0.002,0.11,0.0,0.0,0.001,0.0,GBM,0.8838,0.91,0.8635,0.85,0.8635,
TCGA-27-2521-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.872,0.0,0.044,0.0,0.025,0.056,0.0,0.001,0.001,0.0,GBM,0.947,,,0.85,0.8872,
TCGA-32-2634-01A,0.0,0.0,0.0,0.0,0.005,0.0,0.832,0.004,0.042,0.004,0.028,0.084,0.0,0.0,0.0,0.0,GBM,0.9264,0.89,,0.825,0.9106,
TCGA-06-0219-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.797,0.0,0.027,0.0,0.017,0.153,0.003,0.0,0.002,0.0,GBM,0.835,0.65,,1.0,0.7864,
TCGA-76-4926-01B,0.0,0.0,0.0,0.0,0.007,0.001,0.821,0.0,0.048,0.0,0.017,0.104,0.001,0.0,0.0,0.0,GBM,0.912,0.79,0.8451,0.7,0.9015,
TCGA-14-0790-01B,0.0,0.0,0.0,0.0,0.0,0.0,0.901,0.003,0.053,0.001,0.006,0.035,0.0,0.0,0.0,0.0,GBM,0.9485,0.93,,0.8,0.9405,
TCGA-06-5858-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.708,0.0,0.056,0.001,0.044,0.187,0.0,0.0,0.001,0.0,GBM,0.8079,0.85,0.7951,0.825,0.8038,
TCGA-26-5135-01A,0.001,0.0,0.0,0.003,0.0,0.002,0.686,0.0,0.08,0.003,0.041,0.18,0.001,0.001,0.001,0.0,GBM,0.8034,0.82,0.7238,0.775,0.8344,
TCGA-27-1834-01A,0.0,0.0,0.007,0.0,0.007,0.004,0.666,0.014,0.044,0.007,0.017,0.232,0.0,0.0,0.001,0.0,GBM,0.7822,0.75,,0.875,0.874,
TCGA-06-0129-01A,0.0,0.0,0.002,0.0,0.0,0.001,0.697,0.003,0.033,0.0,0.004,0.258,0.0,0.0,0.001,0.0,GBM,0.8279,0.86,,0.975,0.9476,
TCGA-41-3915-01A,0.0,0.0,0.001,0.0,0.009,0.0,0.572,0.0,0.069,0.083,0.029,0.23,0.0,0.0,0.005,0.0,GBM,0.7115,0.77,,0.8,0.769,
TCGA-06-2562-01A,0.0,0.0,0.001,0.0,0.002,0.001,0.71,0.0,0.057,0.026,0.024,0.174,0.002,0.0,0.003,0.0,GBM,0.7891,0.74,,0.825,0.7913,
TCGA-28-1747-01C,0.0,0.0,0.001,0.0,0.003,0.001,0.693,0.001,0.042,0.0,0.003,0.254,0.001,0.0,0.002,0.0,GBM,0.8058,0.8,,0.8,0.8136,
TCGA-06-2563-01A,0.0,0.0,0.0,0.0,0.005,0.0,0.78,0.007,0.093,0.001,0.013,0.098,0.0,0.0,0.002,0.0,GBM,0.8719,0.86,,0.85,0.8366,
TCGA-28-5216-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.001,0.044,0.032,0.021,0.138,0.0,0.0,0.001,0.0,GBM,0.8426,,0.6857,0.775,0.7311,
TCGA-28-2509-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.835,0.0,0.024,0.001,0.001,0.137,0.001,0.0,0.0,0.0,GBM,0.8635,0.64,,0.8,0.7913,
TCGA-19-2625-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.0,0.014,0.003,0.014,0.111,0.0,0.0,0.0,0.0,GBM,0.8881,0.65,,0.85,0.8136,
TCGA-02-2483-01A,0.0,0.0,0.0,0.0,0.001,0.0,0.77,0.0,0.057,0.0,0.022,0.147,0.0,0.0,0.001,0.0,GBM,0.8528,0.58,,0.8,0.7913,
TCGA-15-0742-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.896,0.0,0.04,0.0,0.004,0.057,0.0,0.0,0.001,0.0,GBM,0.9389,0.92,,0.95,0.9275,
TCGA-06-5413-01A,0.0,0.0,0.0,0.001,0.01,0.001,0.616,0.0,0.092,0.062,0.024,0.186,0.002,0.001,0.003,0.0,GBM,0.7375,0.74,0.7435,0.85,0.7847,
TCGA-06-0125-01A,0.0,0.0,0.0,0.0,0.0,0.001,0.836,0.001,0.068,0.01,0.021,0.062,0.0,0.0,0.0,0.0,GBM,0.9157,0.9,,1.0,0.933,
TCGA-26-1442-01A,0.0,0.0,0.0,0.0,0.0,0.002,0.764,0.011,0.071,0.0,0.037,0.114,0.0,0.0,0.001,0.0,GBM,0.9124,0.79,0.8797,0.65,0.8924,
TCGA-06-0646-01A,0.0,0.0,0.001,0.002,0.0,0.002,0.653,0.0,0.054,0.001,0.034,0.246,0.001,0.0,0.006,0.0,GBM,0.7531,0.84,,0.95,0.9253,
TCGA-12-5295-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.749,0.0,0.046,0.0,0.004,0.199,0.0,0.0,0.001,0.0,GBM,0.7897,0.74,0.7475,0.825,0.8013,
TCGA-41-4097-01A,0.0,0.0,0.003,0.0,0.011,0.002,0.618,0.005,0.043,0.08,0.039,0.197,0.0,0.0,0.003,0.0,GBM,0.7266,0.51,,0.775,0.6465,
TCGA-06-5418-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.785,0.0,0.027,0.001,0.002,0.18,0.0,0.0,0.005,0.0,GBM,0.8129,0.8,0.8181,0.85,0.8712,
TCGA-19-4065-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.622,0.0,0.028,0.034,0.011,0.299,0.002,0.0,0.001,0.0,GBM,0.6843,,0.6139,0.8,0.5818,
TCGA-06-0168-01A,0.0,0.0,0.001,0.001,0.005,0.003,0.614,0.0,0.059,0.002,0.039,0.271,0.001,0.0,0.003,0.0,GBM,0.7055,0.68,,0.8875,0.8077,
TCGA-06-0190-01A,0.0,0.0,0.002,0.0,0.011,0.0,0.52,0.0,0.056,0.135,0.019,0.252,0.0,0.0,0.005,0.0,GBM,0.6566,0.57,,1.0,0.6238,
TCGA-19-5960-01A,0.0,0.003,0.0,0.0,0.005,0.001,0.929,0.009,0.021,0.0,0.005,0.027,0.0,0.0,0.0,0.0,GBM,0.975,0.93,0.9504,0.85,0.9765,
TCGA-06-5414-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.705,0.0,0.071,0.002,0.006,0.212,0.0,0.0,0.003,0.0,GBM,0.7801,0.78,0.7767,0.825,0.7818,
TCGA-32-1982-01A,0.0,0.0,0.001,0.0,0.006,0.001,0.543,0.0,0.137,0.04,0.05,0.212,0.001,0.003,0.005,0.0,GBM,0.7178,0.58,,0.925,0.7129,
TCGA-06-0645-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.444,0.0,0.086,0.038,0.041,0.381,0.001,0.002,0.006,0.0,GBM,0.5886,,,0.975,0.6886,
TCGA-19-2629-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.696,0.001,0.043,0.001,0.014,0.241,0.0,0.0,0.001,0.0,GBM,0.8103,0.59,,0.85,0.7529,
TCGA-06-0174-01A,0.0,0.0,0.0,0.0,0.001,0.001,0.853,0.0,0.043,0.001,0.018,0.08,0.001,0.0,0.002,0.0,GBM,0.9221,0.94,,0.975,0.9047,
TCGA-32-4213-01A,0.0,0.0,0.004,0.0,0.001,0.0,0.521,0.0,0.077,0.096,0.034,0.261,0.0,0.004,0.001,0.0,GBM,0.6569,0.69,,0.725,0.6809,
