,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BP-4766-01A,0.005,0.0,0.001,0.0,0.0,0.001,0.406,0.0,0.254,0.002,0.128,0.181,0.002,0.01,0.009,0.001,KIRC,0.7186,0.66,,0.96,0.7085,
TCGA-A3-3352-01A,0.007,0.0,0.005,0.002,0.0,0.008,0.403,0.001,0.267,0.003,0.093,0.185,0.002,0.021,0.003,0.001,KIRC,0.6852,0.49,,0.85,0.6275,
TCGA-G6-A8L7-01A,0.021,0.0,0.009,0.015,0.007,0.0,0.603,0.0,0.063,0.008,0.189,0.074,0.003,0.004,0.003,0.0,KIRC,0.8096,,0.5863,0.85,0.6503,
TCGA-A3-A6NN-01A,0.002,0.0,0.009,0.001,0.001,0.0,0.092,0.003,0.421,0.114,0.084,0.231,0.003,0.033,0.004,0.001,KIRC,0.6198,,0.6968,0.85,0.5863,
TCGA-T7-A92I-01A,0.001,0.0,0.003,0.0,0.008,0.001,0.548,0.001,0.061,0.01,0.012,0.354,0.0,0.0,0.0,0.0,KIRC,0.8726,,0.7372,0.85,0.7913,
TCGA-B0-5713-01A,0.0,0.0,0.004,0.007,0.007,0.0,0.013,0.0,0.559,0.008,0.187,0.19,0.0,0.019,0.003,0.001,KIRC,0.7071,0.59,0.7159,0.85,0.7009,
TCGA-CZ-4860-01A,0.0,0.0,0.005,0.001,0.018,0.0,0.526,0.0,0.03,0.177,0.004,0.236,0.0,0.0,0.002,0.0,KIRC,0.7022,0.75,,0.85,0.74,
TCGA-A3-3351-01A,0.003,0.004,0.013,0.017,0.051,0.0,0.165,0.088,0.228,0.041,0.124,0.249,0.01,0.0,0.007,0.001,KIRC,0.534,0.57,,0.7375,0.7034,
TCGA-B8-4148-01A,0.014,0.0,0.014,0.025,0.093,0.0,0.144,0.056,0.27,0.003,0.116,0.239,0.003,0.016,0.004,0.002,KIRC,0.5708,0.55,,0.9,0.6844,
TCGA-BP-4345-01A,0.003,0.0,0.011,0.002,0.011,0.0,0.0,0.003,0.228,0.238,0.299,0.199,0.003,0.003,0.0,0.0,KIRC,0.4398,,,0.8,0.2497,
TCGA-BP-5010-01A,0.0,0.0,0.001,0.01,0.004,0.0,0.007,0.0,0.251,0.219,0.417,0.09,0.0,0.001,0.001,0.0,KIRC,0.6006,0.41,0.6457,0.775,0.5517,
TCGA-BP-4325-01A,0.001,0.0,0.0,0.004,0.069,0.0,0.403,0.0,0.18,0.001,0.071,0.263,0.0,0.003,0.003,0.0,KIRC,0.6697,0.73,,0.9,0.7085,
TCGA-B0-5102-01A,0.007,0.0,0.0,0.005,0.009,0.0,0.504,0.0,0.19,0.005,0.074,0.201,0.0,0.002,0.001,0.0,KIRC,0.7821,0.63,0.7919,0.8,0.7603,
TCGA-BP-5185-01A,0.002,0.0,0.0,0.005,0.0,0.0,0.13,0.0,0.239,0.007,0.297,0.314,0.001,0.0,0.003,0.0,KIRC,0.7494,0.71,0.8599,0.9,0.8361,
TCGA-CZ-5986-01A,0.001,0.001,0.002,0.003,0.0,0.002,0.176,0.005,0.355,0.031,0.145,0.257,0.005,0.014,0.003,0.0,KIRC,0.7348,0.68,0.8197,0.85,0.7995,
TCGA-CW-5590-01A,0.001,0.0,0.008,0.011,0.003,0.0,0.317,0.0,0.264,0.062,0.15,0.174,0.002,0.007,0.0,0.0,KIRC,0.6244,,0.687,0.85,0.5837,
