,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-DD-AADC-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.001,0.053,0.0,0.022,0.05,0.0,0.0,0.0,0.0,0.868,0.868,LIHC,0.9445,,,0.75,0.9079,
TCGA-G3-AAV0-01A,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.046,0.0,0.018,0.04,0.0,0.0,0.0,0.0,0.893,0.893,LIHC,0.9064,,0.7634,0.85,0.836,
TCGA-DD-AAE3-01A,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.081,0.0,0.077,0.084,0.0,0.0,0.0,0.0,0.755,0.755,LIHC,0.8555,,,0.8,0.8787,
TCGA-DD-A118-01A,0.001,0.0,0.003,0.0,0.0,0.0,0.001,0.102,0.0,0.057,0.04,0.0,0.0,0.0,0.0,0.796,0.796,LIHC,0.8822,,0.8366,0.95,0.8427,
TCGA-DD-A1EF-01A,0.04,0.005,0.011,0.0,0.006,0.0,0.006,0.076,0.0,0.002,0.047,0.0,0.0,0.0,0.0,0.807,0.807,LIHC,0.8751,,0.7789,0.8,0.7749,
TCGA-DD-A11D-01A,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.083,0.0,0.055,0.004,0.0,0.0,0.0,0.0,0.854,0.854,LIHC,0.9042,,0.6891,0.775,0.8805,
TCGA-G3-A6UC-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.132,0.0,0.027,0.041,0.0,0.0,0.001,0.0,0.798,0.798,LIHC,0.9478,,0.7647,0.8,0.7582,
TCGA-WJ-A86L-01A,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.001,0.033,0.0,0.0,0.0,0.0,0.887,0.887,LIHC,0.9524,,0.6935,0.8,0.8806,
TCGA-CC-5263-01A,0.0,0.0,0.003,0.001,0.0,0.0,0.014,0.05,0.001,0.0,0.046,0.003,0.0,0.0,0.0,0.88,0.88,LIHC,0.8827,,0.7161,0.85,0.7011,
TCGA-DD-AAE6-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.006,0.009,0.0,0.0,0.0,0.0,0.921,0.921,LIHC,0.9832,,,0.97,0.8448,
TCGA-K7-A6G5-01A,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.098,0.0,0.032,0.059,0.0,0.0,0.0,0.0,0.805,0.805,LIHC,0.8392,,0.6493,0.75,0.7466,
TCGA-DD-A1EL-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.003,0.046,0.0,0.03,0.098,0.0,0.0,0.0,0.0,0.817,0.817,LIHC,0.9392,,0.6429,0.9,0.6151,
TCGA-G3-A7M6-01A,0.0,0.001,0.01,0.0,0.0,0.0,0.012,0.1,0.009,0.042,0.033,0.0,0.0,0.0,0.0,0.792,0.792,LIHC,0.9027,,0.6121,0.8,0.8784,
TCGA-DD-AAE4-01A,0.0,0.0,0.011,0.0,0.015,0.0,0.0,0.072,0.0,0.045,0.119,0.0,0.0,0.0,0.0,0.736,0.736,LIHC,0.7072,,,0.8,0.6127,
TCGA-MI-A75G-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.096,0.0,0.051,0.018,0.0,0.0,0.0,0.0,0.833,0.833,LIHC,0.9489,,0.7524,0.9,0.9342,
TCGA-DD-AACQ-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.011,0.002,0.0,0.0,0.001,0.0,0.921,0.921,LIHC,0.9701,,,0.94,0.903,
TCGA-DD-AADV-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.102,0.0,0.024,0.064,0.0,0.0,0.0,0.0,0.804,0.804,LIHC,0.8854,,0.6795,0.75,0.6582,
TCGA-LG-A9QD-01A,0.01,0.0,0.001,0.0,0.0,0.0,0.0,0.067,0.0,0.05,0.025,0.0,0.0,0.0,0.0,0.845,0.845,LIHC,0.8901,,0.6606,0.97,0.8613,
