,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-OR-A5LO-01A,9.165,11.502,11.964,1.0,1.0,88.238,18.159,1.0,1.0,229.84,5.311,1.0,7.775,500,ACC,simu_bulk_2ds_ref,0.019,0.0,0.0,0.0,0.0,0.0,0.852,0.0,0.027,0.002,0.099,0.002,0.0,0.0,0.0,0.0,0.019,0.0,0.101
TCGA-P6-A5OG-01A,10.872,88.244,23.428,15.674,8.669,447.288,996.949,2.441,7.794,210.891,137.813,70.111,30.529,501,ACC,simu_bulk_2ds_ref,0.0,0.0,0.007,0.002,0.006,0.0,0.301,0.0,0.227,0.123,0.172,0.133,0.0,0.001,0.013,0.013,0.0,0.008,0.295
TCGA-OR-A5J6-01A,1.033,2.842,20.822,1.0,11.959,95.066,546.779,1.0,2.554,1043.323,11.308,1.449,70.153,502,ACC,simu_bulk_2ds_ref,0.012,0.0,0.0,0.0,0.0,0.0,0.804,0.0,0.08,0.0,0.019,0.082,0.002,0.0,0.0,0.001,0.012,0.0,0.019
TCGA-OR-A5LT-01A,1.937,5.172,21.914,1.0,1.0,24.829,66.615,1.0,1.0,391.275,3.228,1.0,20.964,503,ACC,simu_bulk_2ds_ref,0.002,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.002,0.0,0.196,0.009,0.0,0.0,0.0,0.0,0.002,0.0,0.196
TCGA-OR-A5JY-01A,12.58,2.246,8.789,1.0,1.0,150.725,257.69,1.0,1.0,380.307,5.247,1.553,20.964,504,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.0,0.899,0.0,0.043,0.0,0.007,0.047,0.002,0.0,0.001,0.0,0.0,0.0,0.007
TCGA-OR-A5JV-01A,1.204,29.725,102.698,2.047,9.038,93.155,856.772,1.0,1.116,707.329,8.401,8.595,14.615,505,ACC,simu_bulk_2ds_ref,0.0,0.0,0.002,0.0,0.002,0.0,0.555,0.0,0.038,0.0,0.025,0.374,0.003,0.0,0.001,0.0,0.0,0.002,0.025
TCGA-OR-A5JT-01A,1.775,5.185,29.333,1.0,1.0,93.651,57.507,1.566,1.0,956.345,18.49,1.0,5.582,506,ACC,simu_bulk_2ds_ref,0.004,0.0,0.0,0.0,0.0,0.0,0.793,0.0,0.05,0.0,0.141,0.012,0.0,0.0,0.0,0.0,0.004,0.0,0.141
TCGA-OR-A5KX-01A,4.321,23.168,8.26,1.0,1.0,125.95,94.539,5.503,3.49,1083.489,6.471,1.0,91.086,507,ACC,simu_bulk_2ds_ref,0.004,0.0,0.0,0.0,0.0,0.0,0.854,0.0,0.072,0.0,0.05,0.018,0.0,0.0,0.0,0.0,0.004,0.0,0.05
TCGA-OR-A5K3-01A,3.568,3.13,15.746,1.0,1.0,25.463,105.658,1.0,1.0,394.411,2.348,1.0,5.354,508,ACC,simu_bulk_2ds_ref,0.003,0.0,0.0,0.0,0.0,0.0,0.907,0.0,0.006,0.0,0.065,0.019,0.0,0.0,0.0,0.0,0.003,0.0,0.065
TCGA-OR-A5JZ-01A,3.046,10.531,23.804,1.368,2.933,86.442,120.642,1.512,1.0,1388.545,11.141,1.0,133.362,509,ACC,simu_bulk_2ds_ref,0.001,0.0,0.001,0.0,0.0,0.0,0.827,0.0,0.031,0.0,0.125,0.012,0.004,0.0,0.0,0.0,0.001,0.0,0.125
