,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-AP-A056-01A,0.006,0.0,0.03,0.01,0.007,0.0,0.001,0.028,0.087,0.005,0.058,0.001,0.0,0.003,0.0,0.764,0.764,UCEC,,0.64,,0.74,0.4231,
TCGA-D1-A17R-01A,0.01,0.0,0.014,0.003,0.003,0.001,0.011,0.053,0.066,0.017,0.018,0.0,0.0,0.005,0.0,0.799,0.799,UCEC,,0.85,0.9353,0.8,0.9588,
TCGA-AX-A060-01A,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.001,0.004,0.0,0.0,0.0,0.0,0.968,0.968,UCEC,,0.97,,0.955,0.9403,
TCGA-BS-A0UT-01A,0.001,0.0,0.003,0.002,0.0,0.001,0.005,0.03,0.101,0.022,0.004,0.0,0.0,0.001,0.0,0.829,0.829,UCEC,,0.82,,0.75,0.8547,
TCGA-AX-A2H7-01A,0.012,0.0,0.011,0.0,0.0,0.001,0.008,0.028,0.01,0.0,0.009,0.0,0.0,0.0,0.0,0.92,0.92,UCEC,,0.86,0.9056,0.97,0.9239,
TCGA-D1-A174-01A,0.063,0.001,0.062,0.032,0.026,0.0,0.018,0.044,0.083,0.005,0.035,0.0,0.001,0.001,0.0,0.627,0.627,UCEC,,0.61,0.655,0.6,0.6293,
TCGA-D1-A2G5-01A,0.008,0.0,0.008,0.003,0.001,0.0,0.0,0.049,0.006,0.011,0.01,0.0,0.0,0.008,0.0,0.896,0.896,UCEC,,0.91,0.9756,0.9,1.0,
TCGA-PG-A7D5-01A,0.015,0.0,0.01,0.008,0.012,0.001,0.006,0.042,0.054,0.019,0.011,0.0,0.0,0.001,0.0,0.821,0.821,UCEC,0.9681,,0.8599,0.6,0.8806,
TCGA-SJ-A6ZI-01A,0.015,0.0,0.017,0.045,0.02,0.0,0.015,0.043,0.017,0.001,0.031,0.0,0.0,0.018,0.0,0.775,0.775,UCEC,0.8173,,0.657,0.8,0.7624,
TCGA-DF-A2KV-01A,0.016,0.0,0.005,0.008,0.0,0.0,0.022,0.019,0.006,0.0,0.034,0.0,0.0,0.008,0.0,0.882,0.882,UCEC,0.8899,0.6,0.6896,0.85,0.7839,
TCGA-D1-A17C-01A,0.026,0.0,0.021,0.001,0.006,0.0,0.026,0.093,0.261,0.038,0.019,0.0,0.0,0.002,0.0,0.506,0.506,UCEC,,,0.8331,0.6,0.748,
TCGA-D1-A15Z-01A,0.006,0.0,0.011,0.001,0.003,0.0,0.001,0.054,0.022,0.002,0.038,0.001,0.0,0.004,0.0,0.859,0.859,UCEC,,0.82,0.8283,0.85,0.833,
TCGA-DI-A2QT-01A,0.015,0.0,0.0,0.005,0.0,0.0,0.004,0.016,0.008,0.0,0.02,0.0,0.0,0.0,0.0,0.932,0.932,UCEC,0.9561,,0.9874,0.6,0.9509,
TCGA-AJ-A5DW-01A,0.008,0.0,0.014,0.012,0.0,0.0,0.0,0.034,0.027,0.0,0.018,0.0,0.0,0.0,0.0,0.886,0.886,UCEC,0.9192,,0.9411,0.8,0.9007,
TCGA-AP-A052-01A,0.006,0.0,0.011,0.006,0.0,0.0,0.009,0.029,0.077,0.003,0.034,0.0,0.0,0.0,0.0,0.824,0.824,UCEC,,0.89,,0.875,0.8063,
TCGA-AJ-A3BH-01A,0.002,0.0,0.008,0.03,0.001,0.0,0.006,0.036,0.038,0.004,0.033,0.0,0.0,0.003,0.0,0.837,0.837,UCEC,0.8944,0.57,0.863,0.9,0.7853,
TCGA-B5-A11G-01A,0.076,0.0,0.008,0.021,0.0,0.0,0.0,0.025,0.008,0.009,0.021,0.0,0.0,0.0,0.0,0.83,0.83,UCEC,,,0.8558,0.95,0.8864,
TCGA-BK-A56F-01A,0.01,0.0,0.009,0.004,0.006,0.001,0.015,0.045,0.1,0.017,0.036,0.0,0.001,0.003,0.0,0.753,0.753,UCEC,0.8914,,0.9219,0.6,0.8806,
TCGA-B5-A0K7-01A,0.039,0.0,0.045,0.002,0.035,0.0,0.018,0.024,0.052,0.0,0.058,0.0,0.0,0.0,0.0,0.726,0.726,UCEC,,0.78,,0.85,0.9206,
TCGA-AX-A0J1-01A,0.016,0.0,0.022,0.017,0.001,0.0,0.005,0.033,0.024,0.012,0.026,0.0,0.0,0.0,0.0,0.842,0.842,UCEC,,0.77,,0.75,0.8645,
TCGA-AJ-A3NF-01A,0.0,0.0,0.032,0.008,0.017,0.001,0.046,0.115,0.179,0.042,0.038,0.001,0.001,0.002,0.0,0.518,0.518,UCEC,0.7507,0.24,0.754,0.6,0.7088,
TCGA-D1-A15W-01A,0.008,0.0,0.009,0.005,0.005,0.0,0.03,0.065,0.037,0.004,0.021,0.0,0.0,0.01,0.0,0.805,0.805,UCEC,,0.18,0.8106,0.8,0.7913,
TCGA-AX-A2IN-01A,0.013,0.0,0.06,0.004,0.014,0.0,0.004,0.046,0.144,0.057,0.06,0.001,0.0,0.0,0.0,0.596,0.596,UCEC,0.8219,0.79,0.7523,0.8,0.8246,
TCGA-D1-A2G7-01A,0.005,0.0,0.01,0.0,0.0,0.0,0.014,0.064,0.039,0.005,0.008,0.0,0.0,0.002,0.0,0.851,0.851,UCEC,,0.71,0.8771,0.8,0.8904,
TCGA-D1-A16G-01A,0.011,0.0,0.012,0.007,0.0,0.0,0.017,0.024,0.007,0.002,0.015,0.0,0.0,0.004,0.0,0.902,0.902,UCEC,,0.36,0.5937,0.6,0.5573,
TCGA-AP-A3K1-01A,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.024,0.033,0.0,0.011,0.0,0.0,0.0,0.0,0.927,0.927,UCEC,0.9346,0.76,0.8973,0.95,0.8988,
TCGA-AX-A0IZ-01A,0.037,0.0,0.031,0.054,0.008,0.0,0.007,0.051,0.092,0.016,0.016,0.0,0.0,0.002,0.0,0.685,0.685,UCEC,,,0.7383,0.575,0.7816,
TCGA-BK-A13C-01A,0.006,0.0,0.001,0.0,0.0,0.0,0.0,0.046,0.009,0.015,0.039,0.0,0.0,0.006,0.0,0.878,0.878,UCEC,,0.93,0.9105,0.85,0.9296,
TCGA-BG-A0M0-01A,0.02,0.0,0.007,0.0,0.0,0.0,0.0,0.041,0.012,0.001,0.007,0.0,0.0,0.0,0.0,0.912,0.912,UCEC,,,,0.95,0.836,
