,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-XS-A8TJ-01A,0.0,0.0,0.038,0.001,0.0,0.0,0.792,0.049,0.051,0.01,0.014,0.042,0.001,0.0,0.001,0.0,CESC,0.8558,,0.5671,0.7,0.7019,
TCGA-C5-A7CO-01A,0.0,0.0,0.003,0.015,0.0,0.0,0.923,0.019,0.017,0.002,0.001,0.018,0.0,0.0,0.001,0.0,CESC,0.9331,,0.7796,0.75,0.7757,
TCGA-MY-A5BF-01A,0.0,0.0,0.022,0.052,0.001,0.0,0.795,0.038,0.048,0.0,0.005,0.038,0.0,0.0,0.0,0.0,CESC,0.8559,,0.8269,0.8,0.8149,
TCGA-C5-A1BL-01A,0.006,0.002,0.016,0.054,0.001,0.0,0.811,0.011,0.019,0.001,0.003,0.075,0.0,0.0,0.001,0.001,CESC,0.8706,,0.5902,0.7,0.7019,
TCGA-C5-A1M5-01A,0.001,0.015,0.051,0.033,0.001,0.0,0.736,0.064,0.044,0.019,0.016,0.019,0.0,0.0,0.0,0.0,CESC,0.8489,,0.7155,0.9,0.8054,
TCGA-DS-A5RQ-01A,0.0,0.0,0.022,0.01,0.0,0.0,0.851,0.025,0.037,0.011,0.001,0.041,0.0,0.0,0.001,0.001,CESC,0.8641,,0.6855,0.75,0.7913,
TCGA-JW-A5VG-01A,0.0,0.0,0.008,0.054,0.0,0.0,0.831,0.0,0.044,0.003,0.001,0.044,0.003,0.012,0.0,0.0,CESC,0.8808,,0.6125,0.95,0.8486,
TCGA-WL-A834-01A,0.0,0.001,0.005,0.0,0.0,0.0,0.883,0.012,0.05,0.017,0.014,0.017,0.0,0.0,0.0,0.0,CESC,0.9403,,0.7898,0.8,0.7877,
TCGA-DS-A1OD-01A,0.007,0.002,0.044,0.064,0.046,0.0,0.583,0.08,0.036,0.045,0.01,0.077,0.002,0.0,0.003,0.0,CESC,0.6727,,0.5801,0.8,0.566,
TCGA-Q1-A5R1-01A,0.012,0.0,0.003,0.02,0.0,0.0,0.865,0.028,0.028,0.015,0.002,0.021,0.003,0.0,0.002,0.0,CESC,0.9463,,0.8214,0.75,0.8806,
TCGA-ZJ-AAXF-01A,0.007,0.008,0.045,0.012,0.026,0.0,0.699,0.05,0.052,0.058,0.015,0.024,0.001,0.0,0.001,0.001,CESC,0.755,,,0.8,0.6452,
TCGA-LP-A5U2-01A,0.0,0.0,0.002,0.021,0.006,0.0,0.903,0.007,0.025,0.0,0.01,0.023,0.0,0.0,0.0,0.0,CESC,0.9423,,0.8177,0.8,0.8806,
TCGA-C5-A7CK-01A,0.009,0.0,0.001,0.005,0.0,0.0,0.858,0.0,0.025,0.083,0.006,0.013,0.001,0.0,0.0,0.0,CESC,0.9349,,0.8208,0.6,0.8241,
TCGA-ZJ-AB0H-01A,0.032,0.002,0.033,0.011,0.014,0.0,0.713,0.035,0.034,0.031,0.004,0.075,0.001,0.0,0.012,0.002,CESC,0.7472,,,0.95,0.7516,
TCGA-EK-A2R9-01A,0.001,0.0,0.034,0.021,0.005,0.0,0.676,0.081,0.031,0.112,0.008,0.031,0.0,0.0,0.0,0.0,CESC,0.7735,,0.7565,0.65,0.7029,
TCGA-VS-A954-01A,0.001,0.001,0.007,0.0,0.015,0.0,0.87,0.004,0.029,0.025,0.013,0.034,0.0,0.0,0.001,0.0,CESC,0.9,,0.8409,0.9,0.8477,
TCGA-Q1-A73O-01A,0.005,0.0,0.01,0.053,0.0,0.0,0.849,0.0,0.034,0.012,0.0,0.033,0.002,0.0,0.0,0.0,CESC,0.8637,,0.6425,0.7,0.7913,
TCGA-VS-A9U6-01A,0.004,0.002,0.029,0.034,0.005,0.0,0.752,0.043,0.032,0.042,0.01,0.041,0.002,0.0,0.004,0.0,CESC,0.8594,,,0.8,0.8054,
TCGA-EK-A3GM-01A,0.01,0.0,0.0,0.013,0.0,0.0,0.953,0.0,0.018,0.003,0.0,0.0,0.001,0.0,0.0,0.0,CESC,0.975,,0.8983,0.97,0.9342,
TCGA-C5-A7CJ-01A,0.006,0.001,0.031,0.038,0.0,0.0,0.659,0.05,0.095,0.056,0.036,0.022,0.003,0.0,0.003,0.0,CESC,0.7322,,0.6267,0.65,0.6469,
TCGA-FU-A3WB-01A,0.0,0.0,0.01,0.016,0.0,0.0,0.891,0.001,0.036,0.026,0.012,0.007,0.001,0.0,0.0,0.0,CESC,0.951,,0.9784,0.75,0.9439,
TCGA-VS-A9V1-01A,0.029,0.0,0.0,0.02,0.0,0.0,0.925,0.001,0.011,0.001,0.001,0.0,0.0,0.0,0.014,0.0,CESC,0.95,,,0.6,0.8223,
TCGA-C5-A1ML-01A,0.004,0.0,0.025,0.01,0.005,0.0,0.815,0.025,0.057,0.018,0.014,0.026,0.001,0.001,0.001,0.0,CESC,0.9034,,0.8133,0.9,0.8794,
TCGA-IR-A3LB-01A,0.0,0.0,0.014,0.011,0.0,0.0,0.75,0.005,0.017,0.181,0.0,0.019,0.002,0.0,0.0,0.0,CESC,0.8416,,0.901,0.9,0.7955,
TCGA-VS-A9U7-01A,0.004,0.0,0.035,0.045,0.0,0.0,0.762,0.031,0.037,0.003,0.008,0.07,0.0,0.0,0.003,0.0,CESC,0.8304,,,0.9,0.4283,
TCGA-EK-A2RK-01A,0.0,0.0,0.001,0.029,0.0,0.0,0.868,0.047,0.02,0.0,0.017,0.017,0.0,0.001,0.001,0.0,CESC,0.8772,,0.7678,0.7,0.7618,
TCGA-C5-A905-01A,0.001,0.0,0.016,0.003,0.0,0.0,0.912,0.01,0.028,0.0,0.002,0.021,0.001,0.0,0.004,0.002,CESC,0.9631,,0.2984,0.75,0.836,
TCGA-C5-A3HL-01A,0.007,0.0,0.012,0.011,0.0,0.0,0.919,0.01,0.02,0.008,0.003,0.009,0.0,0.0,0.001,0.0,CESC,0.9337,,0.7673,0.75,0.7614,
TCGA-C5-A1MH-01A,0.007,0.001,0.036,0.024,0.008,0.0,0.646,0.013,0.064,0.013,0.019,0.161,0.0,0.0,0.008,0.001,CESC,0.6998,,0.4817,0.6,0.6028,
TCGA-Q1-A5R2-01A,0.004,0.001,0.022,0.02,0.002,0.0,0.807,0.003,0.021,0.014,0.007,0.091,0.0,0.0,0.009,0.0,CESC,0.7917,,0.7162,0.8,0.7277,
TCGA-FU-A3HY-01A,0.0,0.0,0.006,0.004,0.0,0.0,0.94,0.002,0.027,0.009,0.001,0.003,0.002,0.0,0.003,0.001,CESC,0.97,,0.6281,0.75,0.7913,
TCGA-EA-A439-01A,0.001,0.0,0.002,0.044,0.0,0.0,0.734,0.003,0.019,0.16,0.007,0.027,0.002,0.0,0.0,0.0,CESC,0.8604,,0.8377,0.65,0.821,
