,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-CV-6943-01A,0.014,0.001,0.052,0.02,0.048,0.0,0.063,0.068,0.252,0.009,0.092,0.0,0.0,0.017,0.001,0.364,0.364,HNSC,0.463,0.17,0.4109,0.68,0.3333,
TCGA-CV-7424-01A,0.028,0.001,0.014,0.002,0.018,0.0,0.008,0.022,0.259,0.006,0.05,0.0,0.004,0.009,0.0,0.58,0.58,HNSC,0.7827,0.47,0.7204,0.725,0.7108,
TCGA-BA-4078-01A,0.0,0.0,0.029,0.002,0.014,0.001,0.035,0.049,0.211,0.021,0.039,0.001,0.0,0.007,0.0,0.589,0.589,HNSC,0.7917,0.87,0.9117,0.775,0.8611,
TCGA-CN-4739-01A,0.033,0.014,0.038,0.003,0.026,0.0,0.035,0.037,0.052,0.012,0.006,0.0,0.0,0.035,0.016,0.694,0.694,HNSC,0.8186,0.32,0.3228,0.62,0.5842,
TCGA-CV-5430-01A,0.015,0.001,0.042,0.002,0.014,0.0,0.071,0.028,0.105,0.004,0.033,0.0,0.0,0.015,0.0,0.667,0.667,HNSC,0.7911,0.57,0.7908,0.55,0.7151,
TCGA-CR-7399-01A,0.001,0.0,0.059,0.011,0.024,0.0,0.038,0.011,0.078,0.001,0.093,0.0,0.0,0.008,0.0,0.676,0.676,HNSC,0.7346,0.51,0.6425,0.65,0.6306,
TCGA-CQ-5334-01A,0.001,0.0,0.063,0.017,0.021,0.0,0.026,0.071,0.128,0.028,0.088,0.0,0.0,0.016,0.005,0.535,0.535,HNSC,0.6271,0.41,0.5784,0.8,0.5455,
TCGA-CR-7402-01A,0.039,0.001,0.047,0.024,0.004,0.0,0.023,0.046,0.05,0.024,0.015,0.0,0.0,0.01,0.001,0.716,0.716,HNSC,0.8722,0.57,0.473,0.85,0.6692,
TCGA-CR-7389-01A,0.038,0.0,0.02,0.0,0.004,0.0,0.022,0.097,0.15,0.021,0.036,0.0,0.0,0.02,0.008,0.582,0.582,HNSC,0.7509,0.42,0.6528,0.75,0.6495,
TCGA-BA-6868-01B,0.0,0.0,0.006,0.001,0.007,0.0,0.0,0.028,0.1,0.04,0.001,0.0,0.0,0.015,0.01,0.791,0.791,HNSC,0.9266,0.66,0.6737,0.9,0.8347,
