,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BQ-7044-01A,0.001,0.0,0.001,0.003,0.001,0.0,0.868,0.0,0.009,0.002,0.0,0.113,0.0,0.0,0.002,0.0,KIRP,0.9441,,0.9691,0.9,0.9665,
TCGA-SX-A7SR-01A,0.0,0.0,0.0,0.0,0.001,0.0,0.778,0.0,0.019,0.002,0.001,0.178,0.012,0.0,0.007,0.0,KIRP,0.8693,,0.7453,0.9,0.833,
TCGA-MH-A854-01A,0.001,0.0,0.0,0.006,0.0,0.0,0.874,0.0,0.028,0.001,0.004,0.077,0.004,0.0,0.004,0.0,KIRP,0.921,,0.953,0.75,0.9032,
TCGA-B3-8121-01A,0.025,0.0,0.006,0.001,0.018,0.0,0.48,0.0,0.062,0.073,0.0,0.31,0.006,0.009,0.009,0.0,KIRP,0.6436,,0.5698,0.6,0.5292,
TCGA-2Z-A9JJ-01A,0.0,0.0,0.01,0.0,0.0,0.0,0.76,0.0,0.019,0.083,0.0,0.119,0.004,0.0,0.006,0.0,KIRP,0.8322,,,0.75,0.787,
TCGA-B1-7332-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.0,0.042,0.009,0.0,0.195,0.002,0.0,0.003,0.0,KIRP,0.8735,,0.8565,0.85,0.8387,
TCGA-WN-A9G9-01A,0.001,0.001,0.001,0.13,0.22,0.0,0.021,0.003,0.035,0.001,0.014,0.571,0.0,0.0,0.002,0.0,KIRP,0.4511,,0.4089,0.75,0.3401,
TCGA-A4-8310-01A,0.0,0.0,0.001,0.001,0.0,0.0,0.848,0.0,0.005,0.012,0.0,0.132,0.0,0.0,0.001,0.0,KIRP,0.9197,,0.9476,0.9,0.9373,
TCGA-2Z-A9JT-01A,0.001,0.0,0.0,0.001,0.001,0.001,0.687,0.0,0.021,0.002,0.001,0.282,0.002,0.0,0.001,0.0,KIRP,0.7443,,,0.8,0.7943,
TCGA-5P-A9K2-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.896,0.0,0.001,0.0,0.0,0.098,0.004,0.0,0.001,0.0,KIRP,0.9387,,,0.75,0.8593,
TCGA-4A-A93W-01A,0.001,0.0,0.0,0.0,0.0,0.0,0.846,0.0,0.021,0.049,0.0,0.077,0.002,0.001,0.002,0.0,KIRP,0.9141,,0.9765,0.95,0.8939,
TCGA-DW-7837-01A,0.0,0.0,0.0,0.0,0.005,0.0,0.729,0.002,0.046,0.019,0.005,0.183,0.006,0.0,0.005,0.0,KIRP,0.8437,,0.8078,0.8,0.8089,
TCGA-A4-A5DU-01A,0.0,0.0,0.0,0.003,0.0,0.0,0.877,0.0,0.012,0.0,0.0,0.105,0.0,0.0,0.002,0.0,KIRP,0.9331,,0.9699,0.8,0.9595,
TCGA-2Z-A9JI-01A,0.042,0.0,0.003,0.003,0.011,0.0,0.665,0.0,0.034,0.002,0.006,0.226,0.001,0.0,0.005,0.0,KIRP,0.7927,,,0.7,0.7602,
TCGA-BQ-7050-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.838,0.0,0.023,0.001,0.003,0.133,0.0,0.0,0.002,0.0,KIRP,0.9328,,0.8446,0.85,0.8521,
TCGA-BQ-5894-01A,0.006,0.0,0.015,0.008,0.006,0.0,0.578,0.007,0.086,0.108,0.046,0.134,0.004,0.0,0.001,0.0,KIRP,0.7427,,0.6703,0.75,0.6473,
TCGA-BQ-5879-01A,0.007,0.0,0.007,0.0,0.0,0.0,0.674,0.0,0.093,0.068,0.02,0.116,0.012,0.0,0.002,0.0,KIRP,0.8551,,0.8664,0.8,0.8137,
TCGA-AL-3472-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.885,0.0,0.012,0.049,0.0,0.047,0.003,0.0,0.002,0.0,KIRP,0.93,,,0.8,0.831,
TCGA-MH-A560-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.814,0.0,0.02,0.0,0.002,0.163,0.0,0.0,0.0,0.0,KIRP,0.927,,0.8866,0.9,0.9015,
TCGA-BQ-5891-01A,0.0,0.0,0.001,0.002,0.001,0.0,0.884,0.0,0.018,0.002,0.0,0.09,0.0,0.0,0.001,0.0,KIRP,0.9468,,0.9894,0.8,0.9382,
TCGA-B9-A5W7-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.823,0.0,0.023,0.007,0.0,0.133,0.01,0.0,0.003,0.0,KIRP,0.8947,,0.8636,0.75,0.8675,
TCGA-UZ-A9PR-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.855,0.0,0.011,0.008,0.0,0.117,0.004,0.0,0.004,0.0,KIRP,0.9242,,,0.95,0.9165,
TCGA-B9-A69E-01A,0.0,0.0,0.005,0.0,0.021,0.0,0.443,0.0,0.095,0.012,0.059,0.363,0.0,0.0,0.001,0.0,KIRP,0.6807,,0.6494,0.8,0.6227,
TCGA-B3-4104-01A,0.021,0.0,0.012,0.0,0.0,0.004,0.814,0.002,0.055,0.032,0.041,0.013,0.005,0.0,0.0,0.0,KIRP,0.9188,,,0.85,0.9128,
TCGA-SX-A71R-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.019,0.0,0.0,0.062,0.006,0.002,0.003,0.0,KIRP,0.9555,,1.0,0.8,0.95,
TCGA-MH-A55Z-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.865,0.0,0.027,0.001,0.003,0.096,0.002,0.001,0.002,0.0,KIRP,0.9036,,0.9312,0.9,0.9168,
TCGA-UZ-A9PO-01A,0.002,0.0,0.0,0.0,0.0,0.0,0.674,0.0,0.014,0.001,0.001,0.307,0.0,0.0,0.001,0.0,KIRP,0.8514,,0.6929,0.7,0.6739,
TCGA-G7-7501-01A,0.0,0.0,0.0,0.002,0.004,0.0,0.777,0.003,0.043,0.004,0.02,0.145,0.0,0.0,0.002,0.0,KIRP,0.9077,,0.8912,0.825,0.8961,
TCGA-DW-7836-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.0,0.028,0.071,0.006,0.041,0.003,0.0,0.002,0.0,KIRP,0.9386,,1.0,0.9,0.9271,
TCGA-HE-A5NI-01A,0.0,0.0,0.0,0.003,0.0,0.0,0.778,0.0,0.032,0.001,0.001,0.176,0.008,0.0,0.002,0.0,KIRP,0.8754,,0.8733,0.8,0.8806,
TCGA-G7-A8LE-01A,0.0,0.0,0.003,0.001,0.0,0.001,0.704,0.009,0.046,0.144,0.025,0.06,0.002,0.0,0.006,0.0,KIRP,0.8947,,0.9134,0.7,0.8676,
TCGA-Y8-A895-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.89,0.0,0.02,0.0,0.0,0.078,0.005,0.0,0.005,0.0,KIRP,0.937,,0.8257,0.8,0.8299,
TCGA-UZ-A9PQ-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.899,0.0,0.044,0.004,0.024,0.028,0.0,0.0,0.001,0.0,KIRP,0.9678,,,0.9,0.5217,
TCGA-BQ-5884-01A,0.007,0.0,0.007,0.0,0.011,0.0,0.595,0.0,0.039,0.006,0.003,0.327,0.0,0.0,0.001,0.0,KIRP,0.8057,,0.6784,0.85,0.7019,
TCGA-BQ-5893-01A,0.003,0.0,0.003,0.002,0.002,0.0,0.833,0.001,0.066,0.031,0.009,0.046,0.003,0.001,0.0,0.0,KIRP,0.9314,,0.9196,0.8,0.9173,
TCGA-UZ-A9PV-01A,0.0,0.0,0.0,0.002,0.0,0.0,0.911,0.0,0.029,0.0,0.0,0.051,0.004,0.0,0.003,0.0,KIRP,0.9778,,,0.95,0.7965,
TCGA-B9-4113-01A,0.003,0.0,0.0,0.002,0.01,0.0,0.679,0.0,0.026,0.022,0.0,0.238,0.012,0.0,0.007,0.0,KIRP,0.8188,,,0.8,0.8448,
TCGA-B3-3926-01A,0.007,0.0,0.003,0.0,0.004,0.0,0.8,0.0,0.041,0.026,0.001,0.115,0.0,0.001,0.002,0.0,KIRP,0.8867,,,0.9,0.7346,
TCGA-2Z-A9J3-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.966,0.0,0.011,0.0,0.0,0.012,0.007,0.0,0.003,0.0,KIRP,0.9848,,0.9632,0.94,0.9899,
TCGA-Y8-A8RZ-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.817,0.0,0.005,0.0,0.0,0.175,0.0,0.0,0.001,0.0,KIRP,0.9188,,0.8967,0.9,0.9002,
TCGA-AT-A5NU-01A,0.006,0.0,0.0,0.002,0.002,0.0,0.87,0.0,0.036,0.039,0.0,0.039,0.004,0.0,0.003,0.0,KIRP,0.9539,,0.9738,0.65,0.974,
TCGA-G7-6792-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.82,0.028,0.028,0.016,0.0,0.098,0.003,0.0,0.003,0.0,KIRP,0.8888,,0.8232,0.9,0.8432,
TCGA-5P-A9KC-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.699,0.0,0.029,0.001,0.005,0.26,0.0,0.0,0.002,0.0,KIRP,0.8441,,,0.65,0.8174,
TCGA-Y8-A8S0-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0,0.01,0.046,0.0,0.092,0.004,0.0,0.003,0.0,KIRP,0.9399,,1.0,0.95,0.9289,
TCGA-B1-A655-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.569,0.0,0.029,0.001,0.012,0.386,0.0,0.0,0.0,0.0,KIRP,0.8352,,0.7219,0.8,0.7079,
TCGA-J7-8537-01A,0.021,0.0,0.013,0.004,0.046,0.0,0.526,0.007,0.048,0.042,0.014,0.275,0.002,0.0,0.002,0.0,KIRP,0.6963,,0.521,0.775,0.598,
TCGA-KV-A6GD-01A,0.014,0.001,0.0,0.001,0.009,0.0,0.459,0.0,0.035,0.039,0.057,0.381,0.0,0.0,0.003,0.0,KIRP,0.6256,,0.5579,0.8,0.5152,
TCGA-G7-A4TM-01A,0.006,0.0,0.001,0.005,0.001,0.0,0.767,0.007,0.039,0.042,0.007,0.105,0.015,0.0,0.005,0.0,KIRP,0.8597,,0.8937,0.9,0.82,
TCGA-G7-6790-01A,0.01,0.0,0.002,0.0,0.0,0.0,0.785,0.0,0.033,0.008,0.0,0.158,0.0,0.0,0.003,0.0,KIRP,0.9098,,0.7826,0.85,0.8806,
