,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-78-7161-01A,0.024,0.0,0.012,0.001,0.005,0.0,0.013,0.085,0.092,0.041,0.012,0.002,0.0,0.001,0.0,0.712,0.712,LUAD,0.8919,0.75,0.8136,0.8,0.8637,
TCGA-44-3398-01A,0.018,0.0,0.021,0.012,0.004,0.0,0.086,0.08,0.157,0.016,0.151,0.01,0.003,0.0,0.002,0.44,0.44,LUAD,0.4853,0.24,,0.75,0.3905,
TCGA-97-8547-01A,0.004,0.0,0.024,0.008,0.0,0.0,0.043,0.051,0.193,0.006,0.139,0.003,0.0,0.0,0.0,0.53,0.53,LUAD,0.6511,,0.7107,0.65,0.6947,
TCGA-91-6840-01A,0.024,0.004,0.014,0.023,0.029,0.0,0.024,0.106,0.008,0.081,0.051,0.005,0.0,0.0,0.0,0.629,0.629,LUAD,0.7975,0.62,0.7493,0.75,0.7434,
TCGA-55-6986-01A,0.016,0.004,0.014,0.003,0.009,0.0,0.042,0.054,0.048,0.009,0.092,0.002,0.0,0.0,0.0,0.706,0.706,LUAD,0.7872,0.4,0.6589,0.8,0.6777,
TCGA-05-4395-01A,0.0,0.0,0.008,0.018,0.0,0.0,0.0,0.036,0.016,0.006,0.069,0.004,0.0,0.0,0.0,0.841,0.841,LUAD,0.8025,0.61,,0.775,0.7424,
TCGA-44-7672-01A,0.056,0.012,0.049,0.015,0.007,0.0,0.048,0.058,0.174,0.009,0.157,0.005,0.0,0.001,0.001,0.408,0.408,LUAD,0.4866,0.19,0.5401,,0.4187,
TCGA-97-8175-01A,0.0,0.0,0.017,0.001,0.0,0.0,0.052,0.05,0.023,0.005,0.097,0.006,0.0,0.0,0.0,0.748,0.748,LUAD,0.7536,0.42,0.623,0.7,0.6338,
TCGA-55-8087-01A,0.004,0.0,0.007,0.01,0.0,0.0,0.047,0.033,0.071,0.012,0.067,0.004,0.0,0.0,0.0,0.743,0.743,LUAD,0.8301,0.81,0.8489,0.65,0.8572,
TCGA-78-7160-01A,0.004,0.004,0.02,0.01,0.014,0.0,0.035,0.079,0.091,0.032,0.132,0.003,0.0,0.001,0.001,0.574,0.574,LUAD,0.6089,0.32,0.5383,0.6,0.4858,
TCGA-L4-A4E5-01A,0.028,0.0,0.01,0.026,0.0,0.0,0.02,0.047,0.038,0.01,0.039,0.001,0.0,0.0,0.0,0.78,0.78,LUAD,0.8751,,0.7055,0.8,0.6887,
TCGA-97-A4LX-01A,0.044,0.019,0.041,0.04,0.026,0.0,0.056,0.065,0.125,0.019,0.217,0.004,0.0,0.002,0.001,0.341,0.341,LUAD,0.4519,,0.4511,0.65,0.3896,
TCGA-86-8359-01A,0.023,0.001,0.016,0.023,0.022,0.0,0.018,0.034,0.063,0.04,0.025,0.004,0.0,0.004,0.005,0.721,0.721,LUAD,0.7505,,0.5638,0.725,0.6717,
TCGA-44-6145-01A,0.029,0.013,0.024,0.028,0.01,0.0,0.012,0.062,0.116,0.016,0.126,0.005,0.0,0.003,0.001,0.554,0.554,LUAD,0.5543,0.31,0.4978,0.675,0.4508,
TCGA-78-7155-01A,0.001,0.0,0.0,0.001,0.032,0.0,0.0,0.029,0.017,0.006,0.031,0.001,0.0,0.0,0.001,0.881,0.881,LUAD,0.9447,0.81,0.8269,0.75,0.8811,
TCGA-55-7816-01A,0.012,0.0,0.024,0.018,0.014,0.0,0.044,0.193,0.244,0.024,0.179,0.006,0.0,0.001,0.035,0.206,0.206,LUAD,,,0.6027,0.7,0.5679,
TCGA-99-8025-01A,0.018,0.001,0.006,0.009,0.0,0.0,0.013,0.052,0.077,0.028,0.059,0.002,0.0,0.0,0.0,0.734,0.734,LUAD,0.8131,0.43,0.6815,0.65,0.6365,
TCGA-44-A47G-01A,0.04,0.015,0.032,0.019,0.015,0.0,0.069,0.076,0.126,0.015,0.194,0.007,0.0,0.001,0.001,0.391,0.391,LUAD,0.5044,,0.4373,0.75,0.3734,
TCGA-55-8615-01A,0.003,0.0,0.013,0.0,0.0,0.0,0.014,0.018,0.057,0.02,0.045,0.001,0.0,0.0,0.0,0.829,0.829,LUAD,0.8968,,0.7409,0.75,0.7303,
TCGA-73-7499-01A,0.028,0.0,0.034,0.029,0.025,0.0,0.03,0.019,0.041,0.01,0.125,0.002,0.0,0.0,0.0,0.656,0.656,LUAD,0.6702,0.39,0.6066,0.6,0.5676,
TCGA-86-7711-01A,0.01,0.0,0.006,0.012,0.0,0.0,0.001,0.013,0.082,0.026,0.123,0.002,0.0,0.027,0.008,0.69,0.69,LUAD,0.6469,0.33,0.4788,0.675,0.5034,
TCGA-86-8075-01A,0.015,0.0,0.022,0.011,0.0,0.0,0.024,0.067,0.185,0.015,0.141,0.006,0.0,0.001,0.0,0.511,0.511,LUAD,0.6224,0.31,0.6199,0.75,0.5429,
TCGA-86-7955-01A,0.0,0.0,0.001,0.011,0.0,0.0,0.003,0.025,0.002,0.016,0.001,0.002,0.0,0.0,0.0,0.939,0.939,LUAD,0.9786,0.73,0.8707,0.85,0.869,
TCGA-55-8513-01A,0.016,0.01,0.016,0.006,0.006,0.0,0.054,0.111,0.07,0.026,0.208,0.004,0.0,0.001,0.001,0.471,0.471,LUAD,0.5926,,0.6537,0.8,0.5425,
TCGA-MP-A4TC-01A,0.011,0.0,0.023,0.028,0.002,0.0,0.003,0.052,0.212,0.012,0.123,0.005,0.0,0.001,0.0,0.528,0.528,LUAD,0.6209,,0.5656,0.68,0.5243,
TCGA-05-4420-01A,0.042,0.0,0.005,0.003,0.001,0.0,0.0,0.027,0.044,0.026,0.039,0.003,0.0,0.004,0.002,0.805,0.805,LUAD,0.8695,0.61,,0.775,0.7413,
TCGA-86-8280-01A,0.036,0.005,0.036,0.009,0.018,0.0,0.061,0.105,0.122,0.022,0.126,0.006,0.0,0.001,0.0,0.45,0.45,LUAD,0.598,0.44,0.6226,0.725,0.5801,
TCGA-78-7166-01A,0.026,0.0,0.002,0.003,0.0,0.0,0.002,0.003,0.019,0.014,0.01,0.001,0.0,0.0,0.0,0.919,0.919,LUAD,0.8917,0.63,0.6715,0.7,0.7045,
TCGA-91-8499-01A,0.015,0.0,0.034,0.005,0.031,0.0,0.001,0.014,0.044,0.013,0.085,0.002,0.0,0.0,0.0,0.756,0.756,LUAD,0.8296,,0.7613,0.7,0.7542,
TCGA-71-6725-01A,0.001,0.0,0.001,0.0,0.0,0.0,0.011,0.066,0.004,0.013,0.093,0.0,0.0,0.0,0.0,0.812,0.812,LUAD,0.8843,0.63,0.5944,0.775,0.8068,
TCGA-69-7980-01A,0.006,0.0,0.024,0.036,0.008,0.0,0.037,0.061,0.075,0.022,0.109,0.001,0.0,0.0,0.0,0.62,0.62,LUAD,0.7051,0.55,0.7902,0.8,0.7267,
TCGA-L9-A8F4-01A,0.06,0.01,0.034,0.02,0.023,0.0,0.02,0.016,0.105,0.018,0.135,0.003,0.0,0.0,0.0,0.556,0.556,LUAD,0.6684,,0.4524,0.7,0.4757,
TCGA-05-4433-01A,0.0,0.0,0.015,0.011,0.013,0.0,0.023,0.07,0.029,0.01,0.184,0.004,0.0,0.0,0.0,0.638,0.638,LUAD,0.7108,0.62,0.5855,0.65,0.6843,
TCGA-55-A492-01A,0.027,0.0,0.006,0.001,0.0,0.0,0.002,0.029,0.0,0.039,0.047,0.001,0.0,0.0,0.0,0.846,0.846,LUAD,0.87,,0.8259,0.7,0.8321,
TCGA-73-4675-01A,0.015,0.0,0.007,0.007,0.0,0.0,0.024,0.038,0.105,0.024,0.09,0.003,0.0,0.0,0.0,0.687,0.687,LUAD,0.7734,0.57,,0.825,0.7027,
TCGA-50-5936-01A,0.008,0.001,0.023,0.002,0.0,0.0,0.01,0.053,0.104,0.006,0.102,0.003,0.0,0.0,0.001,0.686,0.686,LUAD,0.7575,0.44,0.7004,0.8,0.6819,
TCGA-44-7662-01A,0.02,0.0,0.019,0.031,0.007,0.0,0.007,0.049,0.234,0.025,0.099,0.005,0.0,0.0,0.0,0.504,0.504,LUAD,0.6064,0.33,0.5984,0.575,0.4761,
TCGA-78-7154-01A,0.0,0.001,0.009,0.005,0.0,0.0,0.013,0.061,0.039,0.013,0.036,0.003,0.0,0.0,0.0,0.819,0.819,LUAD,0.879,0.51,0.8102,0.775,0.8117,
TCGA-05-4244-01A,0.001,0.0,0.007,0.016,0.004,0.0,0.023,0.046,0.022,0.01,0.159,0.003,0.0,0.0,0.0,0.707,0.707,LUAD,0.782,0.44,,0.8,0.7019,
TCGA-73-7498-01A,0.024,0.0,0.015,0.01,0.004,0.001,0.033,0.103,0.086,0.057,0.064,0.007,0.0,0.0,0.0,0.595,0.595,LUAD,0.7432,0.62,0.7359,0.775,0.7355,
TCGA-50-5933-01A,0.008,0.0,0.022,0.022,0.002,0.0,0.002,0.111,0.165,0.012,0.239,0.005,0.0,0.001,0.0,0.412,0.412,LUAD,0.517,0.29,0.5967,0.7,0.4379,
TCGA-55-8507-01A,0.009,0.0,0.01,0.012,0.001,0.0,0.014,0.064,0.056,0.044,0.1,0.004,0.0,0.001,0.0,0.685,0.685,LUAD,0.8241,,0.6638,0.8,0.7466,
