,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-KL-8325-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.828,0.0,0.035,0.0,0.018,0.11,0.005,0.0,0.0,0.0,KICH,0.9584,,0.8851,0.9,0.8997,
TCGA-KO-8411-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.818,0.0,0.075,0.0,0.027,0.078,0.0,0.0,0.0,0.0,KICH,0.9495,,0.8649,0.9,0.909,
TCGA-KL-8331-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.879,0.0,0.03,0.0,0.024,0.065,0.001,0.0,0.0,0.0,KICH,0.9669,,0.9046,0.9,0.9227,
TCGA-KO-8409-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.829,0.0,0.036,0.0,0.029,0.104,0.001,0.0,0.001,0.0,KICH,0.9246,,0.8742,0.9,0.8975,
TCGA-KM-8439-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.73,0.0,0.064,0.0,0.027,0.173,0.002,0.0,0.002,0.0,KICH,0.9285,,0.8488,0.85,0.8853,
TCGA-KN-8423-01A,0.0,0.003,0.005,0.0,0.0,0.0,0.762,0.001,0.068,0.0,0.046,0.113,0.001,0.0,0.0,0.0,KICH,0.9087,,0.8412,0.925,0.8865,
TCGA-KL-8339-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.861,0.0,0.035,0.0,0.029,0.073,0.0,0.0,0.001,0.0,KICH,0.9544,,1.0,0.9,0.9486,
TCGA-KN-8434-01A,0.0,0.0,0.005,0.0,0.0,0.0,0.608,0.0,0.131,0.0,0.058,0.181,0.013,0.001,0.001,0.0,KICH,0.8623,,0.8609,0.9,0.8475,
TCGA-KL-8342-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.777,0.0,0.099,0.0,0.024,0.095,0.0,0.002,0.0,0.0,KICH,0.8709,,0.8524,0.95,0.8482,
TCGA-KN-8428-01A,0.023,0.0,0.005,0.0,0.0,0.0,0.846,0.0,0.018,0.0,0.044,0.062,0.001,0.0,0.0,0.0,KICH,0.9468,,0.8406,0.85,0.8929,
TCGA-KO-8416-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.781,0.0,0.049,0.0,0.039,0.129,0.001,0.0,0.0,0.0,KICH,0.9039,,0.9159,0.9,0.908,
TCGA-KL-8344-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.497,0.0,0.232,0.0,0.169,0.096,0.004,0.0,0.0,0.0,KICH,0.8692,,0.8934,0.9,0.8712,
TCGA-KM-8441-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.612,0.0,0.139,0.0,0.057,0.19,0.0,0.0,0.0,0.0,KICH,0.8751,,0.7068,0.85,0.7655,
TCGA-KM-8442-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.788,0.0,0.067,0.0,0.041,0.1,0.0,0.0,0.0,0.0,KICH,0.9359,,0.9347,0.9,0.9253,
TCGA-KL-8346-01A,0.0,0.001,0.0,0.0,0.0,0.0,0.911,0.0,0.027,0.0,0.034,0.026,0.0,0.0,0.0,0.0,KICH,0.9849,,0.9466,0.925,0.981,
TCGA-KL-8341-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.915,0.0,0.021,0.0,0.018,0.045,0.0,0.0,0.0,0.0,KICH,0.9841,,0.9607,0.95,0.9887,
TCGA-KL-8330-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.872,0.0,0.025,0.0,0.027,0.074,0.0,0.0,0.0,0.0,KICH,0.9838,,1.0,0.95,0.9943,
TCGA-KN-8431-01A,0.0,0.001,0.002,0.0,0.0,0.0,0.687,0.0,0.097,0.0,0.054,0.158,0.001,0.0,0.0,0.0,KICH,0.9402,,0.877,0.95,0.8902,
TCGA-KO-8403-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.671,0.0,0.098,0.0,0.028,0.2,0.002,0.0,0.0,0.0,KICH,0.8475,,0.7143,0.875,0.8034,
TCGA-KO-8405-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.481,0.0,0.076,0.0,0.047,0.39,0.001,0.0,0.0,0.0,KICH,0.6554,,0.6439,0.875,0.6163,
TCGA-KN-8435-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.852,0.0,0.054,0.0,0.038,0.053,0.0,0.0,0.0,0.0,KICH,0.9713,,0.9998,0.95,0.9716,
TCGA-KN-8419-01A,0.0,0.0,0.007,0.0,0.0,0.0,0.66,0.001,0.117,0.0,0.041,0.172,0.001,0.0,0.0,0.0,KICH,0.8808,,0.6321,0.95,0.7256,
TCGA-KL-8337-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.872,0.0,0.042,0.0,0.025,0.058,0.001,0.0,0.001,0.0,KICH,0.9735,,0.9681,0.95,0.9745,
TCGA-KL-8332-01A,0.0,0.001,0.001,0.0,0.0,0.0,0.675,0.0,0.156,0.0,0.059,0.108,0.0,0.0,0.0,0.0,KICH,0.8631,,0.813,0.925,0.8198,
TCGA-KO-8413-01A,0.001,0.001,0.003,0.0,0.0,0.0,0.619,0.0,0.119,0.0,0.064,0.19,0.002,0.001,0.001,0.0,KICH,0.8014,,0.7841,0.875,0.7811,
TCGA-KM-8443-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.911,0.0,0.03,0.0,0.011,0.046,0.001,0.0,0.0,0.0,KICH,0.9891,,0.9164,0.9,0.9661,
TCGA-KL-8333-01A,0.019,0.02,0.017,0.0,0.001,0.001,0.405,0.0,0.25,0.012,0.111,0.156,0.007,0.0,0.0,0.0,KICH,0.7333,,0.6393,0.85,0.6484,
TCGA-KL-8334-01A,0.001,0.0,0.008,0.0,0.0,0.0,0.735,0.0,0.062,0.0,0.036,0.15,0.005,0.002,0.001,0.0,KICH,0.8982,,0.8271,0.875,0.8519,
TCGA-KN-8427-01A,0.0,0.0,0.005,0.01,0.001,0.0,0.669,0.0,0.074,0.124,0.027,0.085,0.0,0.0,0.005,0.0,KICH,0.8593,,0.5282,0.9,0.8194,
TCGA-KL-8338-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.84,0.0,0.032,0.0,0.033,0.093,0.0,0.0,0.0,0.0,KICH,0.9497,,0.8128,0.95,0.8785,
TCGA-KN-8432-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.715,0.0,0.096,0.0,0.056,0.116,0.007,0.008,0.0,0.0,KICH,0.9144,,0.9195,0.95,0.9172,
TCGA-KO-8410-01A,0.001,0.008,0.004,0.0,0.0,0.0,0.735,0.0,0.092,0.0,0.042,0.118,0.0,0.0,0.0,0.0,KICH,0.9004,,0.8525,0.9,0.8753,
TCGA-KN-8437-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.684,0.0,0.101,0.0,0.041,0.17,0.0,0.0,0.002,0.0,KICH,0.9183,,0.8362,0.95,0.8423,
TCGA-KN-8430-01A,0.001,0.001,0.004,0.0,0.0,0.0,0.656,0.0,0.131,0.0,0.053,0.154,0.0,0.0,0.0,0.0,KICH,0.8422,,0.7952,0.95,0.7951,
TCGA-KM-8477-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.769,0.0,0.066,0.0,0.03,0.126,0.007,0.0,0.0,0.0,KICH,0.9005,,0.8571,0.92,0.8711,
TCGA-KO-8414-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.865,0.0,0.035,0.0,0.023,0.068,0.0,0.006,0.001,0.0,KICH,0.9251,,0.9247,0.9,0.9275,
TCGA-KL-8323-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.832,0.0,0.069,0.0,0.011,0.08,0.004,0.001,0.001,0.0,KICH,0.9473,,0.906,0.9,0.9243,
TCGA-KL-8328-01A,0.001,0.0,0.001,0.0,0.0,0.0,0.901,0.0,0.016,0.0,0.022,0.059,0.0,0.0,0.0,0.0,KICH,0.9859,,0.9826,0.9,0.9957,
TCGA-KN-8426-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.838,0.0,0.04,0.0,0.021,0.094,0.0,0.002,0.003,0.0,KICH,0.9123,,0.8535,0.95,0.877,
TCGA-KL-8336-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.788,0.0,0.048,0.0,0.025,0.138,0.0,0.0,0.0,0.0,KICH,0.8924,,0.8519,0.8,0.8626,
TCGA-KL-8329-01A,0.001,0.0,0.012,0.0,0.0,0.0,0.7,0.0,0.041,0.0,0.041,0.198,0.005,0.001,0.0,0.0,KICH,0.8629,,0.8365,0.875,0.8427,
TCGA-KN-8429-01A,0.002,0.001,0.001,0.0,0.0,0.0,0.799,0.0,0.058,0.0,0.034,0.099,0.001,0.003,0.001,0.0,KICH,0.9252,,0.9007,0.9,0.9089,
TCGA-KL-8326-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.845,0.0,0.045,0.0,0.057,0.051,0.001,0.0,0.0,0.0,KICH,0.9698,,0.8902,0.9,0.9376,
TCGA-KN-8425-01A,0.0,0.0,0.008,0.0,0.0,0.0,0.68,0.0,0.068,0.0,0.027,0.211,0.002,0.003,0.0,0.0,KICH,0.8688,,0.8114,0.8,0.8323,
TCGA-KL-8327-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0.052,0.0,0.042,0.129,0.001,0.0,0.0,0.0,KICH,0.94,,0.8337,0.9,0.8806,
TCGA-KL-8343-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.722,0.0,0.102,0.0,0.074,0.094,0.005,0.0,0.0,0.0,KICH,0.9339,,0.8387,0.9,0.8452,
TCGA-KL-8324-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.823,0.0,0.053,0.0,0.044,0.072,0.001,0.001,0.0,0.0,KICH,0.937,,0.954,0.9,0.9528,
TCGA-KN-8433-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.716,0.0,0.052,0.0,0.069,0.159,0.001,0.0,0.0,0.0,KICH,0.8605,,0.7569,0.925,0.821,
TCGA-KO-8417-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.853,0.0,0.057,0.0,0.034,0.053,0.002,0.0,0.0,0.0,KICH,0.9727,,0.933,0.9,0.956,
TCGA-KM-8639-01A,0.005,0.0,0.006,0.0,0.001,0.0,0.687,0.0,0.084,0.0,0.026,0.175,0.011,0.0,0.004,0.0,KICH,0.9394,,0.7932,0.9,0.86,
TCGA-KL-8340-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.788,0.0,0.065,0.0,0.061,0.081,0.001,0.001,0.001,0.0,KICH,0.9317,,0.8861,0.95,0.9093,
TCGA-KO-8404-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.168,0.0,0.025,0.359,0.001,0.44,0.0,0.001,0.001,0.0,KICH,0.5813,,0.5659,0.85,0.5247,
TCGA-KM-8440-01A,0.0,0.001,0.002,0.0,0.0,0.0,0.845,0.0,0.042,0.0,0.018,0.084,0.007,0.001,0.0,0.0,KICH,0.9686,,0.9808,0.85,0.9679,
TCGA-KN-8436-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.887,0.0,0.055,0.0,0.018,0.038,0.0,0.0,0.0,0.0,KICH,0.9634,,0.982,0.95,0.9609,
TCGA-KN-8424-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.661,0.0,0.107,0.0,0.021,0.194,0.009,0.001,0.001,0.0,KICH,0.8467,,0.8117,0.9,0.8079,
