,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-XF-A9SP-01A,0.016,0.0,0.006,0.003,0.0,0.0,0.489,0.011,0.064,0.277,0.06,0.069,0.004,0.0,0.001,0.0,BLCA,0.7258,,0.6252,0.7,0.6382,
TCGA-E7-A4XJ-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.959,0.003,0.021,0.0,0.013,0.001,0.002,0.0,0.0,0.0,BLCA,0.9675,,0.8288,0.8,0.836,
TCGA-XF-A8HB-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.946,0.001,0.018,0.0,0.007,0.026,0.0,0.0,0.0,0.0,BLCA,0.9849,,0.8762,0.8,0.8893,
TCGA-SY-A9G5-01A,0.004,0.0,0.028,0.055,0.0,0.0,0.557,0.037,0.044,0.182,0.012,0.076,0.002,0.0,0.003,0.001,BLCA,0.642,,0.6092,0.7,0.5755,
TCGA-XF-AAMX-01A,0.009,0.0,0.002,0.002,0.0,0.0,0.81,0.005,0.027,0.076,0.023,0.045,0.0,0.0,0.0,0.0,BLCA,0.9089,,,0.8,0.8391,
TCGA-ZF-AA58-01A,0.007,0.0,0.031,0.056,0.0,0.001,0.448,0.002,0.051,0.144,0.044,0.205,0.0,0.0,0.004,0.007,BLCA,0.5464,,,0.9,0.5706,
TCGA-XF-AAMG-01A,0.0,0.0,0.004,0.001,0.014,0.0,0.752,0.002,0.048,0.052,0.053,0.069,0.001,0.0,0.003,0.0,BLCA,0.8916,,,0.7,0.8273,
TCGA-DK-AA74-01A,0.004,0.0,0.018,0.013,0.001,0.0,0.406,0.038,0.059,0.281,0.021,0.147,0.001,0.0,0.009,0.001,BLCA,0.454,,0.4944,0.7,0.4406,
TCGA-ZF-AA4T-01A,0.0,0.0,0.001,0.009,0.0,0.0,0.954,0.001,0.022,0.0,0.005,0.004,0.0,0.0,0.001,0.0,BLCA,0.9744,,0.5578,0.85,0.7913,
TCGA-FD-A5BV-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.927,0.0,0.038,0.01,0.011,0.012,0.0,0.0,0.0,0.0,BLCA,0.9595,,0.8099,0.7,0.8114,
TCGA-YF-AA3L-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.917,0.004,0.041,0.0,0.016,0.02,0.0,0.0,0.0,0.0,BLCA,0.9571,,0.8584,0.8,0.8684,
TCGA-FJ-A871-01A,0.001,0.0,0.0,0.004,0.0,0.0,0.749,0.013,0.029,0.151,0.036,0.012,0.003,0.0,0.001,0.0,BLCA,0.949,,0.9025,0.75,0.9202,
TCGA-FD-A6TF-01A,0.002,0.0,0.005,0.004,0.0,0.0,0.655,0.003,0.066,0.151,0.059,0.051,0.001,0.0,0.001,0.0,BLCA,0.8111,,0.7218,0.7,0.754,
TCGA-ZF-A9RN-01A,0.0,0.0,0.034,0.0,0.051,0.0,0.818,0.021,0.028,0.006,0.003,0.036,0.0,0.0,0.002,0.0,BLCA,0.8824,,,0.9,0.7987,
TCGA-GV-A3QF-01A,0.005,0.0,0.0,0.002,0.0,0.0,0.943,0.0,0.023,0.0,0.015,0.005,0.0,0.0,0.007,0.0,BLCA,0.9785,,0.431,0.9,0.7913,
TCGA-FD-A3N5-01A,0.0,0.0,0.012,0.01,0.0,0.0,0.877,0.01,0.03,0.001,0.024,0.024,0.0,0.0,0.004,0.007,BLCA,0.9078,0.66,0.6969,0.8,0.8347,
TCGA-XF-A8HG-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.001,0.0,0.004,0.033,0.0,0.0,0.0,0.0,BLCA,0.9774,,0.724,0.9,0.7466,
TCGA-XF-A9SM-01A,0.002,0.0,0.039,0.052,0.002,0.0,0.504,0.011,0.042,0.107,0.013,0.215,0.0,0.0,0.011,0.001,BLCA,0.5598,,,0.75,0.535,
TCGA-XF-AAME-01A,0.021,0.017,0.028,0.001,0.01,0.0,0.263,0.04,0.115,0.287,0.081,0.097,0.009,0.0,0.012,0.02,BLCA,0.4476,,,0.65,0.4812,
TCGA-GC-A3YS-01A,0.0,0.0,0.01,0.005,0.0,0.0,0.656,0.0,0.043,0.189,0.015,0.074,0.0,0.0,0.007,0.0,BLCA,0.7607,0.32,0.7409,0.8,0.7079,
TCGA-HQ-A2OF-01A,0.0,0.0,0.0,0.004,0.0,0.0,0.933,0.0,0.031,0.001,0.02,0.01,0.001,0.0,0.0,0.0,BLCA,0.9876,,0.9883,0.9,0.9937,
TCGA-FD-A5BX-01A,0.0,0.0,0.0,0.011,0.0,0.0,0.215,0.003,0.119,0.251,0.077,0.32,0.002,0.0,0.001,0.0,BLCA,0.6119,,0.4777,0.7,0.4834,
TCGA-CU-A3KJ-01A,0.0,0.0,0.002,0.014,0.001,0.0,0.925,0.0,0.029,0.0,0.003,0.024,0.0,0.0,0.002,0.001,BLCA,0.9047,0.74,0.6096,0.95,0.8726,
TCGA-G2-A2ES-01A,0.0,0.0,0.009,0.009,0.0,0.0,0.819,0.001,0.054,0.05,0.009,0.031,0.0,0.0,0.001,0.016,BLCA,0.8104,0.55,0.6059,0.75,0.6932,
TCGA-FD-A6TI-01A,0.0,0.0,0.0,0.004,0.0,0.0,0.872,0.0,0.046,0.005,0.023,0.049,0.0,0.0,0.0,0.0,BLCA,0.9216,,0.8107,0.85,0.8123,
TCGA-XF-A9SL-01A,0.005,0.042,0.025,0.0,0.0,0.004,0.345,0.07,0.087,0.234,0.113,0.063,0.013,0.0,0.0,0.0,BLCA,0.5568,,0.4793,0.6,0.4229,
TCGA-E5-A2PC-01A,0.0,0.0,0.0,0.013,0.0,0.0,0.936,0.0,0.017,0.0,0.006,0.025,0.0,0.0,0.001,0.0,BLCA,0.9381,0.82,0.7245,0.9,0.8812,
TCGA-FD-A3B7-01A,0.024,0.0,0.027,0.025,0.027,0.0,0.397,0.009,0.096,0.232,0.023,0.101,0.003,0.0,0.012,0.024,BLCA,0.5105,0.27,0.4197,0.8,0.3859,
TCGA-BT-A3PJ-01A,0.0,0.0,0.026,0.01,0.0,0.0,0.797,0.001,0.053,0.035,0.004,0.065,0.0,0.0,0.007,0.001,BLCA,0.8356,0.51,0.5,0.9,0.7169,
