,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-32-2616-01A,0.0,0.0,0.005,0.0,0.003,0.0,0.806,0.0,0.015,0.0,0.006,0.161,0.0,0.0,0.002,0.0,GBM,0.8667,0.82,,0.85,0.836,
TCGA-32-1980-01A,0.001,0.0,0.007,0.001,0.011,0.0,0.537,0.001,0.087,0.021,0.025,0.301,0.001,0.003,0.003,0.0,GBM,0.7042,,0.7362,0.3,0.6089,
TCGA-28-2514-01A,0.001,0.0,0.002,0.002,0.006,0.0,0.758,0.007,0.095,0.0,0.019,0.105,0.0,0.001,0.004,0.0,GBM,0.9072,0.88,,0.8,0.8845,
TCGA-06-0644-01A,0.001,0.0,0.017,0.0,0.0,0.0,0.551,0.0,0.045,0.194,0.0,0.189,0.002,0.0,0.001,0.0,GBM,0.6744,0.64,,0.95,0.7697,
TCGA-06-1804-01A,0.002,0.0,0.004,0.004,0.004,0.0,0.805,0.007,0.058,0.003,0.003,0.095,0.001,0.003,0.012,0.0,GBM,0.8919,0.82,0.7974,0.675,0.8302,
TCGA-41-2571-01A,0.0,0.0,0.0,0.001,0.002,0.0,0.864,0.001,0.023,0.0,0.004,0.097,0.0,0.004,0.003,0.0,GBM,0.9268,0.78,,0.8,0.9025,
TCGA-19-2619-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.814,0.002,0.073,0.002,0.019,0.081,0.0,0.0,0.005,0.0,GBM,0.9061,0.89,,0.85,0.97,
TCGA-27-1837-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.733,0.005,0.064,0.005,0.009,0.177,0.0,0.002,0.002,0.0,GBM,0.8521,0.82,,0.875,0.8097,
TCGA-27-1832-01A,0.001,0.0,0.005,0.006,0.004,0.0,0.626,0.007,0.03,0.082,0.005,0.232,0.0,0.0,0.001,0.0,GBM,0.7211,0.6,,0.95,0.7318,
TCGA-06-0686-01A,0.0,0.0,0.001,0.0,0.001,0.0,0.774,0.008,0.062,0.001,0.031,0.118,0.0,0.001,0.002,0.0,GBM,0.8824,0.75,,0.925,0.8508,
