,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-CV-5442-01A,0.0,0.0,0.0,0.002,0.001,0.0,0.986,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,HNSC,0.9748,0.85,0.7133,0.45,0.8333,
TCGA-CR-7392-01A,0.04,0.008,0.034,0.002,0.021,0.001,0.456,0.027,0.092,0.194,0.04,0.057,0.007,0.001,0.012,0.01,HNSC,0.5745,0.18,0.3944,0.6,0.3832,
TCGA-CN-A642-01A,0.0,0.0,0.007,0.031,0.001,0.0,0.812,0.023,0.019,0.04,0.022,0.042,0.001,0.0,0.0,0.0,HNSC,0.8051,,0.7098,0.9,0.7019,
TCGA-CV-A45U-01A,0.003,0.0,0.018,0.012,0.007,0.0,0.879,0.006,0.008,0.044,0.008,0.012,0.002,0.0,0.0,0.0,HNSC,0.9199,,0.6464,0.75,0.7913,
TCGA-CN-6012-01A,0.03,0.0,0.015,0.002,0.013,0.0,0.767,0.016,0.039,0.059,0.012,0.042,0.001,0.0,0.003,0.001,HNSC,0.795,0.61,0.6929,0.8,0.7367,
TCGA-CV-A45W-01A,0.085,0.013,0.015,0.002,0.02,0.0,0.65,0.014,0.033,0.064,0.02,0.079,0.001,0.002,0.0,0.001,HNSC,0.7351,,0.5873,0.8,0.6507,
TCGA-CV-A6K0-01B,0.001,0.001,0.041,0.001,0.021,0.001,0.54,0.071,0.071,0.167,0.04,0.027,0.003,0.0,0.014,0.001,HNSC,0.6557,,0.5425,0.7,0.543,
TCGA-QK-A6VB-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.917,0.002,0.009,0.046,0.012,0.011,0.0,0.0,0.0,0.0,HNSC,0.947,,0.4643,0.8,0.7913,
TCGA-CV-6959-01A,0.007,0.001,0.011,0.007,0.006,0.0,0.704,0.021,0.081,0.051,0.045,0.043,0.004,0.001,0.001,0.015,HNSC,0.7764,0.4,0.6602,0.705,0.6355,
TCGA-HD-7832-01A,0.0,0.0,0.01,0.02,0.002,0.0,0.874,0.002,0.019,0.024,0.008,0.037,0.002,0.0,0.001,0.0,HNSC,0.855,0.73,0.7592,0.75,0.7827,
