,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-OR-A5LL-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.826,0.0,0.026,0.005,0.076,0.062,0.001,0.0,0.0,0.0,ACC,0.9463,,0.8955,0.98,0.9253,
TCGA-OR-A5K1-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.604,0.0,0.157,0.0,0.151,0.075,0.01,0.001,0.0,0.0,ACC,0.9003,,0.8611,1.0,0.8752,
TCGA-PK-A5HA-01A,0.0,0.0,0.002,0.001,0.001,0.0,0.525,0.0,0.118,0.0,0.13,0.221,0.003,0.0,0.0,0.0,ACC,0.7793,,0.8779,0.8,0.7913,
TCGA-OR-A5LR-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.757,0.001,0.052,0.013,0.114,0.048,0.015,0.0,0.0,0.0,ACC,0.9025,,0.9102,0.95,0.8806,
TCGA-OR-A5JX-01A,0.0,0.0,0.002,0.0,0.001,0.0,0.715,0.009,0.089,0.0,0.151,0.03,0.001,0.0,0.0,0.0,ACC,0.9264,,0.9663,1.0,0.97,
TCGA-OU-A5PI-01A,0.0,0.0,0.001,0.0,0.003,0.0,0.84,0.0,0.016,0.039,0.062,0.036,0.002,0.0,0.0,0.0,ACC,0.9435,,0.9848,0.95,0.9338,
TCGA-OR-A5JA-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.816,0.0,0.023,0.001,0.089,0.057,0.011,0.0,0.0,0.0,ACC,0.9568,,0.9783,0.9,0.9518,
TCGA-OR-A5KY-01A,0.0,0.0,0.0,0.002,0.003,0.0,0.8,0.001,0.035,0.016,0.053,0.089,0.001,0.0,0.0,0.0,ACC,0.909,,0.8969,0.8,0.887,
TCGA-OR-A5L9-01A,0.0,0.0,0.003,0.004,0.0,0.0,0.012,0.001,0.096,0.0,0.455,0.392,0.034,0.002,0.0,0.0,ACC,0.8106,,0.828,0.8,0.8327,
TCGA-PK-A5H9-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.051,0.0,0.405,0.083,0.207,0.217,0.021,0.002,0.0,0.011,ACC,0.866,,0.8899,0.8,0.8285,
