,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-AG-3896-01A,0.01,0.0,0.013,0.0,0.0,0.001,0.024,0.035,0.038,0.019,0.031,0.001,0.0,0.0,0.0,0.827,0.827,READ,,0.63,,0.7,0.7479,
TCGA-DC-4745-01A,0.0,0.0,0.009,0.001,0.0,0.0,0.015,0.019,0.01,0.022,0.013,0.0,0.0,0.0,0.0,0.911,0.911,READ,0.9069,0.8,0.9118,0.75,0.9214,
TCGA-AH-6903-01A,0.004,0.0,0.009,0.001,0.0,0.0,0.015,0.005,0.002,0.011,0.01,0.002,0.0,0.0,0.0,0.939,0.939,READ,0.9648,0.64,0.8045,0.75,0.7982,
TCGA-AG-3599-01A,0.002,0.0,0.015,0.017,0.0,0.0,0.026,0.013,0.012,0.011,0.036,0.002,0.0,0.0,0.0,0.866,0.866,READ,,0.83,,0.8,0.8929,
TCGA-AG-3581-01A,0.013,0.0,0.013,0.004,0.0,0.0,0.018,0.031,0.036,0.013,0.037,0.002,0.0,0.0,0.0,0.833,0.833,READ,,0.65,,0.75,0.7792,
TCGA-AG-3881-01A,0.0,0.0,0.01,0.008,0.0,0.0,0.017,0.028,0.072,0.041,0.053,0.0,0.001,0.0,0.0,0.767,0.767,READ,,0.67,,0.7,0.8171,
TCGA-CL-5917-01A,0.0,0.0,0.005,0.003,0.0,0.0,0.005,0.019,0.057,0.012,0.01,0.002,0.0,0.0,0.0,0.887,0.887,READ,0.9472,0.79,0.868,0.8,0.912,
TCGA-AG-3902-01A,0.015,0.0,0.022,0.034,0.001,0.001,0.031,0.015,0.011,0.01,0.053,0.002,0.001,0.001,0.0,0.803,0.803,READ,0.8382,0.53,,0.7,0.6655,
TCGA-CI-6624-01C,0.013,0.001,0.021,0.003,0.001,0.0,0.031,0.035,0.063,0.013,0.05,0.006,0.0,0.0,0.0,0.762,0.762,READ,0.8149,0.35,0.6904,0.65,0.671,
TCGA-AF-2692-01A,0.001,0.0,0.009,0.007,0.0,0.0,0.039,0.018,0.053,0.013,0.015,0.002,0.0,0.001,0.0,0.84,0.84,READ,,0.74,,0.8,0.8279,
TCGA-DC-6683-01A,0.0,0.002,0.006,0.002,0.0,0.0,0.004,0.007,0.037,0.01,0.044,0.002,0.0,0.0,0.0,0.886,0.886,READ,0.9023,0.61,0.7573,0.75,0.7454,
TCGA-DC-6682-01A,0.0,0.001,0.007,0.01,0.0,0.0,0.019,0.007,0.003,0.007,0.01,0.0,0.0,0.0,0.0,0.935,0.935,READ,0.9534,0.49,0.7534,0.775,0.7235,
TCGA-F5-6702-01A,0.0,0.0,0.02,0.002,0.0,0.0,0.014,0.042,0.346,0.024,0.078,0.004,0.0,0.002,0.0,0.468,0.468,READ,0.6982,0.32,0.7578,0.8,0.629,
TCGA-AF-4110-01A,0.052,0.0,0.021,0.009,0.0,0.001,0.027,0.041,0.095,0.018,0.044,0.002,0.0,0.0,0.0,0.689,0.689,READ,0.7828,0.42,0.7075,0.5167,0.6965,
TCGA-F5-6861-01A,0.0,0.0,0.008,0.01,0.0,0.0,0.01,0.016,0.03,0.019,0.026,0.001,0.0,0.0,0.0,0.88,0.88,READ,0.9319,,0.6728,0.8,0.769,
TCGA-G5-6235-01A,0.0,0.006,0.003,0.003,0.0,0.0,0.004,0.005,0.001,0.005,0.001,0.002,0.0,0.001,0.0,0.969,0.969,READ,0.9792,0.33,0.8155,0.755,0.7823,
TCGA-AG-3999-01A,0.0,0.0,0.004,0.001,0.0,0.0,0.01,0.015,0.036,0.017,0.02,0.002,0.0,0.0,0.0,0.895,0.895,READ,,0.73,,0.8,0.7897,
TCGA-AG-A02N-01A,0.0,0.001,0.006,0.015,0.011,0.0,0.013,0.003,0.003,0.001,0.029,0.004,0.0,0.0,0.0,0.915,0.915,READ,,0.84,0.651,0.825,0.7019,
TCGA-AF-6136-01A,0.009,0.006,0.01,0.001,0.0,0.0,0.022,0.035,0.014,0.011,0.012,0.004,0.0,0.0,0.0,0.875,0.875,READ,0.9258,0.59,0.7889,0.75,0.789,
TCGA-AG-3580-01A,0.013,0.0,0.013,0.015,0.0,0.0,0.024,0.009,0.023,0.01,0.021,0.001,0.0,0.0,0.001,0.869,0.869,READ,,0.71,,0.8,0.8137,
TCGA-DY-A1H8-01A,0.0,0.0,0.0,0.002,0.0,0.001,0.003,0.005,0.001,0.003,0.002,0.0,0.0,0.0,0.0,0.983,0.983,READ,0.9887,0.89,0.9063,0.8,0.9599,
TCGA-AG-A032-01A,0.001,0.0,0.007,0.004,0.0,0.001,0.021,0.019,0.03,0.01,0.018,0.001,0.0,0.0,0.0,0.89,0.89,READ,,0.69,,0.7,0.7819,
TCGA-EI-6512-01A,0.0,0.0,0.011,0.004,0.0,0.0,0.013,0.016,0.033,0.004,0.03,0.003,0.0,0.0,0.0,0.885,0.885,READ,0.9142,0.63,0.746,0.8,0.7758,
TCGA-AG-3575-01A,0.0,0.0,0.009,0.004,0.0,0.0,0.015,0.031,0.109,0.014,0.05,0.002,0.0,0.0,0.0,0.765,0.765,READ,,0.74,,0.85,0.7386,
TCGA-AF-6672-01A,0.002,0.014,0.006,0.007,0.0,0.017,0.018,0.009,0.026,0.011,0.011,0.002,0.0,0.0,0.0,0.874,0.874,READ,0.9426,0.71,0.7331,0.8,0.8137,
TCGA-EI-6514-01A,0.0,0.0,0.003,0.001,0.0,0.0,0.009,0.021,0.062,0.028,0.038,0.001,0.0,0.0,0.0,0.839,0.839,READ,0.8862,0.72,0.8866,0.8,0.8508,
TCGA-AH-6644-01A,0.0,0.0,0.014,0.006,0.0,0.0,0.015,0.034,0.123,0.016,0.035,0.002,0.0,0.0,0.0,0.754,0.754,READ,0.8206,0.57,0.7445,0.75,0.7507,
TCGA-AF-6655-01A,0.0,0.0,0.009,0.003,0.0,0.001,0.009,0.035,0.121,0.016,0.03,0.003,0.0,0.001,0.0,0.773,0.773,READ,0.8505,0.45,0.6985,0.575,0.6466,
TCGA-AF-A56K-01A,0.006,0.0,0.013,0.006,0.0,0.0,0.018,0.06,0.093,0.025,0.034,0.001,0.0,0.0,0.0,0.742,0.742,READ,0.8211,,0.6853,0.6,0.6649,
TCGA-G5-6641-01A,0.003,0.0,0.002,0.0,0.0,0.0,0.004,0.001,0.0,0.006,0.005,0.001,0.0,0.0,0.0,0.977,0.977,READ,0.9929,0.76,0.771,0.8,0.8374,
TCGA-DY-A1DG-01A,0.0,0.0,0.0,0.003,0.0,0.0,0.006,0.011,0.0,0.005,0.014,0.0,0.0,0.0,0.0,0.96,0.96,READ,0.982,0.92,0.8513,0.95,0.9231,
TCGA-AG-4001-01A,0.0,0.0,0.012,0.006,0.0,0.0,0.022,0.032,0.123,0.024,0.078,0.001,0.0,0.0,0.0,0.702,0.702,READ,,0.48,,0.75,0.6181,
TCGA-AG-A026-01A,0.0,0.0,0.001,0.004,0.0,0.0,0.002,0.02,0.017,0.04,0.024,0.0,0.0,0.0,0.0,0.891,0.891,READ,,0.9,0.8751,0.6375,0.888,
TCGA-EI-7004-01A,0.0,0.007,0.024,0.002,0.0,0.0,0.016,0.116,0.293,0.041,0.066,0.006,0.0,0.01,0.0,0.419,0.419,READ,0.6073,0.49,0.7274,0.725,0.671,
TCGA-AG-3878-01A,0.003,0.0,0.029,0.011,0.0,0.0,0.029,0.022,0.113,0.017,0.042,0.001,0.001,0.0,0.001,0.731,0.731,READ,,0.41,,0.75,0.6938,
TCGA-AG-3611-01A,0.008,0.0,0.007,0.002,0.0,0.001,0.009,0.007,0.011,0.004,0.031,0.003,0.002,0.002,0.0,0.913,0.913,READ,,0.87,,0.84,0.8784,
TCGA-AF-3400-01A,0.001,0.0,0.015,0.006,0.0,0.0,0.01,0.036,0.189,0.02,0.146,0.001,0.001,0.006,0.063,0.506,0.506,READ,,0.23,,0.8,0.5862,
TCGA-G5-6572-01A,0.0,0.0,0.001,0.0,0.0,0.001,0.007,0.034,0.208,0.015,0.019,0.001,0.0,0.0,0.0,0.714,0.714,READ,0.8875,0.75,0.8728,0.8,0.8659,
TCGA-AG-3574-01A,0.003,0.0,0.004,0.002,0.0,0.0,0.018,0.013,0.039,0.018,0.024,0.0,0.0,0.0,0.001,0.877,0.877,READ,,0.86,,0.75,0.7955,
TCGA-AG-3605-01A,0.005,0.0,0.004,0.001,0.0,0.007,0.011,0.008,0.001,0.007,0.011,0.0,0.0,0.0,0.001,0.944,0.944,READ,,0.71,,0.95,0.7914,
TCGA-AG-3731-01A,0.014,0.011,0.031,0.02,0.004,0.001,0.021,0.068,0.116,0.029,0.063,0.003,0.001,0.006,0.002,0.612,0.612,READ,0.6928,0.3,0.6388,0.375,0.6018,
TCGA-AG-A01J-01A,0.004,0.0,0.004,0.007,0.0,0.0,0.007,0.009,0.003,0.006,0.022,0.0,0.0,0.0,0.0,0.937,0.937,READ,,0.46,,0.775,0.6505,
TCGA-AG-A01N-01A,0.0,0.0,0.001,0.004,0.0,0.0,0.012,0.014,0.012,0.009,0.01,0.0,0.0,0.0,0.0,0.937,0.937,READ,,0.59,,0.825,0.7903,
TCGA-DT-5265-01A,0.0,0.0,0.008,0.005,0.0,0.0,0.004,0.017,0.166,0.029,0.091,0.002,0.0,0.0,0.0,0.678,0.678,READ,0.8016,0.49,0.7751,0.8,0.6843,
TCGA-AG-A00Y-01A,0.005,0.0,0.014,0.006,0.0,0.001,0.021,0.011,0.01,0.007,0.015,0.001,0.0,0.001,0.0,0.909,0.909,READ,,0.57,,0.875,0.7027,
TCGA-AH-6547-01A,0.052,0.03,0.026,0.002,0.011,0.0,0.028,0.067,0.08,0.019,0.088,0.008,0.001,0.009,0.0,0.578,0.578,READ,0.6888,,0.6705,0.605,0.6476,
TCGA-AH-6549-01A,0.0,0.0,0.012,0.0,0.0,0.0,0.019,0.025,0.057,0.02,0.028,0.001,0.0,0.0,0.0,0.837,0.837,READ,0.8775,,0.7338,0.8,0.7466,
TCGA-AF-A56L-01A,0.0,0.0,0.006,0.005,0.0,0.0,0.011,0.013,0.037,0.01,0.02,0.002,0.0,0.0,0.0,0.896,0.896,READ,0.9174,,0.769,0.6,0.7913,
TCGA-AG-A036-01A,0.0,0.0,0.01,0.009,0.0,0.0,0.01,0.02,0.034,0.015,0.023,0.0,0.0,0.0,0.0,0.878,0.878,READ,,0.69,0.7833,0.85,0.7801,
