,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-HC-7211-01A,0.003,0.0,0.004,0.0,0.002,0.0,0.008,0.047,0.023,0.021,0.014,0.005,0.0,0.008,0.001,0.863,0.863,PRAD,0.9287,,0.9022,0.95,0.9137,
TCGA-HC-7232-01A,0.0,0.0,0.004,0.0,0.003,0.0,0.001,0.065,0.056,0.048,0.019,0.0,0.0,0.003,0.0,0.801,0.801,PRAD,0.9371,,0.9599,,0.9564,
TCGA-EJ-A7NJ-01A,0.013,0.0,0.025,0.001,0.012,0.0,0.012,0.018,0.043,0.02,0.016,0.0,0.0,0.004,0.0,0.835,0.835,PRAD,0.9433,,0.93,0.6,0.9335,
TCGA-2A-AAYF-01A,0.006,0.0,0.002,0.0,0.001,0.0,0.0,0.032,0.027,0.01,0.009,0.0,0.0,0.001,0.0,0.911,0.911,PRAD,0.9646,,,0.7,0.8322,
TCGA-KK-A8I7-01A,0.008,0.0,0.005,0.0,0.003,0.0,0.018,0.1,0.068,0.062,0.025,0.003,0.0,0.003,0.0,0.704,0.704,PRAD,0.8643,,0.8539,0.7,0.8263,
TCGA-KK-A7B1-01A,0.001,0.0,0.001,0.0,0.001,0.0,0.007,0.092,0.099,0.065,0.009,0.003,0.0,0.002,0.0,0.721,0.721,PRAD,0.9039,,0.929,0.8,0.88,
TCGA-HC-A6HY-01A,0.011,0.0,0.005,0.0,0.009,0.0,0.003,0.018,0.021,0.011,0.006,0.0,0.0,0.001,0.0,0.915,0.915,PRAD,0.9715,,1.0,0.8,0.9718,
TCGA-V1-A9O7-01A,0.005,0.0,0.007,0.001,0.018,0.0,0.016,0.084,0.137,0.114,0.022,0.01,0.0,0.003,0.0,0.584,0.584,PRAD,0.8564,,,0.9,0.8034,
TCGA-XJ-A83H-01A,0.013,0.0,0.002,0.0,0.006,0.0,0.006,0.032,0.027,0.014,0.006,0.0,0.0,0.002,0.0,0.89,0.89,PRAD,0.959,,0.9645,0.75,0.9548,
TCGA-HC-A8D1-01A,0.008,0.0,0.007,0.0,0.012,0.0,0.012,0.051,0.109,0.032,0.02,0.002,0.0,0.002,0.0,0.746,0.746,PRAD,0.8967,,0.8558,0.7,0.8653,
TCGA-KK-A6E6-01A,0.001,0.0,0.01,0.0,0.008,0.0,0.007,0.054,0.112,0.031,0.015,0.003,0.0,0.002,0.0,0.756,0.756,PRAD,0.9016,,0.9571,0.8,0.8769,
TCGA-YL-A9WY-01A,0.009,0.0,0.032,0.003,0.026,0.0,0.027,0.045,0.142,0.04,0.066,0.003,0.0,0.004,0.0,0.604,0.604,PRAD,0.7585,,,0.6,0.6476,
TCGA-VN-A88N-01A,0.005,0.0,0.001,0.0,0.003,0.0,0.003,0.034,0.011,0.014,0.009,0.0,0.0,0.001,0.0,0.918,0.918,PRAD,0.9699,,0.9348,0.8,0.9582,
TCGA-YL-A9WK-01A,0.001,0.0,0.004,0.0,0.009,0.0,0.005,0.084,0.094,0.089,0.022,0.002,0.0,0.001,0.0,0.69,0.69,PRAD,0.8583,,0.8762,0.9,0.818,
TCGA-2A-A8VL-01A,0.01,0.0,0.003,0.0,0.003,0.0,0.003,0.035,0.043,0.034,0.005,0.001,0.0,0.001,0.0,0.863,0.863,PRAD,0.9675,,0.9685,0.65,0.9663,
TCGA-V1-A9Z7-01A,0.0,0.0,0.003,0.0,0.005,0.0,0.007,0.071,0.15,0.039,0.033,0.0,0.0,0.002,0.0,0.689,0.689,PRAD,0.8393,,,0.75,0.8141,
TCGA-VP-AA1N-01A,0.01,0.0,0.012,0.0,0.01,0.0,0.003,0.034,0.083,0.037,0.045,0.0,0.0,0.002,0.0,0.763,0.763,PRAD,0.8816,,,0.75,0.8428,
TCGA-4L-AA1F-01A,0.006,0.01,0.025,0.002,0.012,0.0,0.011,0.099,0.409,0.041,0.099,0.0,0.0,0.005,0.0,0.281,0.281,PRAD,0.537,,,0.6,0.4972,
TCGA-EJ-5526-01A,0.005,0.0,0.006,0.001,0.005,0.0,0.01,0.045,0.125,0.029,0.025,0.007,0.0,0.007,0.0,0.735,0.735,PRAD,0.8813,,0.9668,0.825,0.8493,
TCGA-G9-6333-01A,0.011,0.0,0.005,0.0,0.006,0.0,0.005,0.045,0.076,0.033,0.022,0.004,0.0,0.002,0.0,0.789,0.789,PRAD,0.912,,0.9566,,0.891,
TCGA-CH-5762-01A,0.007,0.004,0.014,0.001,0.023,0.002,0.024,0.049,0.098,0.041,0.016,0.008,0.0,0.003,0.0,0.709,0.709,PRAD,0.8795,,0.822,0.7,0.836,
TCGA-G9-A9S7-01A,0.001,0.0,0.009,0.001,0.004,0.0,0.009,0.016,0.015,0.004,0.008,0.0,0.0,0.001,0.0,0.932,0.932,PRAD,0.9727,,,0.85,0.525,
TCGA-J4-AAU2-01A,0.01,0.0,0.004,0.0,0.004,0.0,0.003,0.04,0.034,0.011,0.006,0.0,0.0,0.001,0.0,0.886,0.886,PRAD,0.9446,,,0.8,0.8186,
TCGA-EJ-AB20-01A,0.0,0.0,0.01,0.0,0.015,0.0,0.014,0.063,0.416,0.129,0.013,0.012,0.0,0.002,0.0,0.325,0.325,PRAD,0.8126,,,0.7,0.729,
TCGA-EJ-A8FO-01A,0.004,0.0,0.006,0.0,0.002,0.0,0.007,0.051,0.062,0.048,0.014,0.002,0.0,0.002,0.0,0.8,0.8,PRAD,0.9564,,0.9257,0.7,0.9475,
TCGA-HI-7168-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.003,0.069,0.181,0.113,0.009,0.002,0.0,0.002,0.0,0.617,0.617,PRAD,0.9084,,0.929,0.6,0.9187,
TCGA-EJ-7785-01A,0.007,0.0,0.01,0.004,0.011,0.001,0.02,0.08,0.138,0.059,0.025,0.008,0.0,0.011,0.0,0.626,0.626,PRAD,0.8593,,0.8743,0.55,0.8194,
