,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-94-7943-01A,0.007,0.0,0.017,0.0,0.017,0.0,0.011,0.009,0.038,0.013,0.072,0.003,0.0,0.016,0.003,0.795,0.795,LUSC,0.8805,0.58,0.77,0.85,0.7667,
TCGA-68-8251-01A,0.008,0.018,0.036,0.012,0.017,0.0,0.017,0.025,0.143,0.01,0.055,0.002,0.0,0.0,0.0,0.657,0.657,LUSC,0.7167,0.33,0.5632,0.7,0.5736,
TCGA-33-A5GW-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.006,0.018,0.0,0.006,0.013,0.002,0.0,0.029,0.0,0.924,0.924,LUSC,0.9734,,0.883,0.8,0.9358,
TCGA-85-8070-01A,0.015,0.0,0.0,0.004,0.0,0.0,0.001,0.01,0.012,0.007,0.011,0.001,0.0,0.001,0.0,0.938,0.938,LUSC,0.9862,0.95,0.8116,0.85,0.9026,
TCGA-85-8479-01A,0.0,0.0,0.007,0.0,0.001,0.0,0.002,0.036,0.0,0.021,0.0,0.003,0.0,0.019,0.0,0.911,0.911,LUSC,0.9507,,0.6701,0.725,0.7019,
TCGA-22-5482-01A,0.008,0.0,0.009,0.0,0.001,0.0,0.001,0.029,0.089,0.008,0.037,0.0,0.002,0.004,0.001,0.81,0.81,LUSC,0.8912,0.66,0.7648,0.8,0.7887,
TCGA-21-1077-01A,0.038,0.003,0.016,0.0,0.006,0.0,0.011,0.021,0.091,0.015,0.07,0.004,0.0,0.012,0.005,0.709,0.709,LUSC,0.8133,0.34,,0.825,0.6037,
TCGA-43-6773-01A,0.08,0.026,0.022,0.004,0.024,0.0,0.0,0.082,0.181,0.036,0.143,0.002,0.001,0.013,0.007,0.378,0.378,LUSC,0.4898,0.93,0.3418,0.6,0.5098,
TCGA-34-8455-01A,0.014,0.0,0.014,0.001,0.009,0.0,0.0,0.071,0.136,0.032,0.03,0.003,0.0,0.011,0.002,0.675,0.675,LUSC,0.8395,,0.6482,0.725,0.6573,
TCGA-85-7950-01A,0.001,0.009,0.071,0.013,0.023,0.0,0.013,0.038,0.208,0.006,0.046,0.001,0.001,0.005,0.001,0.565,0.565,LUSC,0.6839,0.52,0.5851,0.75,0.5969,
TCGA-60-2715-01A,0.013,0.004,0.031,0.002,0.013,0.002,0.037,0.106,0.205,0.045,0.162,0.007,0.005,0.011,0.022,0.335,0.335,LUSC,0.4902,0.19,,0.725,0.3431,
TCGA-85-A5B5-01A,0.001,0.01,0.009,0.0,0.0,0.0,0.006,0.007,0.086,0.003,0.04,0.0,0.0,0.0,0.0,0.837,0.837,LUSC,0.9185,,0.9178,0.65,0.919,
TCGA-33-4583-01A,0.009,0.002,0.001,0.021,0.0,0.0,0.0,0.004,0.009,0.003,0.016,0.0,0.0,0.019,0.007,0.908,0.908,LUSC,0.9079,0.52,0.7171,0.8,0.7022,
TCGA-60-2725-01A,0.019,0.005,0.028,0.006,0.021,0.0,0.026,0.05,0.122,0.026,0.155,0.005,0.0,0.014,0.039,0.482,0.482,LUSC,0.5742,,,0.6,0.4323,
TCGA-85-8072-01A,0.016,0.005,0.014,0.014,0.018,0.0,0.007,0.032,0.048,0.013,0.122,0.003,0.001,0.017,0.0,0.689,0.689,LUSC,0.8537,0.42,0.7166,0.65,0.7465,
TCGA-22-4601-01A,0.009,0.0,0.01,0.0,0.014,0.0,0.001,0.03,0.024,0.014,0.067,0.003,0.0,0.004,0.0,0.824,0.824,LUSC,0.8996,0.78,0.8851,0.825,0.8997,
TCGA-66-2781-01A,0.046,0.0,0.009,0.003,0.016,0.0,0.002,0.013,0.116,0.011,0.038,0.004,0.0,0.011,0.007,0.724,0.724,LUSC,0.8335,0.4,,0.7,0.7466,
TCGA-22-0940-01A,0.022,0.001,0.018,0.038,0.019,0.0,0.024,0.034,0.098,0.011,0.099,0.003,0.001,0.015,0.003,0.615,0.615,LUSC,0.6421,0.25,,0.85,0.4622,
TCGA-43-6143-01A,0.008,0.0,0.013,0.004,0.006,0.0,0.004,0.032,0.071,0.022,0.038,0.002,0.002,0.011,0.0,0.787,0.787,LUSC,0.8859,0.76,0.4475,0.9,0.8458,
