,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-94-7557-01A,0.0,0.003,0.011,0.001,0.002,0.0,0.012,0.021,0.089,0.006,0.069,0.002,0.0,0.022,0.0,0.761,0.761,LUSC,0.8418,0.47,0.5146,0.65,0.6086,
TCGA-85-8287-01A,0.055,0.029,0.042,0.0,0.026,0.001,0.023,0.068,0.245,0.021,0.05,0.006,0.0,0.009,0.0,0.423,0.423,LUSC,0.5775,0.34,0.5417,0.7,0.4853,
TCGA-21-A5DI-01A,0.001,0.0,0.012,0.001,0.01,0.0,0.005,0.009,0.064,0.0,0.005,0.0,0.0,0.007,0.001,0.886,0.886,LUSC,0.9174,,0.5078,0.6,0.8983,
TCGA-60-2719-01A,0.008,0.004,0.01,0.001,0.011,0.0,0.01,0.035,0.014,0.001,0.059,0.001,0.0,0.011,0.008,0.827,0.827,LUSC,0.8777,0.79,,0.825,0.912,
TCGA-56-7223-01A,0.001,0.001,0.001,0.0,0.006,0.001,0.002,0.021,0.027,0.012,0.007,0.002,0.0,0.0,0.0,0.919,0.919,LUSC,0.9863,0.94,0.9401,0.8,0.9782,
TCGA-33-4532-01A,0.002,0.001,0.007,0.002,0.012,0.0,0.006,0.017,0.017,0.002,0.023,0.001,0.0,0.002,0.0,0.906,0.906,LUSC,0.9638,0.58,,0.85,0.836,
TCGA-85-A510-01A,0.011,0.011,0.024,0.009,0.026,0.0,0.025,0.05,0.037,0.018,0.062,0.002,0.0,0.0,0.0,0.723,0.723,LUSC,0.82,,0.5632,1.0,0.6437,
TCGA-37-3792-01A,0.008,0.001,0.025,0.032,0.015,0.0,0.001,0.087,0.039,0.017,0.238,0.0,0.0,0.027,0.005,0.505,0.505,LUSC,0.4867,0.4,,0.8,0.5422,
TCGA-34-7107-01A,0.02,0.006,0.01,0.001,0.007,0.0,0.002,0.063,0.163,0.025,0.052,0.001,0.0,0.0,0.0,0.649,0.649,LUSC,0.7703,0.59,0.8155,0.7,0.7223,
TCGA-77-8144-01A,0.0,0.0,0.004,0.005,0.003,0.0,0.004,0.039,0.011,0.005,0.004,0.002,0.0,0.004,0.002,0.917,0.917,LUSC,0.9068,0.57,0.6752,,0.6782,
TCGA-22-4609-01A,0.033,0.008,0.023,0.007,0.017,0.001,0.023,0.078,0.134,0.024,0.145,0.006,0.0,0.016,0.004,0.482,0.482,LUSC,0.5981,0.42,0.558,0.75,0.5383,
TCGA-O2-A52Q-01A,0.002,0.001,0.026,0.012,0.028,0.0,0.004,0.039,0.058,0.001,0.221,0.001,0.0,0.0,0.0,0.607,0.607,LUSC,0.6395,,0.6208,0.7,0.5891,
TCGA-43-8115-01A,0.032,0.002,0.045,0.0,0.032,0.0,0.034,0.059,0.23,0.011,0.118,0.005,0.0,0.01,0.0,0.42,0.42,LUSC,0.524,0.27,0.5555,0.65,0.419,
TCGA-77-8128-01A,0.002,0.0,0.009,0.0,0.003,0.0,0.005,0.036,0.16,0.001,0.015,0.005,0.0,0.0,0.0,0.764,0.764,LUSC,0.9153,0.64,0.7676,0.7,0.7697,
TCGA-94-7033-01A,0.005,0.002,0.01,0.006,0.008,0.0,0.011,0.026,0.0,0.015,0.011,0.0,0.0,0.0,0.0,0.904,0.904,LUSC,0.9486,0.44,0.5308,0.7,0.6634,
TCGA-63-A5MH-01A,0.002,0.001,0.018,0.001,0.013,0.001,0.007,0.018,0.188,0.0,0.003,0.002,0.0,0.002,0.004,0.739,0.739,LUSC,0.9233,,0.7522,0.9,0.7435,
TCGA-66-2780-01A,0.028,0.0,0.016,0.005,0.001,0.0,0.0,0.044,0.162,0.0,0.053,0.003,0.0,0.008,0.0,0.678,0.678,LUSC,0.7593,0.47,,0.725,0.6836,
TCGA-85-7697-01A,0.029,0.016,0.022,0.006,0.006,0.001,0.016,0.084,0.086,0.01,0.007,0.006,0.0,0.018,0.004,0.69,0.69,LUSC,0.8241,0.22,0.5099,0.45,0.5804,
TCGA-56-A4BW-01A,0.011,0.001,0.022,0.015,0.0,0.0,0.017,0.039,0.098,0.001,0.033,0.004,0.0,0.017,0.001,0.741,0.741,LUSC,0.8173,,0.6286,0.65,0.7019,
TCGA-85-A4CN-01A,0.014,0.001,0.012,0.0,0.017,0.0,0.006,0.03,0.147,0.003,0.063,0.004,0.0,0.0,0.0,0.702,0.702,LUSC,0.809,,0.6659,0.75,0.7019,
TCGA-96-8170-01A,0.021,0.011,0.012,0.001,0.003,0.0,0.016,0.058,0.067,0.013,0.052,0.004,0.0,0.032,0.002,0.709,0.709,LUSC,0.7949,0.35,0.5873,0.7,0.6409,
TCGA-94-A4VJ-01A,0.01,0.0,0.014,0.003,0.011,0.0,0.035,0.038,0.087,0.0,0.026,0.002,0.0,0.012,0.001,0.76,0.76,LUSC,0.8429,,0.7313,0.8,0.7581,
TCGA-22-4604-01A,0.028,0.002,0.028,0.0,0.02,0.0,0.028,0.033,0.198,0.001,0.118,0.002,0.0,0.0,0.0,0.541,0.541,LUSC,0.5961,,,0.6,0.6601,
TCGA-58-A46L-01A,0.008,0.009,0.012,0.014,0.03,0.001,0.013,0.041,0.059,0.014,0.053,0.006,0.0,0.009,0.001,0.731,0.731,LUSC,0.8,,0.6597,0.75,0.7019,
TCGA-85-8580-01A,0.011,0.025,0.023,0.0,0.008,0.002,0.022,0.038,0.037,0.006,0.028,0.006,0.0,0.01,0.007,0.776,0.776,LUSC,0.9121,,0.5629,0.6,0.6126,
TCGA-21-5784-01A,0.025,0.001,0.018,0.003,0.002,0.0,0.019,0.079,0.062,0.019,0.053,0.003,0.005,0.013,0.004,0.695,0.695,LUSC,0.7286,0.19,0.4586,0.59,0.3985,
