,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-GJ-A3OU-01A,0.002,0.0,0.044,0.0,0.0,0.0,0.192,0.013,0.12,0.136,0.059,0.429,0.0,0.0,0.004,0.0,LIHC,0.4823,,0.4788,0.6,0.4223,
TCGA-DD-A11B-01A,0.0,0.0,0.012,0.0,0.0,0.0,0.649,0.0,0.265,0.004,0.028,0.04,0.002,0.0,0.0,0.0,LIHC,0.9363,,0.8922,0.9,0.9081,
TCGA-LG-A6GG-01A,0.0,0.0,0.005,0.0,0.0,0.0,0.892,0.0,0.08,0.001,0.013,0.009,0.0,0.0,0.0,0.0,LIHC,0.9361,,0.7353,0.92,0.7237,
TCGA-CC-A7IJ-01A,0.0,0.0,0.018,0.0,0.056,0.0,0.452,0.004,0.068,0.165,0.012,0.225,0.0,0.0,0.0,0.0,LIHC,0.6049,,0.5756,0.8,0.536,
TCGA-DD-AACA-01A,0.004,0.0,0.014,0.002,0.0,0.0,0.045,0.0,0.534,0.005,0.304,0.088,0.001,0.002,0.001,0.0,LIHC,0.9404,,,0.8,0.923,
TCGA-DD-A39V-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.805,0.0,0.05,0.001,0.03,0.107,0.0,0.0,0.001,0.0,LIHC,0.7975,,0.6803,0.8,0.7355,
TCGA-2Y-A9GS-01A,0.0,0.0,0.005,0.002,0.0,0.0,0.756,0.0,0.077,0.043,0.021,0.094,0.0,0.0,0.0,0.0,LIHC,0.8639,,0.6228,0.65,0.5915,
TCGA-DD-AACW-01A,0.0,0.0,0.047,0.0,0.0,0.001,0.163,0.006,0.576,0.016,0.002,0.189,0.001,0.0,0.0,0.0,LIHC,0.932,,,0.95,0.8547,
TCGA-FV-A3R2-01A,0.0,0.0,0.029,0.001,0.0,0.0,0.28,0.0,0.469,0.002,0.062,0.156,0.001,0.0,0.0,0.0,LIHC,0.9256,,0.8203,0.95,0.8806,
TCGA-ZP-A9CY-01A,0.0,0.0,0.008,0.0,0.0,0.0,0.446,0.0,0.223,0.022,0.066,0.234,0.0,0.0,0.0,0.0,LIHC,0.8292,,0.6849,0.85,0.7785,
TCGA-NI-A8LF-01A,0.0,0.0,0.007,0.0,0.0,0.0,0.329,0.0,0.396,0.003,0.227,0.033,0.0,0.002,0.0,0.0,LIHC,0.8898,,0.785,0.95,0.7821,
TCGA-DD-AAE2-01A,0.004,0.0,0.035,0.014,0.001,0.0,0.139,0.0,0.401,0.051,0.123,0.22,0.0,0.001,0.012,0.0,LIHC,0.8116,,,0.8,0.706,
TCGA-5C-A9VG-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.16,0.0,0.291,0.148,0.236,0.149,0.013,0.0,0.0,0.0,LIHC,0.9171,,0.7648,0.65,0.8806,
TCGA-KR-A7K8-01A,0.009,0.0,0.026,0.009,0.004,0.0,0.524,0.0,0.105,0.005,0.121,0.194,0.0,0.0,0.002,0.0,LIHC,0.7513,,0.4325,0.8,0.3678,
TCGA-ZP-A9CZ-01A,0.064,0.0,0.033,0.019,0.0,0.0,0.017,0.001,0.261,0.073,0.099,0.43,0.001,0.001,0.001,0.0,LIHC,0.8077,,0.7381,0.85,0.7494,
TCGA-EP-A12J-01A,0.0,0.0,0.01,0.0,0.0,0.0,0.297,0.0,0.414,0.002,0.114,0.157,0.001,0.003,0.002,0.0,LIHC,0.9194,,0.9487,0.96,0.9011,
TCGA-DD-A4NV-01A,0.003,0.0,0.004,0.002,0.0,0.0,0.705,0.0,0.151,0.029,0.044,0.058,0.0,0.002,0.001,0.0,LIHC,0.8612,,0.6473,0.8,0.6203,
TCGA-BC-A3KF-01A,0.0,0.0,0.012,0.001,0.0,0.0,0.441,0.0,0.365,0.0,0.047,0.134,0.001,0.0,0.0,0.0,LIHC,0.9196,,0.7911,0.95,0.7893,
TCGA-XR-A8TD-01A,0.026,0.0,0.012,0.026,0.0,0.0,0.485,0.0,0.108,0.026,0.053,0.262,0.0,0.0,0.002,0.0,LIHC,0.6555,,0.5161,0.75,0.5427,
TCGA-DD-A4NK-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.751,0.0,0.149,0.003,0.043,0.043,0.0,0.002,0.001,0.0,LIHC,0.9147,,0.7284,1.0,0.7156,
TCGA-DD-AACP-01A,0.0,0.0,0.01,0.0,0.0,0.0,0.909,0.0,0.041,0.02,0.005,0.015,0.0,0.0,0.0,0.0,LIHC,0.9728,,,0.8,0.9494,
TCGA-G3-A7M5-01A,0.0,0.0,0.029,0.0,0.0,0.0,0.43,0.0,0.304,0.0,0.112,0.118,0.001,0.001,0.006,0.0,LIHC,0.9136,,0.5629,0.85,0.8932,
TCGA-DD-A4NS-01A,0.002,0.0,0.006,0.002,0.014,0.005,0.58,0.003,0.121,0.054,0.081,0.131,0.0,0.0,0.0,0.0,LIHC,0.7195,,0.6318,0.75,0.6296,
TCGA-WX-AA46-01A,0.0,0.0,0.02,0.0,0.0,0.0,0.168,0.0,0.541,0.05,0.005,0.211,0.001,0.0,0.005,0.0,LIHC,0.8614,,0.8286,0.85,0.8223,
TCGA-O8-A75V-01A,0.0,0.0,0.01,0.0,0.0,0.0,0.596,0.0,0.158,0.005,0.034,0.197,0.0,0.0,0.0,0.0,LIHC,0.8007,,0.6639,0.8,0.6398,
TCGA-DD-AACH-01A,0.0,0.0,0.004,0.002,0.0,0.0,0.816,0.0,0.058,0.025,0.044,0.051,0.0,0.0,0.0,0.0,LIHC,0.8958,,,0.95,0.7855,
TCGA-DD-AAVQ-01A,0.039,0.021,0.024,0.011,0.0,0.009,0.643,0.034,0.073,0.019,0.028,0.099,0.0,0.0,0.0,0.0,LIHC,0.7212,,,0.75,0.6446,
TCGA-RC-A7S9-01A,0.054,0.0,0.036,0.02,0.0,0.0,0.298,0.021,0.368,0.0,0.112,0.086,0.001,0.001,0.001,0.0,LIHC,0.915,,0.853,0.95,0.8951,
TCGA-BC-A8YO-01A,0.0,0.0,0.029,0.036,0.0,0.0,0.693,0.001,0.044,0.018,0.012,0.167,0.0,0.0,0.0,0.0,LIHC,0.8448,,0.689,0.8,0.6693,
TCGA-DD-A4NR-01A,0.004,0.0,0.017,0.021,0.005,0.0,0.637,0.0,0.06,0.005,0.016,0.23,0.0,0.001,0.005,0.0,LIHC,0.6353,,0.4574,0.6,0.3971,
TCGA-CC-A8HU-01A,0.0,0.0,0.0,0.003,0.0,0.0,0.917,0.0,0.037,0.002,0.014,0.026,0.0,0.0,0.0,0.0,LIHC,0.9516,,0.7909,0.94,0.7913,
TCGA-DD-AAVS-01A,0.0,0.0,0.003,0.0,0.0,0.001,0.81,0.002,0.089,0.001,0.069,0.025,0.0,0.0,0.0,0.0,LIHC,0.9062,,,0.8,0.9043,
TCGA-CC-A7IH-01A,0.003,0.0,0.015,0.0,0.0,0.0,0.212,0.0,0.544,0.002,0.092,0.122,0.001,0.01,0.001,0.0,LIHC,0.9442,,0.8384,0.8,0.8448,
TCGA-FV-A3I0-01A,0.003,0.0,0.0,0.0,0.0,0.0,0.92,0.001,0.028,0.025,0.002,0.014,0.0,0.004,0.001,0.0,LIHC,0.8769,,0.9788,0.85,0.8806,
TCGA-MI-A75H-01A,0.001,0.0,0.032,0.0,0.0,0.0,0.07,0.0,0.451,0.0,0.225,0.202,0.001,0.013,0.003,0.0,LIHC,0.834,,0.6895,0.9,0.6699,
TCGA-CC-A9FV-01A,0.001,0.0,0.003,0.007,0.001,0.0,0.0,0.0,0.093,0.029,0.343,0.483,0.024,0.014,0.003,0.0,LIHC,0.5239,,0.4127,0.95,0.364,
TCGA-BC-A217-01A,0.003,0.0,0.012,0.013,0.0,0.0,0.883,0.0,0.023,0.008,0.004,0.049,0.0,0.003,0.0,0.0,LIHC,0.9041,,0.7311,0.94,0.7188,
TCGA-DD-AAD5-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.852,0.0,0.033,0.0,0.016,0.098,0.0,0.0,0.0,0.0,LIHC,0.8779,,,0.95,0.818,
TCGA-2Y-A9H0-01A,0.004,0.0,0.017,0.029,0.0,0.0,0.747,0.0,0.036,0.0,0.021,0.146,0.0,0.0,0.0,0.0,LIHC,0.8947,,0.6758,0.95,0.8676,
TCGA-DD-AAD8-01A,0.0,0.0,0.002,0.002,0.0,0.0,0.836,0.0,0.072,0.001,0.06,0.027,0.0,0.0,0.0,0.0,LIHC,0.9249,,,0.94,0.7829,
TCGA-CC-A3MB-01A,0.002,0.0,0.019,0.027,0.0,0.0,0.085,0.0,0.539,0.06,0.059,0.202,0.001,0.001,0.007,0.0,LIHC,0.9244,,0.806,0.85,0.836,
TCGA-DD-A4NE-01A,0.0,0.0,0.011,0.004,0.0,0.0,0.455,0.0,0.333,0.027,0.104,0.061,0.0,0.0,0.003,0.0,LIHC,0.9208,,0.9831,0.8,0.903,
TCGA-5R-AAAM-01A,0.001,0.0,0.012,0.001,0.0,0.001,0.035,0.0,0.415,0.036,0.04,0.455,0.0,0.003,0.001,0.0,LIHC,0.7346,,,0.6,0.7653,
TCGA-DD-AADY-01A,0.0,0.0,0.012,0.0,0.0,0.0,0.564,0.0,0.354,0.026,0.041,0.002,0.0,0.0,0.001,0.0,LIHC,0.9293,,,0.8,0.8529,
TCGA-MI-A75I-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.911,0.0,0.043,0.002,0.005,0.034,0.0,0.0,0.0,0.0,LIHC,0.9342,,0.6291,0.9,0.7019,
TCGA-G3-A3CI-01A,0.011,0.0,0.034,0.0,0.0,0.0,0.002,0.0,0.42,0.046,0.129,0.314,0.002,0.025,0.017,0.0,LIHC,0.8301,,0.5638,0.92,0.5222,
TCGA-CC-A5UC-01A,0.0,0.0,0.021,0.0,0.0,0.0,0.493,0.0,0.245,0.038,0.076,0.124,0.0,0.0,0.003,0.0,LIHC,0.8718,,0.6518,0.8,0.8364,
TCGA-FV-A496-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.851,0.0,0.116,0.002,0.026,0.001,0.0,0.0,0.0,0.0,LIHC,0.9655,,0.8844,0.85,0.8989,
TCGA-DD-AACK-01A,0.0,0.0,0.009,0.0,0.0,0.0,0.844,0.0,0.093,0.0,0.029,0.025,0.0,0.0,0.0,0.0,LIHC,0.9275,,,0.8,0.807,
TCGA-XR-A8TE-01A,0.0,0.0,0.005,0.0,0.0,0.001,0.633,0.0,0.23,0.037,0.044,0.05,0.0,0.0,0.0,0.0,LIHC,0.9005,,0.7421,0.8,0.7317,
TCGA-DD-A3A4-01A,0.0,0.0,0.028,0.0,0.0,0.0,0.068,0.0,0.613,0.001,0.239,0.047,0.001,0.0,0.003,0.0,LIHC,0.9431,,0.8742,0.95,0.887,
TCGA-RC-A6M4-01A,0.0,0.0,0.01,0.0,0.0,0.0,0.809,0.0,0.063,0.001,0.066,0.048,0.0,0.0,0.002,0.0,LIHC,0.9659,,0.9494,0.9,0.9642,
TCGA-ED-A7PY-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.868,0.0,0.115,0.001,0.013,0.002,0.0,0.0,0.0,0.0,LIHC,0.9585,,0.9528,0.8,0.9542,
TCGA-DD-AADL-01A,0.0,0.0,0.001,0.002,0.0,0.0,0.897,0.0,0.068,0.001,0.024,0.006,0.0,0.001,0.0,0.0,LIHC,0.9565,,,0.95,0.8937,
TCGA-UB-A7MC-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.852,0.0,0.078,0.0,0.029,0.033,0.0,0.0,0.005,0.0,LIHC,0.9631,,0.8233,0.95,0.8272,
TCGA-ED-A82E-01A,0.001,0.0,0.004,0.0,0.0,0.0,0.883,0.001,0.062,0.021,0.002,0.022,0.0,0.002,0.001,0.0,LIHC,0.8745,,0.9285,0.9,0.8806,
TCGA-CC-A9FS-01A,0.001,0.0,0.007,0.006,0.0,0.0,0.649,0.0,0.227,0.0,0.032,0.076,0.0,0.0,0.0,0.0,LIHC,0.9246,,0.7813,0.95,0.8806,
TCGA-T1-A6J8-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.887,0.0,0.053,0.017,0.005,0.032,0.0,0.0,0.0,0.0,LIHC,0.8912,,0.728,0.8,0.7151,
TCGA-DD-AAW0-01A,0.0,0.0,0.024,0.0,0.0,0.0,0.411,0.006,0.227,0.038,0.001,0.292,0.0,0.0,0.001,0.0,LIHC,0.787,,,0.85,0.7563,
TCGA-BC-A216-01A,0.0,0.0,0.001,0.034,0.0,0.0,0.874,0.0,0.014,0.0,0.056,0.02,0.0,0.0,0.0,0.0,LIHC,0.8824,,0.753,0.95,0.8508,
