,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-KL-8325-01A,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.012,0.0,0.018,0.028,0.0,0.0,0.0,0.0,0.939,0.939,KICH,0.9584,,0.8851,0.9,0.8997,
TCGA-KO-8411-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.065,0.0,0.037,0.026,0.0,0.0,0.0,0.0,0.871,0.871,KICH,0.9495,,0.8649,0.9,0.909,
TCGA-KL-8331-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.016,0.0,0.031,0.022,0.0,0.0,0.0,0.0,0.93,0.93,KICH,0.9669,,0.9046,0.9,0.9227,
TCGA-KO-8409-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.035,0.069,0.0,0.0,0.0,0.0,0.887,0.887,KICH,0.9246,,0.8742,0.9,0.8975,
TCGA-KM-8439-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.041,0.0,0.04,0.123,0.005,0.002,0.0,0.0,0.787,0.787,KICH,0.9285,,0.8488,0.85,0.8853,
TCGA-KN-8423-01A,0.0,0.0,0.002,0.0,0.0,0.001,0.005,0.041,0.0,0.041,0.049,0.0,0.0,0.0,0.0,0.862,0.862,KICH,0.9087,,0.8412,0.925,0.8865,
TCGA-KL-8339-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.018,0.0,0.035,0.039,0.0,0.0,0.0,0.0,0.907,0.907,KICH,0.9544,,1.0,0.9,0.9486,
TCGA-KN-8434-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.095,0.0,0.071,0.121,0.008,0.0,0.0,0.0,0.701,0.701,KICH,0.8623,,0.8609,0.9,0.8475,
TCGA-KL-8342-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.082,0.0,0.041,0.08,0.0,0.0,0.0,0.0,0.794,0.794,KICH,0.8709,,0.8524,0.95,0.8482,
TCGA-KN-8428-01A,0.003,0.0,0.006,0.0,0.0,0.0,0.0,0.018,0.0,0.06,0.044,0.002,0.0,0.0,0.0,0.865,0.865,KICH,0.9468,,0.8406,0.85,0.8929,
