,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-2Z-A9JN-01A,0.0,0.0,0.011,0.0,0.0,0.0,0.868,0.007,0.021,0.003,0.029,0.058,0.002,0.0,0.001,0.0,KIRP,0.9472,,,0.8,0.932,
TCGA-A4-7286-01A,0.003,0.0,0.008,0.0,0.002,0.0,0.576,0.007,0.02,0.002,0.006,0.375,0.0,0.0,0.0,0.0,KIRP,0.8003,,0.7686,0.6,0.7628,
TCGA-P4-AAVL-01A,0.001,0.0,0.001,0.0,0.0,0.0,0.79,0.008,0.027,0.021,0.006,0.139,0.003,0.002,0.001,0.0,KIRP,0.8385,,,0.75,0.7689,
TCGA-G7-6789-01A,0.001,0.0,0.006,0.0,0.0,0.0,0.597,0.0,0.068,0.27,0.004,0.046,0.008,0.0,0.0,0.0,KIRP,0.7809,,0.8145,0.825,0.7649,
TCGA-5P-A9JV-01A,0.0,0.0,0.003,0.006,0.0,0.0,0.296,0.0,0.313,0.043,0.131,0.195,0.007,0.005,0.0,0.0,KIRP,0.7706,,,0.6,0.7898,
TCGA-MH-A561-01A,0.011,0.0,0.004,0.0,0.008,0.0,0.741,0.022,0.051,0.015,0.001,0.136,0.007,0.0,0.003,0.0,KIRP,0.857,,0.9176,0.8,0.8163,
TCGA-DW-5560-01A,0.001,0.0,0.001,0.006,0.0,0.0,0.845,0.015,0.017,0.026,0.001,0.079,0.005,0.0,0.003,0.0,KIRP,0.9253,,1.0,0.8,0.9091,
TCGA-2Z-A9J8-01A,0.0,0.0,0.005,0.002,0.001,0.0,0.804,0.0,0.016,0.003,0.002,0.167,0.0,0.0,0.0,0.0,KIRP,0.9177,,,0.95,0.845,
TCGA-EV-5901-01A,0.034,0.0,0.022,0.0,0.004,0.0,0.658,0.044,0.046,0.064,0.002,0.115,0.006,0.0,0.002,0.0,KIRP,0.7854,,0.8349,0.8,0.7913,
TCGA-A4-A7UZ-01A,0.032,0.0,0.013,0.02,0.016,0.0,0.738,0.016,0.027,0.04,0.001,0.086,0.004,0.0,0.007,0.001,KIRP,0.7979,,0.668,0.65,0.7361,
TCGA-SX-A71U-01A,0.0,0.0,0.002,0.001,0.0,0.0,0.777,0.002,0.019,0.002,0.001,0.192,0.002,0.001,0.001,0.0,KIRP,0.8982,,0.7992,0.75,0.7989,
TCGA-IA-A83S-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.695,0.006,0.011,0.002,0.003,0.281,0.0,0.0,0.0,0.0,KIRP,0.8332,,0.6904,0.7,0.784,
TCGA-B9-A5W8-01A,0.001,0.0,0.013,0.002,0.012,0.0,0.502,0.015,0.035,0.002,0.003,0.409,0.001,0.0,0.003,0.0,KIRP,0.7485,,0.6223,0.8,0.669,
TCGA-BQ-7055-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.707,0.0,0.045,0.0,0.136,0.103,0.009,0.0,0.0,0.0,KIRP,0.9223,,0.8801,0.8,0.8994,
TCGA-BQ-7061-01A,0.0,0.0,0.0,0.007,0.0,0.0,0.642,0.002,0.048,0.011,0.035,0.253,0.0,0.0,0.001,0.0,KIRP,0.8456,,0.8996,0.65,0.8806,
TCGA-GL-A59T-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.744,0.0,0.016,0.0,0.001,0.232,0.004,0.0,0.0,0.0,KIRP,0.8914,,0.7707,0.6,0.8631,
TCGA-B9-5155-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.942,0.0,0.015,0.008,0.0,0.02,0.013,0.0,0.0,0.0,KIRP,0.9714,,1.0,0.9,0.9716,
TCGA-BQ-5876-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.798,0.0,0.079,0.002,0.02,0.097,0.0,0.0,0.0,0.0,KIRP,0.9365,,0.9452,0.8,0.9243,
TCGA-WN-AB4C-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.001,0.026,0.0,0.02,0.703,0.0,0.0,0.003,0.0,KIRP,0.793,,,0.75,0.8229,
TCGA-5P-A9KA-01A,0.066,0.0,0.008,0.001,0.005,0.0,0.716,0.043,0.028,0.019,0.001,0.108,0.002,0.0,0.002,0.0,KIRP,0.8473,,,0.7,0.7748,
TCGA-A4-A5Y1-01A,0.012,0.011,0.004,0.006,0.002,0.0,0.699,0.002,0.03,0.013,0.005,0.213,0.001,0.0,0.0,0.0,KIRP,0.8673,,0.8485,0.8,0.8304,
TCGA-2Z-A9JK-01A,0.003,0.0,0.025,0.008,0.0,0.0,0.526,0.034,0.109,0.03,0.067,0.194,0.001,0.001,0.001,0.0,KIRP,0.6838,,,0.7,0.6192,
TCGA-BQ-5881-01A,0.001,0.0,0.0,0.0,0.0,0.0,0.556,0.011,0.009,0.0,0.005,0.417,0.0,0.0,0.001,0.0,KIRP,0.737,,0.7969,0.8,0.7913,
TCGA-5P-A9JU-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.767,0.0,0.019,0.0,0.009,0.204,0.0,0.0,0.0,0.0,KIRP,0.9346,,,0.8,0.9235,
TCGA-BQ-7056-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.738,0.0,0.022,0.009,0.072,0.158,0.0,0.0,0.0,0.0,KIRP,0.9163,,0.9354,0.8,0.8969,
TCGA-HE-A5NJ-01A,0.0,0.0,0.001,0.006,0.0,0.0,0.911,0.0,0.025,0.015,0.018,0.022,0.001,0.0,0.0,0.0,KIRP,0.9586,,1.0,0.8,0.9771,
TCGA-Y8-A896-01A,0.005,0.0,0.036,0.003,0.007,0.0,0.564,0.106,0.021,0.012,0.001,0.231,0.011,0.001,0.002,0.0,KIRP,0.7062,,0.568,0.8,0.6115,
TCGA-B1-A656-01A,0.002,0.0,0.005,0.004,0.0,0.0,0.259,0.022,0.027,0.017,0.017,0.636,0.0,0.007,0.002,0.0,KIRP,0.5746,,0.6597,0.6,0.6349,
TCGA-AL-3468-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.858,0.002,0.023,0.0,0.019,0.097,0.0,0.0,0.0,0.0,KIRP,0.9507,,,0.8,0.9389,
TCGA-Y8-A898-01A,0.0,0.0,0.003,0.0,0.001,0.0,0.568,0.02,0.028,0.004,0.001,0.372,0.002,0.0,0.001,0.0,KIRP,0.7471,,0.7153,0.7,0.6671,
TCGA-P4-A5E8-01A,0.002,0.0,0.0,0.012,0.0,0.0,0.902,0.0,0.016,0.0,0.035,0.028,0.0,0.005,0.0,0.0,KIRP,0.9616,,0.7703,0.9,0.7648,
TCGA-AL-3471-01A,0.0,0.0,0.0,0.004,0.0,0.0,0.913,0.012,0.013,0.0,0.024,0.031,0.002,0.0,0.0,0.0,KIRP,0.9798,,,0.8,0.8872,
TCGA-UZ-A9Q1-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.761,0.0,0.023,0.0,0.007,0.207,0.0,0.0,0.0,0.0,KIRP,0.9408,,,0.95,0.7713,
TCGA-BQ-5892-01A,0.001,0.0,0.028,0.007,0.025,0.0,0.522,0.0,0.146,0.027,0.047,0.195,0.001,0.001,0.0,0.0,KIRP,0.7273,,0.782,0.8,0.7466,
TCGA-UZ-A9PP-01A,0.0,0.0,0.002,0.001,0.001,0.0,0.849,0.007,0.048,0.009,0.005,0.075,0.003,0.0,0.0,0.0,KIRP,0.9306,,,0.75,0.8984,
TCGA-SX-A7SU-01A,0.0,0.0,0.0,0.008,0.0,0.0,0.818,0.017,0.02,0.003,0.002,0.129,0.001,0.0,0.002,0.0,KIRP,0.8863,,0.949,0.95,0.856,
TCGA-SX-A7SN-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.742,0.036,0.022,0.001,0.001,0.184,0.005,0.0,0.004,0.001,KIRP,0.8459,,0.8278,0.8,0.8013,
TCGA-A4-A4ZT-01A,0.0,0.0,0.003,0.001,0.007,0.0,0.77,0.018,0.025,0.002,0.019,0.149,0.005,0.0,0.0,0.0,KIRP,0.8851,,0.8834,0.9,0.8583,
TCGA-2Z-A9JQ-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.878,0.017,0.02,0.001,0.002,0.077,0.002,0.0,0.002,0.0,KIRP,0.8784,,,0.8,0.863,
TCGA-A4-8630-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.892,0.001,0.015,0.0,0.001,0.089,0.0,0.0,0.001,0.0,KIRP,0.9617,,0.9536,0.85,0.9585,
TCGA-2Z-A9JM-01A,0.0,0.0,0.004,0.007,0.002,0.0,0.664,0.045,0.034,0.01,0.002,0.229,0.001,0.0,0.003,0.0,KIRP,0.7851,,,0.7,0.822,
TCGA-SX-A7SM-01A,0.0,0.0,0.0,0.009,0.0,0.0,0.8,0.0,0.017,0.0,0.004,0.168,0.0,0.0,0.0,0.0,KIRP,0.8799,,0.861,0.75,0.8475,
TCGA-IA-A40Y-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.839,0.0,0.038,0.016,0.002,0.094,0.005,0.001,0.0,0.0,KIRP,0.9373,,0.8069,0.9,0.8079,
TCGA-G7-A8LB-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.939,0.016,0.013,0.0,0.003,0.027,0.0,0.0,0.0,0.0,KIRP,0.9823,,1.0,0.95,0.9865,
TCGA-BQ-5883-01A,0.002,0.0,0.013,0.0,0.0,0.0,0.761,0.011,0.069,0.013,0.038,0.089,0.003,0.0,0.001,0.0,KIRP,0.8969,,0.8233,0.85,0.8272,
TCGA-5P-A9K6-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.654,0.018,0.038,0.006,0.012,0.271,0.0,0.0,0.0,0.0,KIRP,0.8425,,,0.75,0.861,
TCGA-A4-7996-01A,0.0,0.0,0.011,0.002,0.017,0.0,0.636,0.017,0.021,0.016,0.001,0.274,0.003,0.0,0.003,0.0,KIRP,0.8065,,0.7522,,0.7477,
TCGA-5P-A9KE-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.0,0.006,0.0,0.007,0.298,0.0,0.0,0.0,0.0,KIRP,0.9038,,,0.8,0.7909,
TCGA-IZ-A6M9-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.783,0.013,0.02,0.003,0.001,0.165,0.006,0.0,0.004,0.0,KIRP,0.8699,,0.8675,0.85,0.8338,
TCGA-B9-4117-01A,0.011,0.0,0.004,0.01,0.003,0.0,0.578,0.025,0.021,0.029,0.001,0.309,0.009,0.0,0.001,0.0,KIRP,0.8043,,,0.8,0.7234,
TCGA-Q2-A5QZ-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.736,0.001,0.021,0.003,0.008,0.227,0.001,0.0,0.002,0.0,KIRP,0.7861,,0.7997,0.85,0.7994,
TCGA-AL-7173-01A,0.012,0.002,0.005,0.002,0.0,0.0,0.806,0.009,0.042,0.018,0.02,0.082,0.001,0.0,0.002,0.0,KIRP,0.8394,,0.6667,0.675,0.7178,
TCGA-BQ-7048-01A,0.002,0.0,0.002,0.0,0.0,0.0,0.593,0.008,0.051,0.017,0.049,0.274,0.001,0.001,0.001,0.0,KIRP,0.831,,0.8996,0.85,0.781,
TCGA-B1-5398-01A,0.003,0.0,0.017,0.0,0.021,0.0,0.429,0.005,0.024,0.002,0.008,0.486,0.0,0.0,0.004,0.0,KIRP,0.6434,,0.5468,0.55,0.5263,
TCGA-F9-A7VF-01A,0.001,0.0,0.0,0.006,0.001,0.0,0.877,0.017,0.048,0.0,0.002,0.042,0.001,0.004,0.002,0.0,KIRP,0.9372,,0.9234,0.8,0.9252,
TCGA-5P-A9K0-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.707,0.001,0.02,0.0,0.003,0.268,0.001,0.0,0.0,0.0,KIRP,0.9082,,,0.7,0.8386,
TCGA-KV-A6GE-01A,0.0,0.0,0.001,0.0,0.01,0.0,0.742,0.034,0.034,0.0,0.007,0.167,0.004,0.0,0.0,0.0,KIRP,0.8579,,0.7856,0.8,0.7828,
TCGA-B9-4115-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.724,0.004,0.016,0.0,0.002,0.25,0.003,0.0,0.001,0.0,KIRP,0.8469,,,0.85,0.7969,
TCGA-AL-3473-01A,0.004,0.0,0.04,0.045,0.086,0.0,0.345,0.04,0.077,0.002,0.019,0.339,0.002,0.001,0.0,0.0,KIRP,0.5931,,,0.8,0.6246,
TCGA-PJ-A5Z9-01A,0.0,0.0,0.001,0.0,0.004,0.0,0.839,0.009,0.026,0.0,0.003,0.114,0.003,0.0,0.001,0.0,KIRP,0.9317,,0.9146,0.8,0.9177,
TCGA-A4-A48D-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.517,0.002,0.012,0.0,0.005,0.462,0.0,0.0,0.001,0.0,KIRP,0.7881,,0.6387,1.0,0.7228,
TCGA-2Z-A9J7-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.946,0.001,0.018,0.001,0.01,0.022,0.001,0.0,0.0,0.0,KIRP,0.9818,,1.0,0.95,0.9858,
TCGA-A4-7287-01A,0.018,0.045,0.035,0.005,0.001,0.0,0.715,0.033,0.072,0.026,0.02,0.029,0.002,0.0,0.0,0.0,KIRP,0.8241,,0.4894,0.8,0.6032,
TCGA-G7-6796-01A,0.016,0.004,0.016,0.0,0.008,0.0,0.772,0.068,0.046,0.007,0.012,0.049,0.0,0.0,0.001,0.0,KIRP,0.8501,,0.5641,0.775,0.807,
TCGA-P4-AAVK-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.707,0.0,0.028,0.0,0.021,0.243,0.0,0.0,0.0,0.0,KIRP,0.8807,,,0.75,0.4625,
TCGA-BQ-5877-01A,0.0,0.0,0.022,0.012,0.002,0.0,0.565,0.002,0.058,0.079,0.027,0.228,0.001,0.001,0.003,0.0,KIRP,0.7151,,0.7676,0.79,0.7616,
TCGA-IA-A83W-01A,0.015,0.0,0.004,0.004,0.005,0.0,0.675,0.016,0.029,0.008,0.024,0.21,0.006,0.001,0.002,0.0,KIRP,0.8005,,0.7823,0.85,0.7395,
TCGA-F9-A7Q0-01A,0.027,0.0,0.012,0.003,0.006,0.0,0.829,0.009,0.014,0.001,0.001,0.064,0.029,0.004,0.001,0.0,KIRP,0.9045,,0.8391,0.95,0.8457,
TCGA-BQ-5875-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.677,0.0,0.038,0.0,0.021,0.264,0.0,0.0,0.0,0.0,KIRP,0.873,,0.8933,0.85,0.8381,
TCGA-SX-A71V-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.014,0.01,0.0,0.002,0.263,0.002,0.0,0.0,0.0,KIRP,0.8879,,0.8555,0.75,0.8583,
TCGA-SX-A7SS-01A,0.001,0.0,0.0,0.0,0.0,0.0,0.716,0.002,0.016,0.0,0.045,0.219,0.001,0.0,0.0,0.0,KIRP,0.8771,,0.8949,0.95,0.8436,
TCGA-Y8-A897-01A,0.002,0.0,0.011,0.003,0.007,0.0,0.655,0.022,0.023,0.011,0.004,0.256,0.002,0.0,0.001,0.0,KIRP,0.8263,,0.761,0.7,0.7747,
TCGA-2Z-A9JG-01A,0.003,0.0,0.006,0.001,0.006,0.0,0.801,0.001,0.017,0.003,0.003,0.158,0.0,0.0,0.0,0.0,KIRP,0.9215,,,0.7,0.8252,
TCGA-HE-A5NK-01A,0.001,0.0,0.018,0.001,0.0,0.0,0.374,0.015,0.042,0.014,0.0,0.518,0.012,0.005,0.001,0.0,KIRP,0.6623,,0.5645,0.8,0.5519,
TCGA-B9-A8YH-01A,0.0,0.0,0.004,0.005,0.001,0.0,0.661,0.014,0.033,0.005,0.004,0.265,0.008,0.0,0.0,0.0,KIRP,0.8282,,0.9292,0.7,0.7773,
