,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-A4-8516-01A,3.414,16.053,29.294,3.802,9.071,29.32,205.675,44.069,1.725,27.274,18.821,4.891,1003.113,7475,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.001,0.0,0.0,0.858,0.002,0.019,0.0,0.004,0.116,0.0,0.0,0.0,0.0,0.0,0.001,0.004
TCGA-P4-A5E7-01A,5.837,38.902,35.209,2.827,9.65,31.182,175.212,38.255,8.085,54.509,12.948,7.612,426.388,7476,KIRP,simu_bulk_2ds_ref,0.003,0.0,0.001,0.002,0.0,0.0,0.709,0.004,0.029,0.021,0.128,0.095,0.003,0.0,0.003,0.0,0.003,0.002,0.149
TCGA-IA-A83T-01A,6.796,66.062,110.264,9.68,36.695,38.611,2078.409,31.359,3.692,51.506,49.879,13.174,774.153,7477,KIRP,simu_bulk_2ds_ref,0.008,0.0,0.001,0.0,0.009,0.0,0.58,0.0,0.011,0.007,0.016,0.365,0.0,0.001,0.0,0.0,0.008,0.009,0.023
TCGA-G7-A8LC-01A,4.557,17.364,7.906,2.17,1.473,31.192,46.282,9.8,1.0,235.844,29.638,1.327,1090.188,7478,KIRP,simu_bulk_2ds_ref,0.001,0.0,0.0,0.003,0.0,0.0,0.939,0.0,0.034,0.0,0.013,0.011,0.0,0.0,0.0,0.0,0.001,0.003,0.013
TCGA-P4-AAVO-01A,1.596,2.568,11.116,1.0,1.0,12.25,83.587,1.421,1.0,31.277,1.0,1.0,344.157,7479,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.958,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A4-8311-01A,3.035,3.106,9.108,1.277,3.327,10.246,36.703,29.99,1.0,43.439,5.805,3.64,371.989,7480,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.009,0.0,0.021,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.021
TCGA-Y8-A8RY-01A,5.034,22.519,36.016,6.744,8.406,26.992,325.476,165.999,5.101,56.414,37.254,16.056,867.835,7481,KIRP,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.011,0.0,0.72,0.0,0.027,0.0,0.063,0.159,0.015,0.003,0.002,0.0,0.001,0.011,0.063
TCGA-A4-A57E-01A,6.641,14.093,12.557,1.842,2.321,62.831,160.66,1.574,3.903,42.38,9.121,1.868,193.959,7482,KIRP,simu_bulk_2ds_ref,0.002,0.0,0.0,0.0,0.0,0.0,0.857,0.0,0.023,0.0,0.012,0.107,0.0,0.0,0.0,0.0,0.002,0.0,0.012
TCGA-PJ-A5Z8-01A,7.275,1059.337,58.67,11.907,25.04,28.069,633.801,4.213,4.55,136.316,177.314,52.05,179.128,7483,KIRP,simu_bulk_2ds_ref,0.001,0.001,0.011,0.001,0.012,0.001,0.38,0.009,0.04,0.068,0.256,0.189,0.0,0.02,0.011,0.0,0.002,0.013000000000000001,0.324
TCGA-KV-A74V-01A,7.402,9.532,20.796,5.732,4.147,39.745,121.022,26.738,1.0,71.763,20.738,2.368,1382.126,7484,KIRP,simu_bulk_2ds_ref,0.01,0.0,0.001,0.0,0.0,0.0,0.877,0.0,0.016,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.01,0.0,0.0
TCGA-2Z-A9JL-01A,58.892,27.499,33.458,3.132,14.897,28.52,294.962,44.743,2.238,71.581,13.0,7.174,1586.767,7485,KIRP,simu_bulk_2ds_ref,0.035,0.0,0.004,0.002,0.0,0.0,0.758,0.005,0.028,0.002,0.031,0.126,0.005,0.0,0.001,0.0,0.035,0.002,0.033
TCGA-DW-7963-01B,3.864,9.417,17.267,2.654,5.504,30.179,85.951,7.452,1.0,12.275,9.441,2.151,357.134,7486,KIRP,simu_bulk_2ds_ref,0.003,0.0,0.0,0.0,0.0,0.0,0.869,0.001,0.015,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.003,0.0,0.0
TCGA-B1-A47N-01A,3.969,19.514,18.334,4.678,2.658,9.841,123.229,52.919,1.0,104.056,7.954,3.535,938.782,7487,KIRP,simu_bulk_2ds_ref,0.002,0.0,0.0,0.002,0.0,0.0,0.836,0.001,0.007,0.006,0.092,0.052,0.0,0.0,0.0,0.0,0.002,0.002,0.098
TCGA-5P-A9KH-01A,2.819,9.116,10.926,1.209,3.358,305.481,123.47,2.437,3.436,19.462,13.055,1.609,292.401,7488,KIRP,simu_bulk_2ds_ref,0.002,0.0,0.0,0.0,0.0,0.0,0.818,0.0,0.085,0.0,0.003,0.091,0.0,0.0,0.0,0.0,0.002,0.0,0.003
TCGA-EV-5902-01A,2.968,2.476,4.606,1.0,2.137,16.969,26.771,10.221,1.0,300.185,1.697,1.13,410.886,7489,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.019,0.0,0.071,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.071
TCGA-F9-A4JJ-01A,18.356,16.138,19.357,18.33,4.7,125.484,163.591,150.51,2.559,48.58,138.883,1.755,2269.634,7490,KIRP,simu_bulk_2ds_ref,0.013,0.0,0.011,0.019,0.01,0.0,0.839,0.0,0.044,0.001,0.035,0.023,0.001,0.0,0.004,0.0,0.013,0.028999999999999998,0.036000000000000004
TCGA-Y8-A8S1-01A,33.019,195.335,108.181,8.652,20.186,204.65,2153.143,34.371,4.36,152.102,33.729,7.25,119.552,7491,KIRP,simu_bulk_2ds_ref,0.038,0.0,0.01,0.0,0.005,0.0,0.449,0.0,0.054,0.023,0.056,0.362,0.0,0.001,0.001,0.0,0.038,0.005,0.079
TCGA-GL-A9DC-01A,3.952,53.827,21.065,2.335,4.341,54.204,201.825,137.375,1.0,67.759,10.171,3.24,1106.484,7492,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.0,0.001,0.0,0.0,0.846,0.0,0.032,0.0,0.026,0.084,0.007,0.0,0.002,0.0,0.0,0.001,0.026
TCGA-BQ-5889-01A,32.664,121.076,87.195,30.163,20.869,138.403,713.201,60.57,21.964,240.194,146.985,12.598,490.879,7493,KIRP,simu_bulk_2ds_ref,0.014,0.007,0.028,0.023,0.008,0.003,0.355,0.034,0.103,0.157,0.082,0.176,0.001,0.001,0.008,0.001,0.021,0.031,0.239
TCGA-BQ-5882-01A,14.98,25.132,31.719,50.183,16.881,92.061,296.371,1.59,3.591,605.247,203.537,3.604,313.417,7494,KIRP,simu_bulk_2ds_ref,0.013,0.0,0.015,0.009,0.049,0.0,0.7,0.0,0.034,0.019,0.045,0.112,0.001,0.0,0.003,0.0,0.013,0.058,0.064
TCGA-A4-7997-01A,3.919,29.012,54.127,2.98,13.146,34.712,521.406,41.802,10.562,93.094,15.411,10.76,799.535,7495,KIRP,simu_bulk_2ds_ref,0.0,0.0,0.001,0.002,0.0,0.0,0.735,0.0,0.025,0.0,0.06,0.159,0.012,0.0,0.005,0.0,0.0,0.002,0.06
