,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BJ-A2N8-01A,0.023,0.0,0.002,0.003,0.0,0.001,0.004,0.114,0.004,0.037,0.073,0.0,0.0,0.002,0.0,0.735,0.735,THCA,0.9167,,0.9422,0.8,0.8974,
TCGA-DJ-A3US-01A,0.06,0.012,0.045,0.022,0.056,0.001,0.024,0.117,0.019,0.046,0.089,0.001,0.001,0.005,0.0,0.502,0.502,THCA,0.7578,,0.775,0.75,0.7704,
TCGA-L6-A4EP-01A,0.007,0.0,0.008,0.005,0.0,0.0,0.006,0.069,0.017,0.068,0.041,0.003,0.0,0.0,0.0,0.774,0.774,THCA,0.9064,,0.95,0.95,0.8833,
TCGA-KS-A41L-01A,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.062,0.007,0.0,0.0,0.0,0.0,0.771,0.771,THCA,0.9604,,1.0,,0.9784,
TCGA-DJ-A1QH-01A,0.001,0.0,0.007,0.007,0.0,0.0,0.012,0.039,0.086,0.021,0.059,0.0,0.0,0.003,0.0,0.765,0.765,THCA,0.8612,,0.9281,0.8,0.822,
TCGA-DJ-A4V0-01A,0.105,0.027,0.048,0.011,0.056,0.001,0.014,0.122,0.072,0.047,0.09,0.001,0.002,0.006,0.0,0.399,0.399,THCA,0.7083,,0.7079,0.75,0.6145,
TCGA-EL-A3T0-01A,0.031,0.0,0.005,0.005,0.003,0.001,0.005,0.286,0.083,0.116,0.067,0.002,0.0,0.004,0.0,0.391,0.391,THCA,0.8011,,0.8754,0.6,0.8806,
TCGA-EL-A3H2-01A,0.02,0.0,0.0,0.001,0.007,0.0,0.001,0.159,0.0,0.037,0.028,0.0,0.005,0.003,0.0,0.738,0.738,THCA,0.9318,,0.9395,0.95,0.9179,
TCGA-DJ-A4V4-01A,0.004,0.0,0.005,0.003,0.0,0.001,0.012,0.096,0.053,0.053,0.025,0.0,0.0,0.0,0.0,0.748,0.748,THCA,0.884,,0.9112,0.75,0.853,
TCGA-EM-A4FO-01A,0.098,0.043,0.065,0.013,0.041,0.004,0.013,0.132,0.104,0.061,0.109,0.002,0.002,0.004,0.0,0.308,0.308,THCA,0.5816,,0.5754,0.8,0.5358,
