,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-EL-A3D0-01A,0.0,0.001,0.002,0.0,0.0,0.0,0.688,0.009,0.119,0.119,0.048,0.012,0.0,0.001,0.0,0.0,THCA,0.8697,,0.9955,0.65,0.8336,
TCGA-J8-A4HY-01A,0.002,0.0,0.003,0.007,0.0,0.0,0.793,0.016,0.086,0.001,0.051,0.038,0.0,0.002,0.0,0.0,THCA,0.902,,0.9423,0.95,0.8775,
TCGA-L6-A4ET-01A,0.001,0.0,0.002,0.007,0.0,0.0,0.845,0.005,0.104,0.0,0.029,0.004,0.0,0.0,0.0,0.0,THCA,0.9602,,1.0,0.99,0.97,
TCGA-DE-A4MC-01A,0.001,0.0,0.019,0.023,0.0,0.0,0.727,0.087,0.079,0.046,0.009,0.007,0.001,0.0,0.0,0.0,THCA,0.8296,,0.8248,1.0,0.7913,
TCGA-ET-A25K-01A,0.001,0.0,0.008,0.001,0.0,0.0,0.621,0.006,0.221,0.025,0.086,0.031,0.0,0.0,0.0,0.0,THCA,0.888,,0.9205,0.85,0.8584,
TCGA-DJ-A3UU-01A,0.015,0.001,0.011,0.009,0.002,0.0,0.606,0.041,0.101,0.134,0.033,0.045,0.001,0.001,0.0,0.0,THCA,0.8013,,0.9295,0.8,0.7913,
TCGA-EM-A1YA-01A,0.003,0.0,0.002,0.0,0.0,0.0,0.771,0.001,0.116,0.0,0.087,0.016,0.0,0.004,0.0,0.0,THCA,0.9461,,0.8892,0.9,0.9046,
TCGA-CE-A483-01A,0.0,0.003,0.001,0.002,0.0,0.0,0.83,0.006,0.115,0.001,0.023,0.017,0.0,0.001,0.0,0.0,THCA,0.9403,,1.0,1.0,0.9294,
TCGA-DJ-A3VD-01A,0.038,0.056,0.034,0.017,0.001,0.0,0.413,0.097,0.074,0.185,0.011,0.07,0.001,0.0,0.0,0.0,THCA,0.5967,,0.6114,0.75,0.4628,
TCGA-BJ-A28S-01A,0.001,0.001,0.0,0.001,0.0,0.0,0.758,0.0,0.166,0.001,0.064,0.005,0.0,0.001,0.0,0.0,THCA,0.9475,,1.0,0.9,0.9392,
TCGA-FY-A3R9-01A,0.015,0.0,0.001,0.0,0.0,0.0,0.794,0.006,0.112,0.0,0.067,0.002,0.0,0.001,0.0,0.0,THCA,0.9384,,0.9456,0.88,0.9269,
TCGA-FY-A3R8-01A,0.001,0.0,0.006,0.002,0.0,0.0,0.701,0.035,0.088,0.076,0.007,0.083,0.001,0.0,0.0,0.0,THCA,0.8334,,0.8731,0.9,0.8857,
TCGA-DJ-A3V2-01A,0.038,0.014,0.02,0.025,0.012,0.0,0.537,0.031,0.11,0.042,0.028,0.14,0.001,0.001,0.0,0.0,THCA,0.6876,,0.7666,0.85,0.7605,
TCGA-ET-A25L-01A,0.0,0.0,0.017,0.0,0.0,0.0,0.591,0.04,0.087,0.189,0.02,0.055,0.0,0.0,0.0,0.0,THCA,0.8058,,0.8754,0.8,0.7468,
