,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-KL-8325-01A,0.0,0.005,0.001,0.0,0.0,0.0,0.848,0.0,0.052,0.0,0.019,0.071,0.002,0.0,0.001,0.0,KICH,0.9584,,0.8851,0.9,0.8997,
TCGA-KO-8411-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.834,0.0,0.097,0.0,0.026,0.04,0.002,0.001,0.0,0.0,KICH,0.9495,,0.8649,0.9,0.909,
TCGA-KL-8331-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.925,0.0,0.027,0.0,0.02,0.025,0.001,0.0,0.0,0.0,KICH,0.9669,,0.9046,0.9,0.9227,
TCGA-KO-8409-01A,0.001,0.0,0.0,0.001,0.0,0.0,0.794,0.0,0.08,0.0,0.045,0.072,0.001,0.004,0.001,0.0,KICH,0.9246,,0.8742,0.9,0.8975,
TCGA-KM-8439-01A,0.001,0.0,0.001,0.002,0.0,0.0,0.753,0.0,0.096,0.0,0.028,0.113,0.002,0.002,0.002,0.0,KICH,0.9285,,0.8488,0.85,0.8853,
TCGA-KN-8423-01A,0.0,0.005,0.001,0.0,0.0,0.0,0.778,0.0,0.082,0.0,0.056,0.076,0.0,0.0,0.0,0.0,KICH,0.9087,,0.8412,0.925,0.8865,
TCGA-KL-8339-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.876,0.0,0.047,0.0,0.032,0.043,0.0,0.0,0.001,0.0,KICH,0.9544,,1.0,0.9,0.9486,
TCGA-KN-8434-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.66,0.0,0.118,0.0,0.079,0.134,0.007,0.0,0.001,0.0,KICH,0.8623,,0.8609,0.9,0.8475,
TCGA-KL-8342-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.699,0.0,0.142,0.0,0.05,0.101,0.0,0.006,0.0,0.0,KICH,0.8709,,0.8524,0.95,0.8482,
TCGA-KN-8428-01A,0.011,0.0,0.002,0.007,0.0,0.0,0.885,0.0,0.02,0.001,0.042,0.03,0.001,0.001,0.0,0.0,KICH,0.9468,,0.8406,0.85,0.8929,
TCGA-KO-8416-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.755,0.0,0.088,0.0,0.064,0.09,0.001,0.0,0.0,0.0,KICH,0.9039,,0.9159,0.9,0.908,
TCGA-KL-8344-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.39,0.0,0.3,0.0,0.195,0.107,0.005,0.0,0.0,0.0,KICH,0.8692,,0.8934,0.9,0.8712,
TCGA-KM-8441-01A,0.0,0.0,0.002,0.001,0.0,0.0,0.697,0.0,0.107,0.0,0.052,0.14,0.0,0.0,0.0,0.0,KICH,0.8751,,0.7068,0.85,0.7655,
TCGA-KM-8442-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.863,0.0,0.046,0.0,0.034,0.054,0.001,0.0,0.0,0.0,KICH,0.9359,,0.9347,0.9,0.9253,
TCGA-KL-8346-01A,0.0,0.001,0.002,0.0,0.0,0.0,0.909,0.0,0.042,0.0,0.03,0.011,0.003,0.0,0.001,0.0,KICH,0.9849,,0.9466,0.925,0.981,
TCGA-KL-8341-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.921,0.0,0.028,0.0,0.021,0.028,0.0,0.0,0.0,0.0,KICH,0.9841,,0.9607,0.95,0.9887,
TCGA-KL-8330-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.888,0.0,0.039,0.0,0.032,0.04,0.0,0.0,0.001,0.0,KICH,0.9838,,1.0,0.95,0.9943,
TCGA-KN-8431-01A,0.001,0.0,0.0,0.002,0.0,0.0,0.749,0.0,0.113,0.0,0.061,0.071,0.0,0.001,0.001,0.0,KICH,0.9402,,0.877,0.95,0.8902,
TCGA-KO-8403-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.656,0.0,0.134,0.0,0.045,0.161,0.001,0.001,0.0,0.0,KICH,0.8475,,0.7143,0.875,0.8034,
TCGA-KO-8405-01A,0.0,0.0,0.001,0.001,0.0,0.0,0.5,0.001,0.059,0.001,0.055,0.378,0.001,0.002,0.0,0.0,KICH,0.6554,,0.6439,0.875,0.6163,
TCGA-KN-8435-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.867,0.0,0.057,0.0,0.037,0.038,0.0,0.0,0.0,0.0,KICH,0.9713,,0.9998,0.95,0.9716,
TCGA-KN-8419-01A,0.0,0.0,0.005,0.0,0.0,0.0,0.683,0.001,0.128,0.0,0.054,0.128,0.0,0.0,0.001,0.0,KICH,0.8808,,0.6321,0.95,0.7256,
TCGA-KL-8337-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.854,0.0,0.073,0.0,0.037,0.035,0.001,0.0,0.001,0.0,KICH,0.9735,,0.9681,0.95,0.9745,
TCGA-KL-8332-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.45,0.0,0.302,0.0,0.106,0.139,0.0,0.0,0.0,0.0,KICH,0.8631,,0.813,0.925,0.8198,
TCGA-KO-8413-01A,0.001,0.0,0.002,0.0,0.0,0.0,0.609,0.0,0.124,0.0,0.089,0.164,0.004,0.004,0.002,0.0,KICH,0.8014,,0.7841,0.875,0.7811,
TCGA-KM-8443-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.923,0.0,0.04,0.0,0.014,0.018,0.004,0.0,0.0,0.0,KICH,0.9891,,0.9164,0.9,0.9661,
TCGA-KL-8333-01A,0.022,0.02,0.006,0.001,0.0,0.0,0.443,0.0,0.231,0.019,0.128,0.127,0.002,0.0,0.001,0.0,KICH,0.7333,,0.6393,0.85,0.6484,
TCGA-KL-8334-01A,0.0,0.001,0.001,0.0,0.0,0.0,0.798,0.0,0.055,0.0,0.044,0.093,0.004,0.002,0.001,0.0,KICH,0.8982,,0.8271,0.875,0.8519,
TCGA-KN-8427-01A,0.001,0.0,0.004,0.016,0.0,0.0,0.652,0.0,0.083,0.178,0.002,0.059,0.001,0.0,0.003,0.001,KICH,0.8593,,0.5282,0.9,0.8194,
TCGA-KL-8338-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.872,0.0,0.04,0.0,0.036,0.048,0.004,0.0,0.001,0.0,KICH,0.9497,,0.8128,0.95,0.8785,
TCGA-KN-8432-01A,0.0,0.0,0.001,0.001,0.0,0.0,0.769,0.0,0.101,0.0,0.047,0.067,0.002,0.01,0.001,0.0,KICH,0.9144,,0.9195,0.95,0.9172,
TCGA-KO-8410-01A,0.0,0.006,0.002,0.0,0.0,0.0,0.743,0.0,0.1,0.0,0.048,0.101,0.0,0.0,0.0,0.0,KICH,0.9004,,0.8525,0.9,0.8753,
TCGA-KN-8437-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.721,0.0,0.11,0.0,0.041,0.126,0.0,0.0,0.001,0.0,KICH,0.9183,,0.8362,0.95,0.8423,
TCGA-KN-8430-01A,0.004,0.0,0.002,0.0,0.0,0.0,0.676,0.0,0.11,0.0,0.063,0.144,0.0,0.0,0.001,0.0,KICH,0.8422,,0.7952,0.95,0.7951,
TCGA-KM-8477-01A,0.001,0.0,0.0,0.004,0.0,0.0,0.736,0.0,0.082,0.0,0.064,0.108,0.003,0.0,0.001,0.0,KICH,0.9005,,0.8571,0.92,0.8711,
TCGA-KO-8414-01A,0.005,0.0,0.0,0.004,0.0,0.0,0.842,0.0,0.045,0.0,0.034,0.059,0.0,0.01,0.001,0.0,KICH,0.9251,,0.9247,0.9,0.9275,
TCGA-KL-8323-01A,0.0,0.0,0.002,0.001,0.0,0.0,0.842,0.0,0.079,0.0,0.014,0.048,0.006,0.006,0.0,0.0,KICH,0.9473,,0.906,0.9,0.9243,
TCGA-KL-8328-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.932,0.0,0.022,0.0,0.023,0.022,0.0,0.0,0.0,0.0,KICH,0.9859,,0.9826,0.9,0.9957,
TCGA-KN-8426-01A,0.001,0.0,0.002,0.0,0.0,0.0,0.818,0.0,0.063,0.0,0.027,0.083,0.0,0.004,0.001,0.0,KICH,0.9123,,0.8535,0.95,0.877,
TCGA-KL-8336-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.765,0.0,0.072,0.0,0.037,0.124,0.0,0.0,0.0,0.0,KICH,0.8924,,0.8519,0.8,0.8626,
TCGA-KL-8329-01A,0.0,0.0,0.006,0.001,0.0,0.0,0.732,0.0,0.047,0.0,0.046,0.159,0.004,0.003,0.0,0.0,KICH,0.8629,,0.8365,0.875,0.8427,
TCGA-KN-8429-01A,0.005,0.001,0.0,0.0,0.0,0.0,0.753,0.0,0.081,0.0,0.062,0.095,0.0,0.002,0.001,0.0,KICH,0.9252,,0.9007,0.9,0.9089,
TCGA-KL-8326-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.815,0.0,0.076,0.0,0.08,0.027,0.0,0.0,0.001,0.0,KICH,0.9698,,0.8902,0.9,0.9376,
TCGA-KN-8425-01A,0.001,0.002,0.0,0.001,0.0,0.001,0.713,0.0,0.084,0.0,0.047,0.146,0.001,0.004,0.0,0.0,KICH,0.8688,,0.8114,0.8,0.8323,
TCGA-KL-8327-01A,0.0,0.001,0.0,0.0,0.0,0.0,0.76,0.0,0.108,0.0,0.074,0.056,0.0,0.0,0.0,0.0,KICH,0.94,,0.8337,0.9,0.8806,
TCGA-KL-8343-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.775,0.0,0.087,0.0,0.078,0.058,0.0,0.0,0.0,0.0,KICH,0.9339,,0.8387,0.9,0.8452,
TCGA-KL-8324-01A,0.002,0.0,0.002,0.0,0.0,0.0,0.813,0.0,0.077,0.0,0.059,0.042,0.0,0.003,0.0,0.0,KICH,0.937,,0.954,0.9,0.9528,
TCGA-KN-8433-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.718,0.0,0.062,0.0,0.086,0.131,0.0,0.0,0.001,0.0,KICH,0.8605,,0.7569,0.925,0.821,
TCGA-KO-8417-01A,0.001,0.0,0.0,0.0,0.0,0.0,0.841,0.0,0.081,0.0,0.04,0.031,0.002,0.004,0.0,0.0,KICH,0.9727,,0.933,0.9,0.956,
TCGA-KM-8639-01A,0.0,0.0,0.005,0.0,0.0,0.0,0.726,0.0,0.104,0.0,0.019,0.131,0.01,0.0,0.002,0.0,KICH,0.9394,,0.7932,0.9,0.86,
TCGA-KL-8340-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.724,0.0,0.098,0.0,0.104,0.071,0.0,0.0,0.001,0.0,KICH,0.9317,,0.8861,0.95,0.9093,
TCGA-KO-8404-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.0,0.027,0.32,0.001,0.396,0.002,0.0,0.0,0.0,KICH,0.5813,,0.5659,0.85,0.5247,
