,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-AG-3726-01A,0.006,0.0,0.001,0.008,0.0,0.0,0.017,0.023,0.026,0.024,0.017,0.0,0.0,0.0,0.0,0.879,0.879,READ,,0.76,,0.75,0.8486,
TCGA-EI-6917-01A,0.0,0.0,0.021,0.023,0.006,0.0,0.005,0.036,0.129,0.002,0.158,0.0,0.0,0.002,0.0,0.617,0.617,READ,0.7012,0.51,0.6897,0.55,0.6583,
TCGA-AG-A02X-01A,0.004,0.0,0.002,0.002,0.0,0.003,0.0,0.008,0.003,0.002,0.009,0.0,0.0,0.0,0.0,0.968,0.968,READ,,0.87,,0.7375,0.923,
TCGA-AG-A015-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.005,0.006,0.0,0.003,0.0,0.0,0.0,0.0,0.981,0.981,READ,,0.97,,0.825,0.851,
TCGA-AF-2693-01A,0.013,0.0,0.006,0.001,0.001,0.0,0.009,0.037,0.03,0.012,0.029,0.001,0.0,0.002,0.0,0.86,0.86,READ,0.8719,0.63,0.7436,0.65,0.7758,
TCGA-AG-4022-01A,0.007,0.006,0.015,0.011,0.0,0.0,0.022,0.038,0.114,0.009,0.05,0.002,0.0,0.006,0.0,0.719,0.719,READ,0.8086,0.45,0.728,0.775,0.7085,
TCGA-AG-A008-01A,0.001,0.0,0.002,0.006,0.0,0.002,0.001,0.01,0.0,0.004,0.008,0.0,0.0,0.0,0.0,0.967,0.967,READ,,,,0.85,0.827,
TCGA-AG-3582-01A,0.008,0.0,0.008,0.006,0.0,0.0,0.001,0.019,0.036,0.007,0.037,0.0,0.0,0.002,0.0,0.875,0.875,READ,,0.76,,0.725,0.7927,
TCGA-G5-6233-01A,0.003,0.0,0.005,0.004,0.0,0.001,0.0,0.053,0.024,0.011,0.04,0.004,0.0,0.0,0.0,0.854,0.854,READ,0.9141,0.57,0.8032,0.875,0.7974,
TCGA-AG-3742-01A,0.0,0.0,0.001,0.004,0.0,0.0,0.0,0.031,0.053,0.006,0.018,0.0,0.0,0.003,0.0,0.884,0.884,READ,0.907,0.79,0.8179,0.675,0.8525,
TCGA-EI-6509-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.055,0.0,0.027,0.0,0.0,0.0,0.0,0.905,0.905,READ,0.9262,0.72,0.8028,0.8,0.8243,
TCGA-AG-3602-01A,0.016,0.0,0.003,0.004,0.0,0.0,0.016,0.011,0.031,0.007,0.016,0.0,0.0,0.001,0.0,0.895,0.895,READ,,0.64,,0.825,0.747,
TCGA-EI-6506-01A,0.023,0.0,0.007,0.011,0.001,0.0,0.021,0.045,0.014,0.008,0.035,0.009,0.001,0.01,0.0,0.814,0.814,READ,0.8791,0.3,0.8017,0.725,0.7854,
TCGA-CI-6622-01A,0.009,0.0,0.001,0.002,0.0,0.0,0.002,0.016,0.019,0.004,0.01,0.002,0.0,0.0,0.0,0.936,0.936,READ,0.9536,0.66,0.8214,0.75,0.8081,
TCGA-AG-3901-01A,0.01,0.0,0.028,0.003,0.002,0.001,0.032,0.045,0.191,0.028,0.096,0.003,0.003,0.005,0.001,0.552,0.552,READ,,0.45,,0.7,0.6569,
TCGA-AG-3894-01A,0.011,0.0,0.0,0.004,0.0,0.0,0.012,0.015,0.029,0.008,0.015,0.0,0.001,0.0,0.0,0.904,0.904,READ,,0.81,,0.8,0.8444,
TCGA-AG-4015-01A,0.011,0.0,0.002,0.005,0.001,0.0,0.002,0.011,0.025,0.007,0.024,0.0,0.0,0.0,0.0,0.911,0.911,READ,,0.81,,0.8,0.8388,
TCGA-AG-3727-01A,0.006,0.0,0.002,0.007,0.0,0.0,0.013,0.019,0.036,0.013,0.024,0.0,0.001,0.001,0.0,0.878,0.878,READ,,0.89,,0.7,0.8733,
TCGA-CI-6623-01B,0.001,0.0,0.004,0.003,0.0,0.0,0.001,0.025,0.021,0.002,0.011,0.0,0.0,0.004,0.0,0.928,0.928,READ,0.9072,0.54,0.7052,0.65,0.7622,
TCGA-AG-A02G-01A,0.003,0.0,0.003,0.005,0.0,0.0,0.001,0.008,0.006,0.0,0.013,0.0,0.0,0.0,0.0,0.96,0.96,READ,,0.8,,0.7625,0.8229,
TCGA-AG-3578-01A,0.008,0.0,0.003,0.008,0.0,0.0,0.0,0.025,0.028,0.005,0.034,0.002,0.0,0.008,0.001,0.877,0.877,READ,,0.77,,0.85,0.7528,
TCGA-DC-6681-01A,0.006,0.0,0.009,0.004,0.0,0.002,0.016,0.043,0.103,0.032,0.025,0.001,0.0,0.0,0.0,0.758,0.758,READ,0.8684,0.58,0.8276,0.8,0.7892,
TCGA-AG-3732-01A,0.013,0.051,0.014,0.009,0.024,0.002,0.019,0.039,0.024,0.01,0.023,0.006,0.0,0.006,0.0,0.759,0.759,READ,0.8626,0.69,0.4839,0.75,0.8171,
TCGA-EI-6885-01A,0.002,0.0,0.013,0.01,0.01,0.001,0.009,0.047,0.095,0.016,0.054,0.002,0.0,0.008,0.006,0.727,0.727,READ,0.8215,0.59,0.8303,0.75,0.8017,
TCGA-DC-5337-01A,0.004,0.0,0.006,0.006,0.0,0.0,0.007,0.013,0.014,0.009,0.013,0.0,0.0,0.0,0.0,0.926,0.926,READ,0.9079,0.19,0.6834,0.8,0.6626,
TCGA-F5-6863-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.006,0.031,0.039,0.029,0.005,0.0,0.0,0.0,0.0,0.887,0.887,READ,0.9559,0.76,0.9056,0.8,0.9037,
TCGA-EI-6510-01A,0.022,0.0,0.004,0.006,0.003,0.001,0.006,0.009,0.0,0.001,0.007,0.0,0.0,0.0,0.0,0.943,0.943,READ,0.9662,0.77,0.7125,0.75,0.8198,
TCGA-AG-3587-01A,0.007,0.0,0.006,0.009,0.0,0.0,0.011,0.025,0.032,0.017,0.02,0.0,0.0,0.0,0.0,0.871,0.871,READ,,0.79,,0.775,0.8516,
TCGA-F5-6464-01A,0.0,0.0,0.021,0.002,0.015,0.0,0.021,0.072,0.248,0.032,0.118,0.0,0.0,0.005,0.0,0.465,0.465,READ,0.644,0.48,0.6819,0.75,0.6395,
TCGA-DC-6156-01A,0.001,0.0,0.004,0.011,0.041,0.0,0.0,0.067,0.216,0.013,0.146,0.001,0.0,0.015,0.0,0.482,0.482,READ,0.6396,0.44,0.7139,0.65,0.6393,
TCGA-AG-A016-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.015,0.007,0.006,0.009,0.0,0.0,0.0,0.0,0.961,0.961,READ,,0.86,,0.825,0.8401,
TCGA-F5-6810-01A,0.002,0.0,0.003,0.006,0.0,0.0,0.006,0.054,0.114,0.046,0.018,0.0,0.0,0.003,0.0,0.748,0.748,READ,0.8696,0.65,0.7223,0.8,0.7439,
TCGA-F5-6811-01A,0.005,0.0,0.011,0.008,0.0,0.001,0.0,0.02,0.175,0.0,0.063,0.0,0.0,0.002,0.0,0.713,0.713,READ,0.7954,0.6,0.7656,0.8,0.746,
TCGA-AG-3584-01A,0.009,0.0,0.007,0.011,0.0,0.0,0.014,0.027,0.036,0.017,0.039,0.0,0.001,0.0,0.0,0.839,0.839,READ,,0.76,,0.75,0.8374,
TCGA-AG-3898-01A,0.0,0.0,0.002,0.005,0.0,0.0,0.01,0.025,0.049,0.012,0.026,0.0,0.0,0.003,0.0,0.868,0.868,READ,,0.52,,0.725,0.679,
TCGA-EI-6884-01A,0.023,0.002,0.012,0.011,0.01,0.001,0.026,0.048,0.071,0.009,0.05,0.006,0.002,0.012,0.0,0.718,0.718,READ,0.8232,0.41,0.767,0.715,0.7657,
TCGA-AG-A002-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.038,0.0,0.009,0.007,0.0,0.0,0.001,0.0,0.941,0.941,READ,,,,0.875,0.836,
TCGA-AG-3725-01A,0.006,0.0,0.002,0.003,0.001,0.0,0.003,0.008,0.006,0.004,0.009,0.0,0.0,0.001,0.0,0.956,0.956,READ,0.9421,0.81,0.7294,0.7,0.8238,
TCGA-CI-6619-01B,0.007,0.0,0.008,0.009,0.001,0.001,0.019,0.065,0.027,0.015,0.021,0.006,0.0,0.004,0.001,0.815,0.815,READ,0.8816,0.31,0.7301,0.7,0.6651,
TCGA-AG-A00C-01A,0.005,0.0,0.0,0.002,0.0,0.0,0.007,0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.975,READ,,0.78,,0.8125,0.8826,
TCGA-DY-A0XA-01A,0.006,0.0,0.0,0.003,0.0,0.0,0.0,0.012,0.044,0.002,0.009,0.0,0.0,0.0,0.0,0.924,0.924,READ,0.943,0.82,0.8598,0.85,0.9016,
TCGA-F5-6814-01A,0.004,0.0,0.004,0.019,0.003,0.0,0.0,0.026,0.034,0.017,0.041,0.0,0.0,0.0,0.0,0.852,0.852,READ,0.879,0.58,0.7635,0.75,0.7964,
TCGA-AG-3893-01A,0.004,0.0,0.002,0.007,0.0,0.0,0.008,0.024,0.079,0.011,0.05,0.0,0.002,0.002,0.0,0.812,0.812,READ,,0.72,,0.75,0.7961,
TCGA-AG-3583-01A,0.021,0.0,0.003,0.001,0.0,0.001,0.012,0.01,0.003,0.009,0.012,0.0,0.0,0.0,0.0,0.927,0.927,READ,,0.64,,0.75,0.7697,
TCGA-AG-A01W-01A,0.001,0.002,0.005,0.008,0.005,0.0,0.003,0.02,0.016,0.011,0.02,0.0,0.0,0.0,0.0,0.907,0.907,READ,,0.61,0.6853,0.8,0.7413,
TCGA-AG-A025-01A,0.0,0.0,0.002,0.003,0.0,0.0,0.007,0.03,0.034,0.011,0.013,0.0,0.0,0.0,0.0,0.901,0.901,READ,,0.76,,0.75,0.843,
TCGA-DC-6155-01A,0.006,0.0,0.001,0.003,0.0,0.0,0.003,0.015,0.011,0.009,0.01,0.0,0.0,0.0,0.0,0.942,0.942,READ,0.9013,0.64,0.7261,0.75,0.7694,
TCGA-F5-6813-01A,0.01,0.0,0.003,0.002,0.007,0.0,0.0,0.03,0.064,0.017,0.041,0.0,0.0,0.0,0.0,0.825,0.825,READ,0.8481,0.67,0.7929,0.8,0.7948,
TCGA-AG-A020-01A,0.002,0.0,0.0,0.004,0.003,0.0,0.0,0.01,0.001,0.003,0.009,0.0,0.0,0.0,0.0,0.969,0.969,READ,,0.86,0.8238,0.85,0.8277,
TCGA-EI-6511-01A,0.048,0.0,0.016,0.015,0.024,0.0,0.002,0.03,0.062,0.015,0.093,0.0,0.0,0.007,0.0,0.686,0.686,READ,0.7322,0.65,0.6652,0.75,0.6855,
TCGA-AG-3608-01A,0.01,0.0,0.007,0.009,0.002,0.0,0.017,0.015,0.032,0.007,0.036,0.0,0.0,0.001,0.0,0.863,0.863,READ,,0.74,,0.89,0.8056,
TCGA-AG-A01L-01A,0.005,0.0,0.001,0.004,0.0,0.0,0.005,0.015,0.014,0.005,0.011,0.0,0.0,0.0,0.0,0.939,0.939,READ,,0.78,,0.75,0.8245,
TCGA-AG-3586-01A,0.005,0.0,0.0,0.008,0.0,0.0,0.008,0.019,0.022,0.008,0.024,0.0,0.0,0.0,0.0,0.905,0.905,READ,,0.75,,0.725,0.874,
TCGA-AF-3911-01A,0.001,0.0,0.004,0.004,0.0,0.0,0.006,0.026,0.054,0.018,0.033,0.0,0.0,0.001,0.0,0.853,0.853,READ,0.8814,0.72,0.8499,0.5833,0.8475,
TCGA-DY-A1DF-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.013,0.026,0.002,0.0,0.0,0.0,0.0,0.95,0.95,READ,0.9449,0.92,0.6989,0.8,0.8434,
TCGA-AF-2690-01A,0.036,0.001,0.031,0.002,0.017,0.001,0.039,0.087,0.239,0.045,0.125,0.005,0.0,0.006,0.001,0.363,0.363,READ,0.5004,0.37,0.6933,0.7,0.5941,
TCGA-EI-7002-01A,0.0,0.0,0.005,0.003,0.0,0.0,0.011,0.031,0.075,0.013,0.031,0.0,0.0,0.003,0.0,0.825,0.825,READ,0.8742,0.8,0.903,0.8,0.8802,
TCGA-AG-3593-01A,0.017,0.0,0.007,0.009,0.0,0.001,0.027,0.024,0.017,0.009,0.036,0.0,0.0,0.001,0.0,0.851,0.851,READ,,0.73,,0.875,0.8551,
TCGA-AG-3600-01A,0.003,0.0,0.001,0.007,0.0,0.0,0.003,0.013,0.022,0.006,0.053,0.0,0.0,0.0,0.0,0.891,0.891,READ,,0.76,,0.85,0.8374,
TCGA-DC-5869-01A,0.0,0.0,0.006,0.004,0.0,0.001,0.014,0.031,0.07,0.008,0.015,0.0,0.0,0.0,0.0,0.851,0.851,READ,0.904,0.66,0.7756,0.775,0.79,
TCGA-EF-5830-01A,0.0,0.0,0.0,0.005,0.0,0.0,0.001,0.009,0.021,0.004,0.02,0.0,0.0,0.0,0.0,0.94,0.94,READ,0.9425,0.84,0.7024,0.8,0.8618,
TCGA-AG-3591-01A,0.009,0.0,0.0,0.003,0.001,0.001,0.01,0.011,0.008,0.007,0.013,0.0,0.0,0.0,0.0,0.937,0.937,READ,0.929,0.84,0.7205,0.775,0.8102,
TCGA-CI-6620-01A,0.002,0.002,0.005,0.001,0.003,0.001,0.01,0.053,0.034,0.02,0.015,0.0,0.0,0.002,0.0,0.85,0.85,READ,0.9054,0.44,0.6625,0.65,0.6276,
TCGA-DC-6158-01A,0.007,0.0,0.03,0.016,0.0,0.0,0.001,0.045,0.196,0.003,0.084,0.0,0.0,0.014,0.0,0.602,0.602,READ,0.7263,0.55,0.7478,0.7,0.7114,
TCGA-F5-6465-01A,0.017,0.001,0.03,0.016,0.001,0.001,0.028,0.058,0.185,0.014,0.068,0.001,0.0,0.013,0.0,0.566,0.566,READ,0.7148,0.54,0.6442,0.8,0.6491,
TCGA-DC-6157-01A,0.0,0.0,0.007,0.004,0.0,0.0,0.007,0.041,0.045,0.007,0.02,0.0,0.0,0.001,0.0,0.868,0.868,READ,0.9243,0.68,0.8241,0.8,0.8179,
TCGA-AF-2691-01A,0.009,0.0,0.002,0.014,0.002,0.0,0.012,0.02,0.053,0.014,0.049,0.0,0.001,0.0,0.0,0.823,0.823,READ,,0.28,,0.7,0.6099,
TCGA-AH-6897-01A,0.004,0.0,0.001,0.003,0.0,0.0,0.0,0.011,0.002,0.005,0.003,0.0,0.0,0.0,0.0,0.971,0.971,READ,0.9666,0.83,0.7166,0.85,0.8706,
TCGA-CI-6621-01A,0.007,0.0,0.013,0.013,0.005,0.0,0.012,0.053,0.053,0.014,0.043,0.001,0.0,0.008,0.0,0.778,0.778,READ,0.8207,0.46,0.7897,0.575,0.767,
TCGA-AG-3909-01A,0.01,0.0,0.003,0.007,0.0,0.0,0.014,0.016,0.033,0.006,0.035,0.0,0.0,0.0,0.0,0.873,0.873,READ,,0.56,,0.775,0.6939,
TCGA-AG-3612-01A,0.012,0.0,0.007,0.005,0.0,0.0,0.025,0.028,0.066,0.011,0.032,0.0,0.0,0.001,0.0,0.813,0.813,READ,,0.72,,0.88,0.8519,
TCGA-AG-4005-01A,0.009,0.0,0.002,0.002,0.0,0.0,0.006,0.022,0.057,0.009,0.026,0.0,0.0,0.002,0.0,0.864,0.864,READ,,0.67,,0.8,0.7947,
TCGA-EI-6883-01A,0.006,0.001,0.004,0.014,0.0,0.0,0.001,0.013,0.034,0.006,0.023,0.0,0.0,0.0,0.0,0.897,0.897,READ,0.9173,0.8,0.9139,0.775,0.9098,
TCGA-EI-6508-01A,0.001,0.0,0.005,0.009,0.0,0.0,0.01,0.029,0.036,0.015,0.024,0.001,0.0,0.001,0.0,0.869,0.869,READ,0.9348,0.79,0.773,0.775,0.84,
TCGA-EI-6881-01A,0.005,0.0,0.005,0.003,0.0,0.0,0.001,0.023,0.001,0.006,0.011,0.0,0.0,0.005,0.0,0.939,0.939,READ,0.9365,0.61,0.824,0.85,0.8096,
TCGA-AG-3598-01A,0.006,0.0,0.001,0.011,0.0,0.0,0.014,0.013,0.014,0.007,0.022,0.0,0.0,0.001,0.0,0.91,0.91,READ,,0.81,,0.75,0.8834,
TCGA-F5-6864-01A,0.007,0.0,0.007,0.009,0.002,0.0,0.001,0.057,0.162,0.031,0.07,0.0,0.001,0.004,0.0,0.647,0.647,READ,0.7984,0.65,0.8023,0.8,0.7629,
TCGA-AG-4008-01A,0.01,0.0,0.005,0.007,0.0,0.0,0.009,0.046,0.104,0.018,0.038,0.001,0.001,0.002,0.0,0.759,0.759,READ,,0.49,,0.7,0.6647,
TCGA-F5-6571-01A,0.004,0.0,0.012,0.006,0.0,0.0,0.037,0.035,0.137,0.003,0.057,0.0,0.0,0.004,0.0,0.704,0.704,READ,0.7501,0.76,0.7974,0.8,0.7717,
TCGA-AG-3601-01A,0.001,0.0,0.002,0.001,0.0,0.0,0.001,0.025,0.028,0.008,0.025,0.0,0.0,0.0,0.0,0.909,0.909,READ,,0.76,,0.85,0.8151,
TCGA-AG-3609-01A,0.005,0.0,0.01,0.004,0.0,0.0,0.013,0.034,0.093,0.007,0.045,0.0,0.0,0.0,0.0,0.787,0.787,READ,,0.67,,0.85,0.7612,
TCGA-AG-3887-01A,0.008,0.0,0.011,0.011,0.006,0.0,0.009,0.024,0.028,0.015,0.015,0.0,0.0,0.001,0.0,0.872,0.872,READ,,0.82,,0.8,0.8547,
TCGA-AG-4021-01A,0.0,0.0,0.004,0.003,0.0,0.0,0.0,0.037,0.093,0.016,0.06,0.0,0.0,0.003,0.001,0.782,0.782,READ,0.869,0.81,0.6736,0.8,0.8008,
TCGA-AG-A023-01A,0.007,0.01,0.007,0.006,0.0,0.0,0.011,0.04,0.074,0.011,0.012,0.0,0.0,0.0,0.0,0.821,0.821,READ,,0.55,,0.75,0.7602,
TCGA-EF-5831-01A,0.0,0.0,0.002,0.004,0.0,0.0,0.0,0.023,0.061,0.009,0.047,0.0,0.0,0.0,0.0,0.853,0.853,READ,0.8765,0.63,0.8369,0.8,0.8015,
TCGA-CL-5918-01A,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.988,0.988,READ,0.9549,0.62,0.7952,0.775,0.7724,
TCGA-AG-3885-01A,0.013,0.0,0.01,0.005,0.001,0.0,0.016,0.021,0.017,0.009,0.021,0.0,0.001,0.001,0.0,0.883,0.883,READ,,0.75,,0.75,0.8729,
TCGA-AF-5654-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.008,0.006,0.005,0.0,0.0,0.0,0.0,0.0,0.979,0.979,READ,0.9632,0.79,,0.8,0.912,
TCGA-BM-6198-01A,0.01,0.0,0.006,0.006,0.0,0.0,0.0,0.026,0.059,0.002,0.053,0.0,0.0,0.002,0.0,0.835,0.835,READ,0.7939,0.61,0.5899,0.725,0.7307,
TCGA-AG-3728-01A,0.015,0.01,0.032,0.01,0.006,0.001,0.039,0.044,0.1,0.026,0.054,0.001,0.006,0.001,0.0,0.656,0.656,READ,,0.55,,0.6,0.7379,
TCGA-DY-A1DC-01A,0.002,0.0,0.002,0.004,0.0,0.0,0.0,0.012,0.044,0.0,0.015,0.0,0.0,0.0,0.0,0.919,0.919,READ,0.8952,0.71,0.869,0.75,0.8521,
TCGA-EI-6507-01A,0.006,0.0,0.007,0.018,0.032,0.0,0.0,0.028,0.099,0.002,0.077,0.001,0.0,0.013,0.015,0.701,0.701,READ,0.7736,0.55,0.6238,0.8,0.6937,
TCGA-DY-A1DE-01A,0.001,0.0,0.004,0.009,0.0,0.0,0.002,0.028,0.034,0.021,0.042,0.0,0.0,0.0,0.0,0.858,0.858,READ,0.8955,0.75,0.6851,0.6,0.8635,
