,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-G3-A7M5-01A,3.095,1.846,20.058,1.406,1.295,64.206,99.9,1.0,1.0,21.542,25.011,2.932,135.306,2104,LIHC,simu_bulk_2ds_ref,0.003,0.0,0.0,0.0,0.0,0.0,0.768,0.0,0.059,0.0,0.071,0.096,0.0,0.0,0.002,0.0,0.003,0.0,0.071
TCGA-DD-A4NS-01A,10.047,144.523,61.983,18.022,23.412,99.851,266.117,12.344,8.407,224.979,57.872,5.037,723.888,2105,LIHC,simu_bulk_2ds_ref,0.012,0.0,0.007,0.001,0.021,0.0,0.488,0.008,0.116,0.138,0.055,0.153,0.0,0.0,0.0,0.001,0.012,0.022000000000000002,0.193
TCGA-WX-AA46-01A,2.903,6.447,28.258,1.0,8.05,14.315,119.479,1.0,1.284,33.814,12.266,2.391,443.186,2106,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.0,0.134,0.0,0.261,0.06,0.02,0.521,0.0,0.0,0.0,0.001,0.0,0.0,0.08
TCGA-O8-A75V-01A,12.047,32.546,24.759,6.583,6.172,69.955,351.261,2.96,2.0,49.571,24.251,1.142,423.495,2107,LIHC,simu_bulk_2ds_ref,0.002,0.0,0.003,0.0,0.0,0.0,0.692,0.0,0.039,0.004,0.025,0.234,0.0,0.0,0.0,0.0,0.002,0.0,0.029
TCGA-DD-AACH-01A,17.007,39.267,18.494,1.0,3.62,99.093,356.692,2.968,1.0,50.257,22.045,1.552,546.694,2108,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.002,0.0,0.0,0.0,0.78,0.0,0.042,0.005,0.07,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000000000001
TCGA-DD-AAVQ-01A,56.973,43.792,50.597,17.491,30.119,87.638,320.905,13.056,8.671,58.404,78.432,1.681,438.45,2109,LIHC,simu_bulk_2ds_ref,0.053,0.019,0.031,0.009,0.003,0.0,0.649,0.056,0.04,0.022,0.012,0.106,0.0,0.0,0.0,0.0,0.072,0.012,0.034
TCGA-RC-A7S9-01A,22.767,2.722,24.104,1.895,9.291,30.837,128.019,1.0,1.078,6.987,18.201,3.62,293.652,2110,LIHC,simu_bulk_2ds_ref,0.068,0.0,0.0,0.0,0.0,0.0,0.737,0.014,0.046,0.0,0.045,0.089,0.0,0.0,0.0,0.0,0.068,0.0,0.045
TCGA-BC-A8YO-01A,9.022,6.337,40.962,34.191,11.863,63.222,556.94,1.0,1.252,16.341,97.981,2.525,186.633,2111,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.019,0.042,0.0,0.0,0.646,0.016,0.023,0.006,0.015,0.233,0.0,0.0,0.0,0.0,0.0,0.042,0.020999999999999998
TCGA-DD-A4NR-01A,17.373,20.179,70.276,34.646,16.125,66.177,1068.435,1.0,5.185,72.048,196.635,5.933,748.954,2112,LIHC,simu_bulk_2ds_ref,0.009,0.0,0.026,0.019,0.005,0.0,0.604,0.001,0.033,0.006,0.018,0.278,0.0,0.0,0.0,0.0,0.009,0.024,0.024
TCGA-CC-A8HU-01A,7.162,9.794,18.168,1.0,5.362,39.769,68.182,8.048,1.089,33.443,9.421,3.459,326.885,2113,LIHC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.838,0.0,0.044,0.0,0.022,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.022
TCGA-DD-AAVS-01A,5.864,16.359,28.273,4.56,5.55,88.465,105.529,1.179,2.187,63.689,22.054,1.217,640.238,2114,LIHC,simu_bulk_2ds_ref,0.001,0.0,0.001,0.0,0.0,0.0,0.859,0.0,0.029,0.0,0.056,0.054,0.0,0.0,0.0,0.0,0.001,0.0,0.056
TCGA-CC-A7IH-01A,5.846,7.23,6.827,1.0,3.848,58.595,55.994,20.28,1.0,37.435,13.149,1.0,250.233,2115,LIHC,simu_bulk_2ds_ref,0.002,0.0,0.0,0.0,0.0,0.0,0.472,0.0,0.2,0.0,0.138,0.188,0.0,0.0,0.0,0.0,0.002,0.0,0.138
TCGA-FV-A3I0-01A,8.763,47.404,11.825,1.574,5.603,71.245,138.027,1.0,2.537,193.186,14.572,2.573,3245.444,2116,LIHC,simu_bulk_2ds_ref,0.002,0.0,0.001,0.0,0.0,0.0,0.927,0.003,0.027,0.009,0.001,0.029,0.0,0.001,0.0,0.0,0.002,0.0,0.009999999999999998
