,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-OR-A5LO-01A,0.007,0.0,0.0,0.0,0.003,0.0,0.0,0.059,0.009,0.052,0.006,0.0,0.0,0.002,0.0,0.861,0.861,ACC,0.9889,,1.0,0.95,0.9954,
TCGA-P6-A5OG-01A,0.001,0.0,0.019,0.013,0.007,0.0,0.0,0.201,0.093,0.207,0.12,0.0,0.001,0.014,0.011,0.314,0.314,ACC,0.5958,,0.4912,0.9,0.4616,
TCGA-OR-A5J6-01A,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.125,0.002,0.046,0.156,0.001,0.0,0.0,0.0,0.665,0.665,ACC,0.8741,,0.7445,0.88,0.8396,
TCGA-OR-A5LT-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.065,0.009,0.032,0.0,0.0,0.0,0.0,0.891,0.891,ACC,0.9651,,0.9281,0.95,0.9503,
TCGA-OR-A5JY-01A,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.074,0.0,0.044,0.064,0.0,0.0,0.006,0.0,0.802,0.802,ACC,0.9205,,0.8876,0.9,0.9026,
TCGA-OR-A5JV-01A,0.0,0.0,0.003,0.0,0.003,0.0,0.0,0.062,0.0,0.063,0.32,0.003,0.0,0.007,0.0,0.537,0.537,ACC,0.74,,0.5853,0.85,0.6575,
TCGA-OR-A5JT-01A,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.078,0.003,0.069,0.029,0.0,0.0,0.001,0.0,0.816,0.816,ACC,0.9442,,0.9037,0.9,0.9216,
TCGA-OR-A5KX-01A,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.089,0.002,0.033,0.031,0.0,0.0,0.001,0.001,0.842,0.842,ACC,0.9582,,0.9836,0.8,0.97,
TCGA-OR-A5K3-01A,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.018,0.001,0.006,0.092,0.0,0.0,0.0,0.0,0.883,0.883,ACC,0.9145,,0.8728,1.0,0.8944,
TCGA-OR-A5JZ-01A,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.075,0.003,0.062,0.035,0.001,0.0,0.002,0.0,0.818,0.818,ACC,0.9165,,0.9053,1.0,0.9235,
TCGA-OR-A5LC-01A,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.09,0.058,0.11,0.028,0.0,0.0,0.0,0.0,0.711,0.711,ACC,0.9277,,0.9616,0.65,0.9123,
TCGA-OR-A5LH-01A,0.001,0.0,0.003,0.0,0.006,0.0,0.0,0.082,0.001,0.038,0.068,0.001,0.0,0.003,0.0,0.798,0.798,ACC,0.933,,0.8325,0.95,0.9196,
TCGA-OR-A5LM-01A,0.002,0.0,0.003,0.0,0.003,0.0,0.0,0.061,0.001,0.038,0.038,0.0,0.0,0.001,0.0,0.852,0.852,ACC,0.9535,,0.9569,0.85,0.9521,
