,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-94-7943-01A,0.006,0.0,0.006,0.002,0.012,0.0,0.818,0.013,0.015,0.049,0.012,0.062,0.003,0.0,0.0,0.0,LUSC,0.8805,0.58,0.77,0.85,0.7667,
TCGA-68-8251-01A,0.008,0.007,0.015,0.032,0.001,0.0,0.662,0.031,0.026,0.163,0.001,0.051,0.001,0.002,0.0,0.0,LUSC,0.7167,0.33,0.5632,0.7,0.5736,
TCGA-33-A5GW-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.954,0.006,0.025,0.002,0.002,0.008,0.001,0.0,0.0,0.0,LUSC,0.9734,,0.883,0.8,0.9358,
TCGA-85-8070-01A,0.017,0.0,0.001,0.006,0.0,0.0,0.937,0.004,0.01,0.008,0.009,0.007,0.001,0.0,0.001,0.0,LUSC,0.9862,0.95,0.8116,0.85,0.9026,
TCGA-85-8479-01A,0.0,0.0,0.0,0.008,0.0,0.0,0.922,0.007,0.034,0.002,0.02,0.001,0.001,0.0,0.005,0.0,LUSC,0.9507,,0.6701,0.725,0.7019,
TCGA-22-5482-01A,0.005,0.0,0.003,0.004,0.0,0.0,0.837,0.009,0.022,0.086,0.003,0.028,0.0,0.0,0.0,0.0,LUSC,0.8912,0.66,0.7648,0.8,0.7887,
TCGA-21-1077-01A,0.038,0.0,0.005,0.007,0.001,0.0,0.733,0.017,0.024,0.106,0.01,0.055,0.002,0.0,0.0,0.0,LUSC,0.8133,0.34,,0.825,0.6037,
TCGA-43-6773-01A,0.084,0.019,0.012,0.01,0.017,0.0,0.397,0.007,0.081,0.2,0.035,0.132,0.004,0.0,0.001,0.001,LUSC,0.4898,0.93,0.3418,0.6,0.5098,
TCGA-34-8455-01A,0.019,0.0,0.003,0.012,0.002,0.0,0.785,0.0,0.067,0.061,0.017,0.024,0.002,0.0,0.007,0.0,LUSC,0.8395,,0.6482,0.725,0.6573,
TCGA-85-7950-01A,0.002,0.01,0.053,0.022,0.017,0.001,0.594,0.019,0.038,0.189,0.002,0.049,0.001,0.002,0.0,0.0,LUSC,0.6839,0.52,0.5851,0.75,0.5969,
TCGA-60-2715-01A,0.014,0.001,0.022,0.009,0.009,0.001,0.352,0.048,0.1,0.235,0.032,0.165,0.004,0.002,0.004,0.001,LUSC,0.4902,0.19,,0.725,0.3431,
TCGA-85-A5B5-01A,0.002,0.004,0.002,0.007,0.0,0.0,0.821,0.012,0.013,0.103,0.001,0.034,0.0,0.0,0.0,0.0,LUSC,0.9185,,0.9178,0.65,0.919,
TCGA-33-4583-01A,0.001,0.0,0.0,0.029,0.0,0.0,0.936,0.0,0.007,0.01,0.002,0.013,0.001,0.0,0.0,0.001,LUSC,0.9079,0.52,0.7171,0.8,0.7022,
TCGA-60-2725-01A,0.019,0.003,0.013,0.008,0.013,0.0,0.531,0.026,0.056,0.144,0.015,0.148,0.004,0.003,0.009,0.007,LUSC,0.5742,,,0.6,0.4323,
TCGA-85-8072-01A,0.018,0.004,0.002,0.02,0.005,0.0,0.739,0.019,0.034,0.068,0.002,0.083,0.004,0.001,0.001,0.0,LUSC,0.8537,0.42,0.7166,0.65,0.7465,
TCGA-22-4601-01A,0.008,0.0,0.003,0.019,0.006,0.0,0.83,0.011,0.034,0.028,0.004,0.052,0.004,0.0,0.0,0.0,LUSC,0.8996,0.78,0.8851,0.825,0.8997,
TCGA-66-2781-01A,0.042,0.0,0.002,0.008,0.008,0.0,0.757,0.005,0.019,0.115,0.007,0.024,0.003,0.0,0.011,0.0,LUSC,0.8335,0.4,,0.7,0.7466,
TCGA-22-0940-01A,0.02,0.004,0.009,0.035,0.004,0.0,0.665,0.02,0.029,0.105,0.004,0.094,0.003,0.006,0.001,0.001,LUSC,0.6421,0.25,,0.85,0.4622,
TCGA-43-6143-01A,0.012,0.0,0.003,0.016,0.0,0.0,0.791,0.01,0.035,0.087,0.014,0.03,0.001,0.0,0.0,0.0,LUSC,0.8859,0.76,0.4475,0.9,0.8458,
TCGA-39-5021-01A,0.046,0.0,0.01,0.004,0.02,0.0,0.682,0.016,0.025,0.109,0.004,0.083,0.001,0.0,0.0,0.0,LUSC,0.7852,0.4,0.5284,0.7,0.5422,
TCGA-22-1012-01A,0.008,0.003,0.003,0.008,0.009,0.0,0.821,0.016,0.023,0.071,0.002,0.032,0.002,0.0,0.001,0.001,LUSC,0.851,0.32,,0.7,0.6215,
TCGA-33-AASL-01A,0.003,0.0,0.0,0.014,0.0,0.0,0.944,0.007,0.009,0.002,0.0,0.019,0.001,0.0,0.0,0.001,LUSC,0.9197,,,0.8,0.8464,
TCGA-33-4533-01A,0.005,0.0,0.003,0.0,0.017,0.0,0.694,0.02,0.037,0.189,0.019,0.014,0.001,0.0,0.0,0.0,LUSC,0.8747,0.7,,0.7,0.8335,
TCGA-43-6647-01A,0.034,0.0,0.02,0.002,0.011,0.0,0.399,0.023,0.04,0.385,0.001,0.081,0.002,0.0,0.001,0.0,LUSC,0.5468,0.25,0.4533,0.375,0.3975,
TCGA-77-6845-01A,0.0,0.0,0.0,0.001,0.003,0.0,0.889,0.001,0.028,0.038,0.016,0.024,0.0,0.0,0.0,0.0,LUSC,0.958,0.78,0.8962,0.775,0.9076,
TCGA-56-8504-01A,0.006,0.0,0.008,0.024,0.005,0.0,0.766,0.01,0.031,0.081,0.001,0.064,0.002,0.0,0.001,0.0,LUSC,0.7987,,0.6714,0.8,0.6486,
TCGA-56-8629-01A,0.007,0.0,0.002,0.014,0.0,0.0,0.889,0.0,0.017,0.018,0.001,0.05,0.001,0.0,0.001,0.0,LUSC,0.8876,,0.7915,0.8,0.7898,
TCGA-63-A5MY-01A,0.003,0.0,0.0,0.001,0.0,0.0,0.961,0.0,0.01,0.011,0.007,0.0,0.0,0.0,0.004,0.0,LUSC,0.9911,,0.8136,0.7,0.8158,
TCGA-37-4130-01A,0.101,0.0,0.017,0.057,0.024,0.0,0.567,0.016,0.018,0.046,0.01,0.133,0.002,0.0,0.001,0.006,LUSC,0.5848,0.4,,0.75,0.5422,
TCGA-22-1002-01A,0.022,0.006,0.007,0.011,0.008,0.0,0.591,0.011,0.126,0.105,0.05,0.046,0.001,0.003,0.012,0.001,LUSC,0.7068,0.21,,0.6,0.6123,
TCGA-18-3410-01A,0.028,0.006,0.022,0.023,0.03,0.0,0.683,0.053,0.023,0.053,0.001,0.075,0.002,0.001,0.001,0.001,LUSC,0.7334,0.66,,0.85,0.7645,
