,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-A5-A0R8-01A,0.01,0.0,0.002,0.004,0.0,0.0,0.821,0.038,0.041,0.017,0.009,0.055,0.0,0.0,0.003,0.0,UCEC,,,,0.725,0.8806,
TCGA-A5-A0G3-01A,0.009,0.001,0.001,0.0,0.002,0.0,0.795,0.007,0.024,0.07,0.063,0.026,0.001,0.0,0.002,0.0,UCEC,,0.83,,0.9,0.8706,
TCGA-AP-A054-01A,0.0,0.0,0.0,0.0,0.038,0.0,0.889,0.004,0.02,0.02,0.015,0.006,0.003,0.0,0.0,0.003,UCEC,,0.95,,0.91,0.8956,
TCGA-A5-A0GX-01A,0.02,0.0,0.007,0.0,0.015,0.0,0.676,0.014,0.049,0.141,0.019,0.053,0.003,0.0,0.001,0.0,UCEC,,0.31,,0.85,0.5794,
TCGA-DI-A2QY-01A,0.002,0.0,0.0,0.0,0.002,0.0,0.908,0.006,0.024,0.046,0.006,0.006,0.0,0.0,0.0,0.0,UCEC,0.9692,0.68,0.9145,0.9,0.871,
TCGA-EY-A1GC-01A,0.048,0.0,0.02,0.009,0.006,0.0,0.715,0.004,0.019,0.006,0.014,0.158,0.0,0.0,0.001,0.0,UCEC,,0.58,0.6692,0.85,0.7019,
TCGA-A5-A0GI-01A,0.005,0.0,0.006,0.002,0.001,0.0,0.88,0.015,0.019,0.044,0.011,0.013,0.0,0.0,0.0,0.0,UCEC,,0.97,,0.9,0.8063,
TCGA-D1-A17S-01A,0.004,0.0,0.0,0.0,0.0,0.0,0.931,0.012,0.015,0.002,0.002,0.033,0.0,0.0,0.0,0.0,UCEC,,0.86,0.7981,0.9,0.7975,
TCGA-EY-A5W2-01A,0.003,0.0,0.004,0.007,0.009,0.0,0.895,0.0,0.011,0.013,0.01,0.047,0.0,0.0,0.001,0.0,UCEC,0.9033,,0.9548,0.8,0.8806,
TCGA-D1-A1NU-01A,0.01,0.0,0.001,0.006,0.002,0.0,0.901,0.0,0.029,0.009,0.011,0.03,0.0,0.0,0.002,0.0,UCEC,,0.87,0.8447,0.65,0.8523,
TCGA-BG-A18A-01A,0.008,0.0,0.002,0.002,0.0,0.0,0.765,0.016,0.069,0.069,0.021,0.041,0.0,0.004,0.001,0.0,UCEC,,0.62,0.8846,0.6,0.7508,
TCGA-AX-A06B-01A,0.027,0.0,0.006,0.008,0.011,0.0,0.71,0.01,0.057,0.106,0.016,0.046,0.002,0.0,0.0,0.0,UCEC,,0.68,,0.785,0.8442,
TCGA-E6-A2P9-01A,0.014,0.0,0.006,0.007,0.027,0.0,0.883,0.01,0.017,0.014,0.004,0.018,0.0,0.0,0.0,0.0,UCEC,0.9514,0.86,0.906,0.96,0.9344,
