,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BH-A0B5-01A,0.002,0.002,0.017,0.002,0.022,0.002,0.025,0.058,0.189,0.003,0.08,0.012,0.0,0.001,0.0,0.586,0.586,BRCA,0.7539,0.5,0.8944,0.575,0.6566,
TCGA-EW-A1J2-01A,0.002,0.003,0.015,0.0,0.015,0.005,0.031,0.089,0.266,0.029,0.089,0.005,0.0,0.001,0.0,0.45,0.45,BRCA,0.6677,0.52,0.774,0.8,0.7126,
TCGA-E9-A244-01A,0.0,0.0,0.007,0.0,0.001,0.0,0.01,0.02,0.092,0.001,0.014,0.0,0.0,0.0,0.0,0.854,0.854,BRCA,0.8787,0.46,0.7071,0.6,0.6448,
TCGA-GM-A2DO-01A,0.02,0.199,0.048,0.024,0.085,0.004,0.093,0.025,0.051,0.012,0.073,0.006,0.0,0.0,0.0,0.361,0.361,BRCA,0.5188,0.93,0.3722,0.9,0.5741,
TCGA-C8-A12N-01A,0.001,0.004,0.01,0.001,0.002,0.001,0.046,0.028,0.281,0.007,0.058,0.006,0.0,0.005,0.0,0.551,0.551,BRCA,0.7102,0.77,,0.8,0.769,
TCGA-AN-A0FT-01A,0.0,0.001,0.002,0.005,0.009,0.0,0.001,0.053,0.127,0.028,0.1,0.001,0.0,0.0,0.0,0.673,0.673,BRCA,0.763,0.62,,0.9,0.7243,
TCGA-A8-A09W-01A,0.0,0.001,0.003,0.005,0.006,0.0,0.0,0.043,0.086,0.014,0.091,0.012,0.0,0.0,0.0,0.739,0.739,BRCA,0.7672,0.73,,0.725,0.7019,
TCGA-A8-A07B-01A,0.0,0.003,0.001,0.005,0.005,0.0,0.0,0.019,0.145,0.001,0.056,0.002,0.0,0.0,0.0,0.763,0.763,BRCA,0.8146,0.74,,0.825,0.7587,
TCGA-BH-A18M-01A,0.001,0.002,0.008,0.0,0.011,0.005,0.028,0.076,0.278,0.022,0.036,0.004,0.0,0.001,0.0,0.529,0.529,BRCA,0.7363,0.45,,0.85,0.6525,
TCGA-A2-A04P-01A,0.015,0.014,0.022,0.004,0.005,0.0,0.035,0.021,0.105,0.015,0.036,0.0,0.0,0.0,0.0,0.726,0.726,BRCA,0.748,0.6,,0.8,0.7001,
TCGA-D8-A1XB-01A,0.004,0.004,0.009,0.0,0.005,0.002,0.013,0.041,0.319,0.002,0.03,0.012,0.0,0.0,0.0,0.559,0.559,BRCA,0.799,0.79,0.9028,0.7,0.8248,
TCGA-B6-A0X5-01A,0.0,0.001,0.0,0.007,0.0,0.0,0.0,0.017,0.064,0.0,0.025,0.003,0.0,0.0,0.0,0.882,0.882,BRCA,0.9169,0.89,0.7267,0.85,0.8977,
TCGA-AQ-A04J-01A,0.009,0.064,0.045,0.001,0.017,0.005,0.066,0.1,0.135,0.041,0.042,0.001,0.0,0.001,0.0,0.473,0.473,BRCA,0.6055,0.46,,0.725,0.5991,
TCGA-Z7-A8R6-01A,0.0,0.0,0.005,0.007,0.001,0.0,0.015,0.023,0.075,0.003,0.054,0.004,0.0,0.0,0.0,0.814,0.814,BRCA,0.8725,,,0.7,0.8143,
TCGA-AC-A3W6-01A,0.0,0.002,0.021,0.0,0.05,0.001,0.036,0.1,0.318,0.04,0.085,0.008,0.0,0.0,0.0,0.338,0.338,BRCA,0.5609,0.36,0.6597,0.8,0.5696,
TCGA-E9-A1N5-01A,0.002,0.002,0.007,0.016,0.042,0.001,0.034,0.062,0.231,0.007,0.076,0.009,0.0,0.001,0.0,0.512,0.512,BRCA,0.6689,0.66,0.7922,0.8,0.6748,
TCGA-B6-A0IM-01A,0.0,0.004,0.002,0.001,0.0,0.002,0.007,0.051,0.179,0.004,0.034,0.003,0.0,0.001,0.0,0.712,0.712,BRCA,0.8433,0.79,,0.8,0.8136,
TCGA-C8-A273-01A,0.017,0.0,0.003,0.004,0.001,0.001,0.006,0.034,0.136,0.027,0.045,0.001,0.0,0.0,0.0,0.724,0.724,BRCA,0.8166,0.74,0.9104,0.9,0.8503,
TCGA-A2-A4S1-01A,0.0,0.0,0.012,0.0,0.024,0.0,0.0,0.087,0.493,0.018,0.23,0.001,0.001,0.0,0.0,0.135,0.135,BRCA,0.5078,,0.5128,0.7,0.4622,
TCGA-A2-A4S2-01A,0.007,0.001,0.021,0.002,0.044,0.002,0.036,0.057,0.153,0.023,0.096,0.002,0.0,0.003,0.0,0.553,0.553,BRCA,0.6979,,0.7492,0.6,0.7401,
TCGA-OL-A5D8-01A,0.002,0.001,0.011,0.0,0.014,0.0,0.028,0.034,0.098,0.013,0.039,0.004,0.0,0.012,0.001,0.743,0.743,BRCA,0.8353,,,0.9,0.7891,
TCGA-A7-A26E-01B,0.001,0.011,0.002,0.0,0.012,0.012,0.029,0.041,0.236,0.003,0.045,0.019,0.0,0.015,0.0,0.573,0.573,BRCA,,,0.8619,0.8,0.8319,
TCGA-D8-A27T-01A,0.003,0.003,0.012,0.002,0.015,0.013,0.026,0.058,0.294,0.02,0.074,0.008,0.0,0.001,0.0,0.471,0.471,BRCA,0.6435,0.5,0.797,0.6,0.7142,
TCGA-E2-A15S-01A,0.001,0.001,0.0,0.004,0.001,0.0,0.008,0.038,0.037,0.022,0.012,0.003,0.0,0.002,0.0,0.871,0.871,BRCA,0.9613,,,0.9,0.8523,
TCGA-B6-A1KC-01B,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.044,0.029,0.033,0.052,0.013,0.0,0.0,0.0,0.825,0.825,BRCA,0.9035,0.81,1.0,0.95,0.9052,
TCGA-GI-A2C9-01A,0.002,0.0,0.018,0.0,0.003,0.001,0.026,0.019,0.181,0.0,0.072,0.002,0.0,0.0,0.0,0.675,0.675,BRCA,0.8062,0.51,0.8386,0.8,0.6969,
TCGA-BH-A0BG-01A,0.004,0.023,0.029,0.027,0.029,0.0,0.092,0.038,0.113,0.001,0.049,0.0,0.0,0.0,0.0,0.594,0.594,BRCA,0.737,0.54,,0.575,0.6749,
TCGA-A7-A6VW-01A,0.0,0.0,0.005,0.004,0.0,0.0,0.0,0.01,0.074,0.004,0.061,0.0,0.0,0.005,0.0,0.835,0.835,BRCA,0.82,,0.8154,0.85,0.8178,
TCGA-AQ-A04L-01B,0.0,0.004,0.002,0.0,0.005,0.0,0.001,0.008,0.179,0.0,0.049,0.001,0.0,0.007,0.001,0.742,0.742,BRCA,0.8186,0.76,0.9732,0.85,0.8262,
TCGA-AR-A24Z-01A,0.006,0.005,0.01,0.0,0.004,0.001,0.001,0.025,0.079,0.023,0.035,0.003,0.0,0.009,0.0,0.799,0.799,BRCA,0.872,0.82,0.931,0.9,0.8886,
TCGA-A2-A04X-01A,0.041,0.006,0.039,0.013,0.027,0.0,0.021,0.035,0.06,0.014,0.095,0.001,0.0,0.0,0.0,0.648,0.648,BRCA,0.7044,0.59,,0.825,0.7223,
TCGA-OL-A66N-01A,0.01,0.005,0.014,0.001,0.014,0.001,0.034,0.07,0.247,0.016,0.036,0.008,0.0,0.0,0.0,0.544,0.544,BRCA,0.7293,,0.8238,0.7,0.6573,
TCGA-LL-A6FP-01A,0.0,0.0,0.002,0.0,0.008,0.0,0.007,0.024,0.019,0.0,0.021,0.002,0.0,0.0,0.0,0.917,0.917,BRCA,0.9617,,0.9375,0.8,0.9584,
TCGA-B6-A0RU-01A,0.001,0.0,0.007,0.0,0.008,0.0,0.018,0.074,0.134,0.03,0.014,0.0,0.0,0.0,0.0,0.712,0.712,BRCA,0.8751,0.51,0.8701,0.725,0.8273,
TCGA-BH-A0W7-01A,0.01,0.013,0.038,0.001,0.029,0.004,0.057,0.05,0.208,0.01,0.084,0.007,0.0,0.0,0.0,0.487,0.487,BRCA,0.5985,0.57,,0.6,0.7034,
TCGA-PE-A5DC-01A,0.0,0.002,0.004,0.004,0.009,0.001,0.013,0.081,0.092,0.041,0.021,0.005,0.0,0.0,0.0,0.728,0.728,BRCA,0.8743,,,0.85,0.7709,
TCGA-AC-A8OP-01A,0.009,0.004,0.003,0.0,0.013,0.005,0.034,0.079,0.133,0.045,0.042,0.006,0.0,0.001,0.0,0.627,0.627,BRCA,0.8083,,0.7679,0.7,0.762,
TCGA-AC-A2FO-01A,0.016,0.017,0.023,0.0,0.034,0.007,0.059,0.125,0.199,0.033,0.054,0.009,0.0,0.001,0.0,0.423,0.423,BRCA,0.6132,0.38,0.6879,0.6,0.5956,
TCGA-BH-A0H3-01A,0.002,0.003,0.017,0.0,0.012,0.003,0.032,0.115,0.283,0.026,0.039,0.007,0.0,0.001,0.0,0.461,0.461,BRCA,0.7093,0.52,0.8538,0.6,0.656,
TCGA-BH-A18K-01A,0.0,0.002,0.003,0.003,0.001,0.001,0.012,0.045,0.216,0.02,0.039,0.004,0.0,0.0,0.0,0.655,0.655,BRCA,0.8058,0.58,,0.8,0.7468,
TCGA-A8-A075-01A,0.027,0.004,0.009,0.011,0.027,0.001,0.001,0.026,0.146,0.003,0.11,0.003,0.0,0.006,0.0,0.625,0.625,BRCA,0.7362,0.52,0.7025,0.85,0.6706,
TCGA-B6-A0RT-01A,0.022,0.064,0.073,0.044,0.091,0.021,0.08,0.077,0.086,0.009,0.097,0.002,0.005,0.008,0.001,0.321,0.321,BRCA,0.4189,0.23,0.3112,0.725,0.3032,
TCGA-A8-A07G-01A,0.008,0.006,0.017,0.0,0.011,0.001,0.017,0.031,0.343,0.011,0.062,0.002,0.0,0.0,0.0,0.489,0.489,BRCA,0.7189,0.48,,0.7,0.6288,
TCGA-C8-A1HK-01A,0.005,0.001,0.009,0.002,0.023,0.0,0.012,0.029,0.043,0.005,0.028,0.0,0.0,0.0,0.0,0.841,0.841,BRCA,0.8886,0.76,0.8571,0.75,0.8752,
TCGA-E2-A1IH-01A,0.008,0.023,0.036,0.0,0.044,0.001,0.05,0.097,0.279,0.022,0.076,0.006,0.0,0.001,0.0,0.359,0.359,BRCA,0.5001,0.43,0.7404,0.75,0.4512,
TCGA-E9-A1NF-01A,0.0,0.001,0.014,0.0,0.009,0.0,0.0,0.055,0.466,0.006,0.082,0.003,0.0,0.0,0.0,0.363,0.363,BRCA,0.6161,0.47,0.8313,0.8,0.5489,
TCGA-BH-A0B0-01A,0.001,0.001,0.031,0.0,0.012,0.003,0.064,0.089,0.284,0.023,0.072,0.007,0.0,0.0,0.0,0.413,0.413,BRCA,0.6415,0.54,,0.725,0.6749,
TCGA-EW-A1OZ-01A,0.001,0.0,0.01,0.003,0.015,0.0,0.01,0.021,0.13,0.002,0.11,0.006,0.0,0.0,0.0,0.691,0.691,BRCA,0.7632,0.63,0.8908,0.75,0.8205,
TCGA-A7-A3RF-01A,0.008,0.001,0.001,0.0,0.01,0.0,0.001,0.022,0.062,0.001,0.025,0.004,0.0,0.0,0.0,0.865,0.865,BRCA,0.9155,0.83,0.8553,0.75,0.8802,
TCGA-BH-A0BJ-01A,0.007,0.001,0.016,0.0,0.013,0.005,0.027,0.084,0.207,0.023,0.068,0.007,0.0,0.0,0.0,0.543,0.543,BRCA,0.7386,0.37,0.8453,0.7,0.7458,
TCGA-C8-A12K-01A,0.01,0.0,0.033,0.043,0.025,0.0,0.071,0.022,0.078,0.0,0.172,0.0,0.0,0.001,0.0,0.545,0.545,BRCA,0.5874,0.53,,0.775,0.5578,
TCGA-AR-A0TW-01A,0.034,0.001,0.015,0.003,0.054,0.0,0.003,0.016,0.04,0.008,0.111,0.001,0.0,0.0,0.0,0.714,0.714,BRCA,0.7626,0.91,0.7227,0.9,0.7947,
TCGA-BH-A1FN-01A,0.0,0.002,0.003,0.003,0.0,0.001,0.001,0.031,0.167,0.001,0.058,0.002,0.0,0.001,0.0,0.731,0.731,BRCA,0.8367,0.7,0.8509,0.75,0.8313,
TCGA-AN-A0XL-01A,0.0,0.001,0.003,0.0,0.008,0.001,0.013,0.162,0.205,0.078,0.042,0.004,0.0,0.0,0.0,0.483,0.483,BRCA,0.7631,0.52,0.7935,0.79,0.6888,
TCGA-E2-A1LB-01A,0.012,0.001,0.009,0.0,0.003,0.0,0.002,0.02,0.124,0.005,0.077,0.008,0.0,0.0,0.001,0.738,0.738,BRCA,0.8415,0.68,0.8192,0.9,0.815,
