,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-V1-A9Z7-01A,0.008,0.0,0.004,0.0,0.004,0.0,0.72,0.011,0.042,0.126,0.058,0.025,0.001,0.001,0.0,0.0,PRAD,0.8393,,,0.75,0.8141,
TCGA-VP-AA1N-01A,0.01,0.0,0.007,0.001,0.004,0.0,0.778,0.01,0.029,0.056,0.055,0.048,0.001,0.0,0.0,0.0,PRAD,0.8816,,,0.75,0.8428,
TCGA-4L-AA1F-01A,0.006,0.011,0.014,0.007,0.002,0.0,0.265,0.018,0.101,0.413,0.059,0.103,0.001,0.0,0.0,0.0,PRAD,0.537,,,0.6,0.4972,
TCGA-EJ-5526-01A,0.01,0.0,0.007,0.001,0.002,0.0,0.774,0.011,0.05,0.085,0.036,0.02,0.004,0.0,0.0,0.0,PRAD,0.8813,,0.9668,0.825,0.8493,
TCGA-G9-6333-01A,0.007,0.0,0.005,0.0,0.004,0.0,0.815,0.01,0.032,0.049,0.052,0.024,0.001,0.0,0.0,0.0,PRAD,0.912,,0.9566,,0.891,
TCGA-CH-5762-01A,0.011,0.009,0.013,0.0,0.011,0.0,0.727,0.021,0.054,0.09,0.044,0.017,0.003,0.0,0.0,0.0,PRAD,0.8795,,0.822,0.7,0.836,
TCGA-G9-A9S7-01A,0.005,0.0,0.005,0.001,0.001,0.0,0.918,0.009,0.009,0.023,0.023,0.006,0.0,0.0,0.0,0.0,PRAD,0.9727,,,0.85,0.525,
TCGA-J4-AAU2-01A,0.01,0.0,0.005,0.0,0.001,0.0,0.869,0.004,0.028,0.047,0.031,0.004,0.0,0.0,0.0,0.0,PRAD,0.9446,,,0.8,0.8186,
TCGA-EJ-AB20-01A,0.004,0.001,0.012,0.001,0.013,0.0,0.376,0.02,0.085,0.304,0.162,0.012,0.01,0.001,0.0,0.0,PRAD,0.8126,,,0.7,0.729,
TCGA-EJ-A8FO-01A,0.01,0.0,0.005,0.0,0.0,0.0,0.825,0.007,0.032,0.057,0.053,0.01,0.001,0.0,0.0,0.0,PRAD,0.9564,,0.9257,0.7,0.9475,
TCGA-HI-7168-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.648,0.01,0.067,0.139,0.12,0.011,0.001,0.0,0.0,0.0,PRAD,0.9084,,0.929,0.6,0.9187,
TCGA-EJ-7785-01A,0.011,0.002,0.008,0.003,0.004,0.0,0.666,0.015,0.085,0.113,0.061,0.024,0.005,0.001,0.0,0.0,PRAD,0.8593,,0.8743,0.55,0.8194,
TCGA-J4-A67M-01A,0.014,0.0,0.008,0.0,0.003,0.0,0.725,0.021,0.044,0.104,0.055,0.023,0.002,0.001,0.0,0.0,PRAD,0.8337,,0.8932,0.85,0.847,
