,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-CJ-5684-01A,0.009,0.0,0.006,0.008,0.021,0.0,0.006,0.284,0.001,0.115,0.121,0.0,0.007,0.0,0.0,0.422,0.422,KIRC,0.6494,,0.7069,0.85,0.6903,
TCGA-AK-3455-01A,0.038,0.0,0.012,0.034,0.069,0.0,0.001,0.12,0.001,0.089,0.077,0.0,0.005,0.002,0.0,0.553,0.553,KIRC,0.6857,0.56,,0.8,0.6939,
TCGA-B0-5399-01A,0.012,0.001,0.006,0.018,0.001,0.018,0.03,0.222,0.049,0.119,0.093,0.002,0.009,0.007,0.001,0.411,0.411,KIRC,0.622,,0.7511,0.85,0.7422,
TCGA-B0-5696-01A,0.013,0.0,0.005,0.0,0.005,0.0,0.0,0.225,0.001,0.102,0.086,0.0,0.003,0.0,0.0,0.558,0.558,KIRC,0.7446,0.56,0.7585,0.85,0.7203,
TCGA-B4-5377-01A,0.007,0.0,0.002,0.013,0.016,0.0,0.001,0.21,0.001,0.106,0.163,0.0,0.0,0.005,0.0,0.476,0.476,KIRC,0.6799,,0.8,0.95,0.6878,
TCGA-BP-5178-01A,0.02,0.001,0.016,0.005,0.002,0.0,0.0,0.119,0.0,0.146,0.215,0.0,0.001,0.0,0.0,0.473,0.473,KIRC,0.5704,0.44,0.5866,0.825,0.549,
TCGA-CJ-4634-01A,0.002,0.0,0.001,0.003,0.006,0.0,0.001,0.317,0.027,0.127,0.131,0.001,0.007,0.01,0.0,0.366,0.366,KIRC,0.6828,0.75,,0.8,0.836,
TCGA-BP-4167-01A,0.009,0.001,0.015,0.009,0.047,0.0,0.004,0.111,0.227,0.191,0.275,0.0,0.001,0.0,0.0,0.109,0.109,KIRC,0.3285,,,0.8625,0.4673,
TCGA-CJ-4912-01A,0.057,0.0,0.005,0.0,0.0,0.0,0.0,0.167,0.001,0.167,0.075,0.0,0.01,0.002,0.0,0.515,0.515,KIRC,0.7613,0.64,0.6801,0.85,0.728,
TCGA-B2-5635-01B,0.017,0.009,0.013,0.075,0.031,0.014,0.041,0.213,0.011,0.078,0.167,0.018,0.007,0.034,0.007,0.267,0.267,KIRC,,,0.5994,0.91,0.7223,
TCGA-BP-5198-01A,0.012,0.0,0.01,0.004,0.008,0.0,0.0,0.107,0.202,0.164,0.192,0.0,0.0,0.003,0.0,0.296,0.296,KIRC,0.5419,0.43,0.6171,0.8,0.5707,
TCGA-BP-4758-01A,0.014,0.0,0.01,0.002,0.055,0.0,0.016,0.374,0.0,0.203,0.118,0.0,0.0,0.0,0.0,0.207,0.207,KIRC,0.5626,0.63,,0.95,0.5884,
TCGA-BP-5007-01A,0.003,0.0,0.005,0.015,0.014,0.0,0.004,0.31,0.001,0.173,0.103,0.0,0.006,0.004,0.0,0.361,0.361,KIRC,0.6924,0.74,,0.825,0.7287,
TCGA-BP-4166-01A,0.013,0.0,0.01,0.0,0.006,0.0,0.005,0.276,0.057,0.221,0.106,0.0,0.007,0.001,0.0,0.297,0.297,KIRC,0.6154,0.33,,0.8,0.482,
TCGA-BP-4985-01A,0.001,0.0,0.016,0.001,0.002,0.0,0.0,0.1,0.058,0.173,0.111,0.0,0.001,0.005,0.001,0.53,0.53,KIRC,0.6752,0.44,,0.85,0.5801,
TCGA-B2-4099-01A,0.019,0.0,0.006,0.003,0.0,0.001,0.017,0.183,0.001,0.121,0.176,0.001,0.014,0.005,0.008,0.444,0.444,KIRC,0.6152,0.64,,0.99,0.6289,
TCGA-B8-A7U6-01A,0.007,0.0,0.002,0.004,0.001,0.001,0.007,0.33,0.001,0.221,0.096,0.006,0.008,0.008,0.0,0.307,0.307,KIRC,0.6698,,0.7226,0.9,0.6354,
TCGA-B0-4698-01A,0.0,0.0,0.024,0.084,0.035,0.0,0.001,0.057,0.046,0.002,0.166,0.0,0.0,0.004,0.001,0.581,0.581,KIRC,0.6876,0.34,0.3946,0.9,0.5358,
TCGA-B0-4691-01A,0.032,0.001,0.009,0.027,0.014,0.0,0.002,0.074,0.136,0.148,0.085,0.0,0.01,0.0,0.0,0.462,0.462,KIRC,0.626,0.55,0.6687,0.775,0.6649,
TCGA-CJ-4895-01A,0.01,0.0,0.004,0.008,0.012,0.0,0.001,0.185,0.125,0.116,0.199,0.0,0.008,0.006,0.001,0.324,0.324,KIRC,0.5256,0.52,,0.85,0.5111,
TCGA-AK-3458-01A,0.017,0.0,0.004,0.003,0.007,0.0,0.012,0.101,0.001,0.121,0.055,0.001,0.016,0.0,0.0,0.662,0.662,KIRC,0.7647,0.45,0.769,0.57,0.6909,
TCGA-BP-4326-01A,0.016,0.0,0.003,0.0,0.0,0.0,0.001,0.298,0.011,0.159,0.059,0.005,0.003,0.007,0.0,0.438,0.438,KIRC,0.6793,0.82,,0.9,0.836,
TCGA-B0-4945-01A,0.013,0.0,0.002,0.004,0.003,0.0,0.005,0.395,0.001,0.172,0.079,0.0,0.003,0.005,0.0,0.318,0.318,KIRC,0.7244,0.44,0.704,0.8,0.6363,
TCGA-A3-3323-01A,0.001,0.001,0.013,0.003,0.015,0.0,0.011,0.242,0.014,0.17,0.174,0.001,0.012,0.015,0.001,0.328,0.328,KIRC,0.5633,0.56,,0.85,0.6939,
TCGA-B0-4836-01A,0.022,0.0,0.027,0.006,0.019,0.0,0.005,0.101,0.185,0.14,0.118,0.001,0.006,0.004,0.001,0.364,0.364,KIRC,0.6012,0.38,,0.775,0.5233,
TCGA-BP-4968-01A,0.008,0.0,0.006,0.017,0.026,0.0,0.008,0.237,0.001,0.141,0.146,0.0,0.001,0.0,0.0,0.409,0.409,KIRC,0.6211,0.64,,0.85,0.6329,
TCGA-CJ-4918-01A,0.009,0.0,0.017,0.0,0.012,0.0,0.003,0.308,0.146,0.193,0.138,0.003,0.006,0.003,0.001,0.16,0.16,KIRC,0.5032,0.33,0.585,0.85,0.4759,
TCGA-B0-4707-01A,0.035,0.0,0.01,0.013,0.015,0.0,0.0,0.015,0.061,0.163,0.02,0.0,0.006,0.0,0.0,0.661,0.661,KIRC,0.8065,0.4,0.6331,0.8,0.6757,
TCGA-BP-5006-01A,0.005,0.0,0.001,0.002,0.0,0.001,0.008,0.279,0.0,0.172,0.13,0.0,0.009,0.005,0.0,0.387,0.387,KIRC,0.6964,0.49,,0.85,0.6275,
TCGA-CJ-5679-01A,0.014,0.0,0.002,0.005,0.002,0.0,0.0,0.079,0.165,0.039,0.087,0.0,0.004,0.0,0.0,0.602,0.602,KIRC,0.8043,0.72,0.8041,0.85,0.8046,
TCGA-BP-5186-01A,0.011,0.0,0.001,0.009,0.006,0.0,0.007,0.266,0.016,0.19,0.094,0.0,0.006,0.006,0.0,0.386,0.386,KIRC,0.7135,0.57,0.78,0.9,0.7398,
TCGA-CZ-5467-01A,0.003,0.0,0.003,0.0,0.002,0.0,0.0,0.348,0.0,0.174,0.095,0.0,0.002,0.004,0.0,0.366,0.366,KIRC,0.7187,,0.8364,0.85,0.7355,
TCGA-B0-5080-01A,0.027,0.014,0.018,0.0,0.018,0.014,0.009,0.309,0.264,0.136,0.074,0.001,0.002,0.005,0.001,0.109,0.109,KIRC,0.5204,,0.528,0.65,0.4196,
TCGA-BP-4995-01A,0.021,0.0,0.007,0.001,0.004,0.0,0.001,0.183,0.001,0.085,0.109,0.007,0.005,0.006,0.0,0.569,0.569,KIRC,0.7674,0.7,,0.85,0.8266,
TCGA-CZ-5451-01A,0.01,0.0,0.007,0.005,0.01,0.0,0.001,0.328,0.001,0.081,0.127,0.0,0.01,0.006,0.0,0.414,0.414,KIRC,0.7141,,0.7657,0.85,0.6908,
TCGA-CJ-4888-01A,0.066,0.0,0.013,0.033,0.066,0.0,0.002,0.108,0.037,0.145,0.282,0.0,0.0,0.004,0.001,0.242,0.242,KIRC,0.3922,,,0.85,0.5106,
TCGA-B2-3923-01A.1,0.014,0.0,0.002,0.0,0.0,0.0,0.0,0.101,0.0,0.059,0.08,0.0,0.0,0.001,0.0,0.742,0.742,KIRC,0.9066,0.86,,0.9,0.8837,
TCGA-BP-4351-01A,0.01,0.0,0.001,0.008,0.004,0.008,0.007,0.209,0.028,0.2,0.076,0.0,0.017,0.005,0.0,0.427,0.427,KIRC,0.7202,0.44,,0.85,0.6054,
TCGA-A3-3376-01A,0.005,0.001,0.006,0.005,0.007,0.012,0.008,0.421,0.039,0.204,0.113,0.003,0.013,0.02,0.01,0.134,0.134,KIRC,0.5485,0.32,0.643,0.8,0.5408,
TCGA-B0-4839-01A,0.003,0.0,0.004,0.0,0.002,0.0,0.0,0.307,0.001,0.092,0.173,0.0,0.008,0.0,0.0,0.409,0.409,KIRC,0.5907,0.7,,0.9,0.7913,
