,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-J8-A3YF-01A,0.054,0.001,0.008,0.014,0.001,0.0,0.629,0.001,0.108,0.064,0.01,0.107,0.0,0.001,0.003,0.0,THCA,0.7961,,0.7919,1.0,0.7466,
TCGA-BJ-A45D-01A,0.013,0.0,0.002,0.004,0.0,0.0,0.636,0.0,0.156,0.001,0.077,0.103,0.001,0.003,0.002,0.0,THCA,0.8532,,0.8009,1.0,0.8008,
TCGA-EM-A4FF-01A,0.026,0.0,0.006,0.008,0.0,0.0,0.628,0.004,0.114,0.048,0.018,0.144,0.0,0.0,0.002,0.0,THCA,0.8251,,0.8803,0.75,0.8941,
TCGA-EL-A4JX-01A,0.12,0.003,0.041,0.014,0.011,0.0,0.449,0.0,0.049,0.071,0.0,0.238,0.0,0.0,0.003,0.0,THCA,0.6442,,0.5563,0.8,0.5273,
TCGA-DJ-A3UZ-01A,0.039,0.024,0.005,0.018,0.005,0.001,0.58,0.022,0.166,0.042,0.044,0.048,0.001,0.0,0.003,0.0,THCA,0.8373,,0.8551,0.75,0.8628,
TCGA-EL-A4KD-01A,0.009,0.0,0.003,0.001,0.0,0.0,0.516,0.008,0.251,0.03,0.097,0.076,0.0,0.004,0.004,0.0,THCA,0.8423,,0.8584,1.0,0.7963,
TCGA-DE-A2OL-01A,0.017,0.0,0.001,0.001,0.002,0.0,0.739,0.0,0.157,0.007,0.064,0.009,0.0,0.0,0.002,0.0,THCA,0.9752,,1.0,0.85,0.9768,
TCGA-EL-A3CX-01A,0.003,0.0,0.001,0.0,0.003,0.0,0.749,0.022,0.031,0.069,0.024,0.093,0.002,0.0,0.002,0.0,THCA,0.9107,,0.9483,0.85,0.8892,
TCGA-EL-A4K1-01A,0.0,0.0,0.001,0.002,0.0,0.0,0.717,0.001,0.125,0.067,0.021,0.066,0.0,0.0,0.001,0.0,THCA,0.834,,0.9384,0.75,0.8806,
TCGA-DJ-A4UR-01A,0.038,0.0,0.0,0.006,0.0,0.0,0.537,0.003,0.208,0.022,0.11,0.072,0.0,0.001,0.001,0.0,THCA,0.8614,,0.8985,1.0,0.9155,
TCGA-DJ-A2QB-01A,0.013,0.0,0.001,0.0,0.0,0.0,0.68,0.0,0.184,0.0,0.064,0.054,0.0,0.001,0.001,0.0,THCA,0.9297,,0.8686,1.0,0.8803,
TCGA-EL-A4JV-01A,0.033,0.0,0.0,0.005,0.002,0.0,0.662,0.002,0.188,0.008,0.075,0.02,0.0,0.002,0.002,0.0,THCA,0.9343,,0.9748,0.8,0.9213,
TCGA-ET-A3DV-01A,0.01,0.0,0.0,0.0,0.001,0.0,0.856,0.0,0.087,0.015,0.02,0.009,0.0,0.0,0.001,0.0,THCA,0.9789,,1.0,0.9,0.9818,
TCGA-E8-A434-01A,0.008,0.0,0.005,0.007,0.0,0.0,0.681,0.026,0.105,0.084,0.033,0.045,0.001,0.001,0.004,0.0,THCA,0.9028,,0.9487,0.7,0.8785,
TCGA-EM-A2P2-01A,0.007,0.001,0.0,0.007,0.0,0.0,0.732,0.001,0.144,0.012,0.058,0.032,0.004,0.0,0.002,0.0,THCA,0.9403,,0.9955,0.75,0.9294,
TCGA-EM-A1CV-01A,0.001,0.0,0.002,0.005,0.0,0.0,0.702,0.0,0.162,0.01,0.04,0.074,0.0,0.0,0.002,0.0,THCA,0.9239,,0.9511,0.93,0.9074,
TCGA-ET-A2N5-01A,0.024,0.0,0.0,0.003,0.002,0.0,0.717,0.001,0.162,0.001,0.051,0.036,0.001,0.0,0.003,0.0,THCA,0.9339,,0.9213,0.95,0.9207,
TCGA-ET-A25M-01A,0.0,0.0,0.003,0.002,0.0,0.0,0.683,0.013,0.1,0.115,0.032,0.048,0.0,0.0,0.002,0.0,THCA,0.8706,,0.9661,0.7,0.8348,
